,date,temperature_2m_max,temperature_2m_min,country,Fecha,week_of_year,year,year_week
0,2014-10-04 23:00:00+00:00,13.5865,11.3365,BE,2014-10-04,40,2014,2014-W40
1,2014-10-05 23:00:00+00:00,13.936501,12.186501,BE,2014-10-05,40,2014,2014-W40
2,2014-10-06 23:00:00+00:00,15.236501,9.8365,BE,2014-10-06,41,2014,2014-W41
3,2014-10-07 23:00:00+00:00,16.8865,9.5865,BE,2014-10-07,41,2014,2014-W41
4,2014-10-08 23:00:00+00:00,17.936499,12.8865,BE,2014-10-08,41,2014,2014-W41
5,2014-10-09 23:00:00+00:00,17.2365,11.486501,BE,2014-10-09,41,2014,2014-W41
6,2014-10-10 23:00:00+00:00,15.686501,10.2865,BE,2014-10-10,41,2014,2014-W41
7,2014-10-11 23:00:00+00:00,17.036499,7.2865,BE,2014-10-11,41,2014,2014-W41
8,2014-10-12 23:00:00+00:00,17.5865,12.736501,BE,2014-10-12,41,2014,2014-W41
9,2014-10-13 23:00:00+00:00,15.736501,10.986501,BE,2014-10-13,42,2014,2014-W42
10,2014-10-14 23:00:00+00:00,15.936501,10.0865,BE,2014-10-14,42,2014,2014-W42
11,2014-10-15 23:00:00+00:00,17.2365,12.686501,BE,2014-10-15,42,2014,2014-W42
12,2014-10-16 23:00:00+00:00,17.436499,13.1365,BE,2014-10-16,42,2014,2014-W42
13,2014-10-17 23:00:00+00:00,22.7365,13.0865,BE,2014-10-17,42,2014,2014-W42
14,2014-10-18 23:00:00+00:00,21.286499,15.0365,BE,2014-10-18,42,2014,2014-W42
15,2014-10-19 23:00:00+00:00,16.9865,12.486501,BE,2014-10-19,42,2014,2014-W42
16,2014-10-20 23:00:00+00:00,13.686501,9.1365,BE,2014-10-20,43,2014,2014-W43
17,2014-10-21 23:00:00+00:00,12.186501,8.2865,BE,2014-10-21,43,2014,2014-W43
18,2014-10-22 23:00:00+00:00,14.986501,9.236501,BE,2014-10-22,43,2014,2014-W43
19,2014-10-23 23:00:00+00:00,12.0865,11.0365,BE,2014-10-23,43,2014,2014-W43
20,2014-10-24 23:00:00+00:00,14.7865,10.736501,BE,2014-10-24,43,2014,2014-W43
21,2014-10-25 23:00:00+00:00,16.286499,9.0365,BE,2014-10-25,43,2014,2014-W43
22,2014-10-26 23:00:00+00:00,16.686499,10.986501,BE,2014-10-26,43,2014,2014-W43
23,2014-10-27 23:00:00+00:00,12.936501,8.436501,BE,2014-10-27,44,2014,2014-W44
24,2014-10-28 23:00:00+00:00,12.8365,8.1365,BE,2014-10-28,44,2014,2014-W44
25,2014-10-29 23:00:00+00:00,18.0865,11.986501,BE,2014-10-29,44,2014,2014-W44
26,2014-10-30 23:00:00+00:00,18.1365,11.186501,BE,2014-10-30,44,2014,2014-W44
27,2014-10-31 23:00:00+00:00,18.3865,12.2865,BE,2014-10-31,44,2014,2014-W44
28,2014-11-01 23:00:00+00:00,17.3365,11.5865,BE,2014-11-01,44,2014,2014-W44
29,2014-11-02 23:00:00+00:00,14.486501,10.936501,BE,2014-11-02,44,2014,2014-W44
30,2014-11-03 23:00:00+00:00,11.1365,7.2365,BE,2014-11-03,45,2014,2014-W45
31,2014-11-04 23:00:00+00:00,10.5365,5.1865,BE,2014-11-04,45,2014,2014-W45
32,2014-11-05 23:00:00+00:00,9.8365,4.1365,BE,2014-11-05,45,2014,2014-W45
33,2014-11-06 23:00:00+00:00,11.3865,7.4865,BE,2014-11-06,45,2014,2014-W45
34,2014-11-07 23:00:00+00:00,12.5865,7.8865,BE,2014-11-07,45,2014,2014-W45
35,2014-11-08 23:00:00+00:00,12.8865,8.0865,BE,2014-11-08,45,2014,2014-W45
36,2014-11-09 23:00:00+00:00,12.5365,7.8364997,BE,2014-11-09,45,2014,2014-W45
37,2014-11-10 23:00:00+00:00,15.3365,6.9865,BE,2014-11-10,46,2014,2014-W46
38,2014-11-11 23:00:00+00:00,13.736501,7.7865,BE,2014-11-11,46,2014,2014-W46
39,2014-11-12 23:00:00+00:00,12.236501,5.6865,BE,2014-11-12,46,2014,2014-W46
40,2014-11-13 23:00:00+00:00,12.686501,8.2865,BE,2014-11-13,46,2014,2014-W46
41,2014-11-14 23:00:00+00:00,10.8365,8.3865,BE,2014-11-14,46,2014,2014-W46
42,2014-11-15 23:00:00+00:00,9.736501,6.7865,BE,2014-11-15,46,2014,2014-W46
43,2014-11-16 23:00:00+00:00,10.686501,5.9865,BE,2014-11-16,46,2014,2014-W46
44,2014-11-17 23:00:00+00:00,9.6365,2.8865,BE,2014-11-17,47,2014,2014-W47
45,2014-11-18 23:00:00+00:00,10.186501,7.8364997,BE,2014-11-18,47,2014,2014-W47
46,2014-11-19 23:00:00+00:00,9.936501,5.7865,BE,2014-11-19,47,2014,2014-W47
47,2014-11-20 23:00:00+00:00,9.3365,3.4365,BE,2014-11-20,47,2014,2014-W47
48,2014-11-21 23:00:00+00:00,14.236501,6.4865,BE,2014-11-21,47,2014,2014-W47
49,2014-11-22 23:00:00+00:00,15.0865,8.0865,BE,2014-11-22,47,2014,2014-W47
50,2014-11-23 23:00:00+00:00,10.1365,4.5365,BE,2014-11-23,47,2014,2014-W47
51,2014-11-24 23:00:00+00:00,7.3865,2.1365,BE,2014-11-24,48,2014,2014-W48
52,2014-11-25 23:00:00+00:00,9.686501,5.0365,BE,2014-11-25,48,2014,2014-W48
53,2014-11-26 23:00:00+00:00,10.686501,9.2865,BE,2014-11-26,48,2014,2014-W48
54,2014-11-27 23:00:00+00:00,13.236501,6.5864997,BE,2014-11-27,48,2014,2014-W48
55,2014-11-28 23:00:00+00:00,9.0365,2.3365002,BE,2014-11-28,48,2014,2014-W48
56,2014-11-29 23:00:00+00:00,4.9365,-1.1135,BE,2014-11-29,48,2014,2014-W48
57,2014-11-30 23:00:00+00:00,3.6365,2.4365,BE,2014-11-30,48,2014,2014-W48
58,2014-12-01 23:00:00+00:00,2.3365002,1.1365,BE,2014-12-01,49,2014,2014-W49
59,2014-12-02 23:00:00+00:00,1.1865,-0.91349995,BE,2014-12-02,49,2014,2014-W49
60,2014-12-03 23:00:00+00:00,2.9864998,-1.2135,BE,2014-12-03,49,2014,2014-W49
61,2014-12-04 23:00:00+00:00,5.0864997,1.9865,BE,2014-12-04,49,2014,2014-W49
62,2014-12-05 23:00:00+00:00,7.6365,0.5865,BE,2014-12-05,49,2014,2014-W49
63,2014-12-06 23:00:00+00:00,5.5864997,0.1865,BE,2014-12-06,49,2014,2014-W49
64,2014-12-07 23:00:00+00:00,4.1865,-0.1135,BE,2014-12-07,49,2014,2014-W49
65,2014-12-08 23:00:00+00:00,6.6365,1.8365,BE,2014-12-08,50,2014,2014-W50
66,2014-12-09 23:00:00+00:00,8.686501,3.7364998,BE,2014-12-09,50,2014,2014-W50
67,2014-12-10 23:00:00+00:00,7.4365,4.5864997,BE,2014-12-10,50,2014,2014-W50
68,2014-12-11 23:00:00+00:00,9.6365,6.0864997,BE,2014-12-11,50,2014,2014-W50
69,2014-12-12 23:00:00+00:00,5.6365,2.3865,BE,2014-12-12,50,2014,2014-W50
70,2014-12-13 23:00:00+00:00,4.5365,0.8365,BE,2014-12-13,50,2014,2014-W50
71,2014-12-14 23:00:00+00:00,7.5365,1.2865,BE,2014-12-14,50,2014,2014-W50
72,2014-12-15 23:00:00+00:00,6.7865,3.1365,BE,2014-12-15,51,2014,2014-W51
73,2014-12-16 23:00:00+00:00,10.1365,2.9864998,BE,2014-12-16,51,2014,2014-W51
74,2014-12-17 23:00:00+00:00,11.5865,9.7865,BE,2014-12-17,51,2014,2014-W51
75,2014-12-18 23:00:00+00:00,11.486501,5.1365,BE,2014-12-18,51,2014,2014-W51
76,2014-12-19 23:00:00+00:00,7.9365,4.5365,BE,2014-12-19,51,2014,2014-W51
77,2014-12-20 23:00:00+00:00,8.7865,4.2365,BE,2014-12-20,51,2014,2014-W51
78,2014-12-21 23:00:00+00:00,11.686501,8.8865,BE,2014-12-21,51,2014,2014-W51
79,2014-12-22 23:00:00+00:00,11.3865,9.236501,BE,2014-12-22,52,2014,2014-W52
80,2014-12-23 23:00:00+00:00,9.8865,4.4365,BE,2014-12-23,52,2014,2014-W52
81,2014-12-24 23:00:00+00:00,6.3865,3.0365,BE,2014-12-24,52,2014,2014-W52
82,2014-12-25 23:00:00+00:00,4.7865,0.8865,BE,2014-12-25,52,2014,2014-W52
83,2014-12-26 23:00:00+00:00,4.9365,-0.2635,BE,2014-12-26,52,2014,2014-W52
84,2014-12-27 23:00:00+00:00,-0.7635,-8.4635,BE,2014-12-27,52,2014,2014-W52
85,2014-12-28 23:00:00+00:00,5.0365,-9.1635,BE,2014-12-28,52,2014,2014-W52
86,2014-12-29 23:00:00+00:00,4.5864997,-0.8135,BE,2014-12-29,01,2014,2014-W01
87,2014-12-30 23:00:00+00:00,5.4365,1.0365,BE,2014-12-30,01,2014,2014-W01
