location,truth_date,year_week,value,relative_humidity_2m,temperature_2m_max,temperature_2m_min,covid
CZ,2014-10-05,2014-W40,796.5,86.958725,16.838501,10.338501,0
SI,2014-10-05,2014-W40,1030.699951171875,89.25604,16.841,10.040999,0
LU,2014-10-05,2014-W40,18900.0,90.84032,15.033501,11.7585,0
EE,2014-10-05,2014-W40,290.20001220703125,84.289635,8.7505,5.0255,0
BG,2014-10-05,2014-W40,410.3999938964844,80.5801,14.0805,5.4305,0
RO,2014-10-05,2014-W40,789.7000122070312,60.69998,17.712,6.1619997,0
LV,2014-10-05,2014-W40,1149.5,87.7451,10.1545,5.5295,0
BE,2014-10-05,2014-W40,1407.5,89.69107,13.7615,11.7615,0
LT,2014-10-05,2014-W40,540.5999755859375,83.98831,11.025,6.075,0
DE,2014-10-05,2014-W40,946.9000244140625,73.6116,17.3455,10.1705,0
BG,2014-10-12,2014-W41,496.8999938964844,85.35319,18.794785,9.680501,0
RO,2014-10-12,2014-W41,812.0999755859375,81.36599,17.758429,9.937001,0
LT,2014-10-12,2014-W41,580.5,78.73069,15.953572,9.667857,0
LV,2014-10-12,2014-W41,1167.4000244140625,83.98014,13.818787,9.354501,0
EE,2014-10-12,2014-W41,245.6999969482422,83.7163,12.254072,8.354072,0
LU,2014-10-12,2014-W41,23000.0,90.076416,16.287071,9.765642,0
DE,2014-10-12,2014-W41,1217.0,82.35962,18.809786,12.609786,0
BE,2014-10-12,2014-W41,1493.699951171875,83.31652,16.800785,10.5865,0
CZ,2014-10-12,2014-W41,820.0,82.368,19.724215,11.752786,0
SI,2014-10-12,2014-W41,1057.199951171875,86.4905,20.083858,13.726714,0
LT,2014-10-19,2014-W42,567.7999877929688,84.461784,11.196428,5.6178575,0
LV,2014-10-19,2014-W42,1066.300048828125,84.57906,9.490214,5.5402145,0
LU,2014-10-19,2014-W42,24500.0,88.56179,16.865643,9.744215,0
SI,2014-10-19,2014-W42,1115.300048828125,87.32204,19.533857,12.283857,0
BE,2014-10-19,2014-W42,1441.300048828125,82.441345,18.193644,12.500786,0
DE,2014-10-19,2014-W42,1123.0,88.3415,17.131214,10.7455,0
EE,2014-10-19,2014-W42,242.0,83.53447,7.804072,3.8469284,0
CZ,2014-10-19,2014-W42,830.5999755859375,85.35053,18.224215,10.5885,0
BG,2014-10-19,2014-W42,511.6000061035156,71.82646,20.130499,10.373358,0
RO,2014-10-19,2014-W42,795.0,81.203125,20.058428,9.922714,0
BE,2014-10-26,2014-W43,1514.0,79.80595,14.386499,9.779358,0
RO,2014-10-26,2014-W43,736.5,80.64973,11.051286,4.651286,0
CZ,2014-10-26,2014-W43,844.0999755859375,82.90759,11.324214,5.3385,0
LV,2014-10-26,2014-W43,1212.5,67.95666,4.368786,-0.47407135,0
SI,2014-10-26,2014-W43,957.7999877929688,82.347694,11.955285,7.0052857,0
LU,2014-10-26,2014-W43,23900.0,86.718025,12.265643,7.0942144,0
DE,2014-10-26,2014-W43,1189.9000244140625,85.45305,12.759786,8.2955,0
BG,2014-10-26,2014-W43,566.0,78.38481,9.451928,1.7162143,0
LT,2014-10-26,2014-W43,588.7000122070312,70.29903,4.160714,-1.4607145,0
EE,2014-10-26,2014-W43,245.6999969482422,71.57569,4.2326427,0.16121428,0
BE,2014-11-02,2014-W44,1401.199951171875,85.26345,16.029356,10.650786,0
LT,2014-11-02,2014-W44,471.0,79.734535,7.053571,0.8250001,0
RO,2014-11-02,2014-W44,741.9000244140625,84.44692,9.065572,2.6727142,0
DE,2014-11-02,2014-W44,999.9000244140625,88.42452,13.638357,6.981214,0
LV,2014-11-02,2014-W44,1032.199951171875,81.58662,8.8045,3.8045,0
EE,2014-11-02,2014-W44,292.5,85.51087,8.8255,5.254071,0
SI,2014-11-02,2014-W44,751.7999877929688,83.015686,11.969572,3.3338573,0
LU,2014-11-02,2014-W44,22600.0,92.75188,13.8585,7.6299286,0
BG,2014-11-02,2014-W44,621.7000122070312,87.47407,8.194786,1.2947856,0
CZ,2014-11-02,2014-W44,786.2999877929688,85.65618,13.252786,4.5099287,0
CZ,2014-11-09,2014-W45,839.0,85.85246,12.602786,6.6385,0
LT,2014-11-09,2014-W45,494.79998779296875,87.44562,10.567857,5.9964285,0
SI,2014-11-09,2014-W45,1031.199951171875,92.7357,14.576714,10.0695715,0
LV,2014-11-09,2014-W45,943.4000244140625,89.69093,8.590215,4.7402143,0
EE,2014-11-09,2014-W45,230.60000610351562,90.14655,7.368357,3.968357,0
LU,2014-11-09,2014-W45,19500.0,90.45732,9.337071,4.8013573,0
RO,2014-11-09,2014-W45,828.4000244140625,89.34376,14.187001,4.272714,0
BG,2014-11-09,2014-W45,1098.699951171875,81.43684,15.666214,5.7305,0
DE,2014-11-09,2014-W45,1140.0,85.00617,11.574072,6.538357,0
BE,2014-11-09,2014-W45,1560.0,82.00724,11.557929,6.8364997,0
RO,2014-11-16,2014-W46,762.2000122070312,87.71046,11.00843,7.0655713,0
CZ,2014-11-16,2014-W46,855.7999877929688,86.98455,13.145643,7.0099287,0
LV,2014-11-16,2014-W46,946.2000122070312,86.18157,6.9545007,4.8330717,0
EE,2014-11-16,2014-W46,238.0,91.084885,5.804071,3.5612142,0
BG,2014-11-16,2014-W46,1120.699951171875,88.56887,12.673357,6.0305,0
SI,2014-11-16,2014-W46,1168.0999755859375,93.64782,13.162429,9.433856,0
LU,2014-11-16,2014-W46,22000.0,93.56278,10.1085005,5.994214,0
LT,2014-11-16,2014-W46,514.5,85.95747,6.3535714,3.5607142,0
DE,2014-11-16,2014-W46,1157.9000244140625,89.81463,12.338357,7.1597857,0
BE,2014-11-16,2014-W46,1392.0999755859375,87.28587,12.179358,7.1293573,0
CZ,2014-11-23,2014-W47,918.5999755859375,90.19911,7.345643,3.7170713,0
LU,2014-11-23,2014-W47,20500.0,91.771736,9.594214,3.8656428,0
SI,2014-11-23,2014-W47,1228.5999755859375,88.08777,9.148142,2.6552856,0
BG,2014-11-23,2014-W47,1086.0,84.7337,8.073358,2.7447858,0
RO,2014-11-23,2014-W47,775.9000244140625,91.99154,7.529857,4.6512856,0
LT,2014-11-23,2014-W47,580.4000244140625,83.19128,0.675,-1.317857,0
LV,2014-11-23,2014-W47,799.2000122070312,83.3473,1.4973571,-0.26692858,0
EE,2014-11-23,2014-W47,266.1000061035156,90.15912,0.22550003,-1.8887857,0
BE,2014-11-23,2014-W47,1748.800048828125,90.72015,11.222215,5.579357,0
DE,2014-11-23,2014-W47,1157.9000244140625,87.33233,7.202643,4.2169285,0
BE,2014-11-30,2014-W48,1904.9000244140625,89.35047,8.372214,3.8150713,0
LT,2014-11-30,2014-W48,614.2000122070312,83.375786,-3.8607142,-8.082143,0
SI,2014-11-30,2014-W48,1406.4000244140625,91.28334,5.476714,2.583857,0
EE,2014-11-30,2014-W48,295.29998779296875,87.838,-1.5959284,-3.7102144,0
CZ,2014-11-30,2014-W48,1022.4000244140625,81.10636,4.324214,1.5385,0
LV,2014-11-30,2014-W48,1013.0,78.28905,-2.4383569,-4.8740716,0
BG,2014-11-30,2014-W48,1150.800048828125,84.43825,6.216214,0.10907145,0
DE,2014-11-30,2014-W48,1196.9000244140625,82.20777,2.7169285,-0.5687857,0
LU,2014-11-30,2014-W48,25500.0,91.261475,6.6727858,2.2799287,0
RO,2014-11-30,2014-W48,783.9000244140625,78.469055,0.8941428,-2.1130002,0
BG,2014-12-07,2014-W49,1200.199951171875,95.73252,6.109072,2.0519285,0
BE,2014-12-07,2014-W49,2036.4000244140625,86.930626,4.143643,0.23650001,0
LU,2014-12-07,2014-W49,24500.0,87.60377,3.301357,0.6513572,0
LT,2014-12-07,2014-W49,677.2000122070312,86.108864,-1.8678571,-4.725,0
LV,2014-12-07,2014-W49,1008.9000244140625,82.48175,-0.08835716,-3.2097857,0
DE,2014-12-07,2014-W49,1284.9000244140625,84.16831,2.7954998,-0.6116429,0
SI,2014-12-07,2014-W49,1385.5,96.17182,4.162429,1.8267144,0
RO,2014-12-07,2014-W49,743.7999877929688,93.2653,1.6584285,-0.37728572,0
CZ,2014-12-07,2014-W49,1049.699951171875,88.43131,5.059929,1.731357,0
EE,2014-12-07,2014-W49,278.70001220703125,90.91863,2.9255002,-0.5816428,0
EE,2014-12-14,2014-W50,279.8999938964844,89.732605,2.6040714,0.33978572,0
LV,2014-12-14,2014-W50,1049.0,88.68923,2.8830714,-0.06692858,0
RO,2014-12-14,2014-W50,879.2999877929688,93.57859,5.3155713,-0.9415714,0
DE,2014-12-14,2014-W50,1326.9000244140625,87.7021,5.6526427,1.2883571,0
SI,2014-12-14,2014-W50,1480.699951171875,79.844284,7.198143,1.591,0
CZ,2014-12-14,2014-W50,1125.5,76.61971,7.2385,1.7242143,0
BE,2014-12-14,2014-W50,2194.5,87.200745,7.1579285,2.9650712,0
LU,2014-12-14,2014-W50,25300.0,93.93816,4.894214,1.5442144,0
BG,2014-12-14,2014-W50,1171.300048828125,84.48641,5.516215,0.109071426,0
LT,2014-12-14,2014-W50,675.7000122070312,92.09165,1.8678571,-0.81071424,0
LT,2014-12-21,2014-W51,583.9000244140625,94.13999,4.7607145,1.0321429,0
LV,2014-12-21,2014-W51,932.9000244140625,90.76249,4.1545,0.92592853,0
LU,2014-12-21,2014-W51,27800.0,94.57237,7.015643,3.3227856,0
CZ,2014-12-21,2014-W51,1173.699951171875,82.618576,7.845643,3.9242146,0
RO,2014-12-21,2014-W51,847.2000122070312,91.98774,7.6870003,0.086999975,0
SI,2014-12-21,2014-W51,1682.199951171875,90.697914,8.812428,2.6195714,0
BG,2014-12-21,2014-W51,1060.5,81.8595,7.7733574,-0.04807145,0
DE,2014-12-21,2014-W51,1321.9000244140625,87.084656,8.059786,4.0740714,0
EE,2014-12-21,2014-W51,270.6000061035156,91.72991,2.5755,-0.03164288,0
BE,2014-12-21,2014-W51,2118.60009765625,88.52332,9.772215,5.529357,0
DE,2014-12-28,2014-W52,537.0,83.56339,3.2455,-0.60450023,0
LU,2014-12-28,2014-W52,27600.0,90.591835,3.2013571,-1.9272143,0
SI,2014-12-28,2014-W52,865.5999755859375,84.250084,3.4267142,-1.4375714,0
BG,2014-12-28,2014-W52,507.29998779296875,77.22878,4.801929,-5.662357,0
LV,2014-12-28,2014-W52,397.3999938964844,85.38114,-1.3240713,-4.1812143,0
CZ,2014-12-28,2014-W52,675.0,72.72843,3.0242143,-0.29721445,0
BE,2014-12-28,2014-W52,1493.5999755859375,85.20486,5.950786,-0.042071342,0
LT,2014-12-28,2014-W52,264.6000061035156,83.95943,-0.9535716,-4.910714,0
EE,2014-12-28,2014-W52,107.0,88.460365,-3.338786,-7.9245005,0
CZ,2015-01-04,2015-W01,601.0999755859375,84.29723,3.3009999,0.68850005,0
LU,2015-01-04,2015-W01,28300.0,94.29936,3.8085,-1.8165,0
LT,2015-01-04,2015-W01,351.0,90.95353,2.0249999,-1.1125,0
SI,2015-01-04,2015-W01,1139.699951171875,81.04897,3.641,-4.9715004,0
EE,2015-01-04,2015-W01,237.39999389648438,85.47719,2.038,-1.0995001,0
BG,2015-01-04,2015-W01,443.8999938964844,79.90287,0.20549995,-10.6945,0
RO,2015-01-04,2015-W01,339.8999938964844,86.667274,-0.8004999,-7.6379995,0
LV,2015-01-04,2015-W01,443.3999938964844,84.826706,3.117,-0.27049994,0
BE,2015-01-04,2015-W01,1671.5999755859375,86.12068,5.624,0.824,0
DE,2015-01-04,2015-W01,672.0,79.07814,5.133,1.7580001,0
LU,2015-01-11,2015-W02,27200.0,92.72097,5.8370714,1.4584999,0
LV,2015-01-11,2015-W02,1008.0,78.452034,-0.07407137,-5.3312144,0
CZ,2015-01-11,2015-W02,1037.699951171875,79.73429,6.031357,1.2813572,0
BG,2015-01-11,2015-W02,1268.9000244140625,80.567856,0.83764297,-8.055214,0
EE,2015-01-11,2015-W02,228.10000610351562,83.2604,-1.5316429,-6.681643,0
BE,2015-01-11,2015-W02,2178.10009765625,85.15412,8.722215,3.0150714,0
DE,2015-01-11,2015-W02,1370.9000244140625,85.800766,6.502643,1.9883572,0
SI,2015-01-11,2015-W02,1516.5,88.12238,5.005286,-1.759,0
RO,2015-01-11,2015-W02,737.2999877929688,85.136795,-0.4487142,-9.463,0
LT,2015-01-11,2015-W02,552.7000122070312,81.013756,-1.182143,-6.446429,0
EE,2015-01-18,2015-W03,224.3000030517578,90.2604,2.8969285,-0.060214285,0
DE,2015-01-18,2015-W03,1293.9000244140625,82.17163,6.9597855,1.0383571,0
BE,2015-01-18,2015-W03,2124.199951171875,82.60993,6.3436427,2.6150715,0
CZ,2015-01-18,2015-W03,1030.5,75.14793,6.5170717,0.5742143,0
LU,2015-01-18,2015-W03,23800.0,86.94859,5.2585,0.28707138,0
BG,2015-01-18,2015-W03,1280.9000244140625,71.09917,6.6876426,-2.462357,0
SI,2015-01-18,2015-W03,1563.699951171875,88.3913,8.498143,2.391,0
RO,2015-01-18,2015-W03,818.7999877929688,91.77946,5.3727145,-4.8415713,0
LT,2015-01-18,2015-W03,633.9000244140625,90.41007,2.9107144,-0.13928564,0
LV,2015-01-18,2015-W03,1065.300048828125,90.112114,3.1902144,0.32592854,0
RO,2015-01-25,2015-W04,888.7000122070312,95.30989,5.6870003,1.6155714,0
BG,2015-01-25,2015-W04,1744.699951171875,89.11994,8.073358,1.4376428,0
DE,2015-01-25,2015-W04,1418.9000244140625,89.83147,2.1097858,-0.9830714,0
EE,2015-01-25,2015-W04,307.5,86.30089,-1.3602142,-4.4459286,0
LT,2015-01-25,2015-W04,784.7000122070312,90.53282,-0.1678571,-2.2107143,0
LV,2015-01-25,2015-W04,1240.199951171875,86.51235,-0.7526428,-2.9169288,0
CZ,2015-01-25,2015-W04,1244.4000244140625,87.10521,3.3099284,-0.93292856,0
BE,2015-01-25,2015-W04,2440.39990234375,88.71315,3.7650714,-0.73492855,0
LU,2015-01-25,2015-W04,29200.0,86.80189,2.2227857,-1.9914999,0
SI,2015-01-25,2015-W04,1965.199951171875,86.27101,5.3338575,0.641,0
RO,2015-02-01,2015-W05,1044.9000244140625,86.297485,7.2227144,0.7012858,0
CZ,2015-02-01,2015-W05,1593.5,75.08915,3.5742142,-1.2115,0
