,location,truth_date,year_week,value,relative_humidity_2m,temperature_2m_max,temperature_2m_min,covid
0,SI,2014-10-05,2014-W40,0.0,89.25604,16.841,10.040999,0
1,DK,2014-10-05,2014-W40,16.299999237060547,82.63523,15.413,10.087999,0
2,EE,2014-10-05,2014-W40,69.5,84.289635,8.7505,5.0255,0
3,PL,2014-10-05,2014-W40,300.79998779296875,72.35955,14.721,3.8209999,0
4,FR,2014-10-05,2014-W40,26.0,83.13193,14.605,10.530001,0
5,AT,2014-10-05,2014-W40,589.5999755859375,90.843956,13.668,6.2680006,0
6,HR,2014-10-05,2014-W40,0.0,82.38372,17.7535,9.4785,0
7,RO,2014-10-05,2014-W40,6.0,60.69998,17.712,6.1619997,0
8,GR,2014-10-05,2014-W40,321.29998779296875,62.914062,22.810999,15.561,0
9,HU,2014-10-05,2014-W40,40.400001525878906,91.93074,17.161499,8.5365,0
10,IE,2014-10-05,2014-W40,1.899999976158142,79.25933,13.6195,9.4695,0
11,LV,2014-10-05,2014-W40,0.0,87.7451,10.1545,5.5295,0
12,BE,2014-10-05,2014-W40,13.800000190734863,89.69107,13.7615,11.7615,0
13,LU,2014-10-05,2014-W40,0.0,90.84032,15.033501,11.7585,0
14,LT,2014-10-05,2014-W40,0.20000000298023224,83.98831,11.025,6.075,0
15,NL,2014-10-05,2014-W40,34.70000076293945,81.79714,15.161,12.536,0
16,CZ,2014-10-05,2014-W40,16.600000381469727,86.958725,16.838501,10.338501,0
17,NO,2014-10-05,2014-W40,25.899999618530273,89.180855,12.864,8.789,0
18,EE,2014-10-12,2014-W41,66.9000015258789,83.7163,12.254072,8.354072,0
19,MT,2014-10-12,2014-W41,1000.0,71.94568,24.270071,21.448643,0
20,RO,2014-10-12,2014-W41,4.199999809265137,81.36599,17.758429,9.937001,0
21,IE,2014-10-12,2014-W41,6.400000095367432,83.170395,12.962357,7.5123568,0
22,LT,2014-10-12,2014-W41,0.20000000298023224,78.73069,15.953572,9.667857,0
23,AT,2014-10-12,2014-W41,547.2999877929688,83.160194,18.064428,8.493001,0
24,SI,2014-10-12,2014-W41,0.0,86.4905,20.083858,13.726714,0
25,LV,2014-10-12,2014-W41,0.0,83.98014,13.818787,9.354501,0
26,HU,2014-10-12,2014-W41,44.5,82.58579,21.311499,12.054358,0
27,NL,2014-10-12,2014-W41,38.099998474121094,81.49078,16.232428,11.339571,0
28,DK,2014-10-12,2014-W41,16.299999237060547,85.627235,15.120142,9.855857,0
