truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-15;GR;2023-W41;742,3;57,621387;25,497715;16,276285;1;695,1386582247011;;;
2023-10-22;GR;2023-W42;902,0;75,97841;24,504856;17,740572;1;709,5745278997988;658,4879185125708;;
2023-10-29;GR;2023-W43;666,0;73,67208;25,747715;18,212;1;902,3864084836098;693,550357540834;635,2211908668424;
2023-11-05;GR;2023-W44;714,0;69,771835;25,33343;17,447714;1;641,228814458819;896,4652038106277;657,9273968992574;603,2845144731202
2023-11-12;GR;2023-W45;653,5;70,081024;22,676287;14,854857;1;644,2971360255144;566,4268200740869;857,4502457662472;633,2679387489795
2023-11-19;GR;2023-W46;643,6;66,07998;19,404858;11,326286;1;653,5291110536865;643,7065946067714;554,7564860379257;828,1652538181482
2023-11-26;GR;2023-W47;740,3;73,51991;17,526287;10,276285;1;599,3425235313205;609,9646869377693;598,7081686285742;515,3548403559566
2023-12-03;GR;2023-W48;774,0;73,242546;19,012;12,619143;1;732,211196399737;581,305602229721;593,4753046082988;582,9538586515345
2023-12-10;GR;2023-W49;896,7;78,93223;14,354857;8,219143;1;766,6301967835798;721,8113993204238;549,5232666979783;560,9057418659365
2023-12-17;GR;2023-W50;1191,1;78,66363;16,026285;9,776285;1;881,4347685766681;741,2824046596529;690,2297173362044;528,645453641132
2023-12-24;GR;2023-W51;1079,0;71,910995;16,204859;7,954857;1;1209,4027621593457;873,2586647723527;713,1396223842089;665,1749831832528
2023-12-31;GR;2023-W52;2272,2;79,26598;16,11825;8,8745;1;1077,3461956299861;1219,055089926692;834,0544986218156;683,1833050811945
2024-01-07;GR;2024-W01;2205,8;77,76461;16,433428;10,426286;1;2264,3024714402122;1008,8351277441111;1171,1206509993933;806,1667216837257
2024-01-14;GR;2024-W02;1250,7;74,92755;10,590571;3,6477144;1;2435,7292843663445;2495,1037200428577;983,9740280750517;1138,1296125847698
2024-01-21;GR;2024-W03;1087,5;76,60158;15,190573;9,590571;1;1106,4182791654625;2312,178931733218;2387,1924220541914;934,647646285321
2024-01-28;GR;2024-W04;711,2;67,072586;11,804857;3,0191429;1;1001,7343543395509;1018,5032702840249;2326,981752774875;2398,485143743069
2024-02-04;GR;2024-W05;894,1;68,73553;12,883429;4,4477143;1;644,7613571382907;964,7971045836562;980,9578311585232;2230,9578729834548
2024-02-11;GR;2024-W06;964,2;69,65279;17,319143;10,940572;1;843,5132241103631;582,8282644935889;921,0306617250187;937,2013012198995
2024-02-18;GR;2024-W07;975,8;75,94257;14,197715;6,5048566;1;954,3325575556797;829,5776936780012;552,0672132850909;885,4187893612091
2024-02-25;GR;2024-W08;798,2;79,8612;15,326286;9,226286;1;941,3018315434755;918,9194858520419;787,9644135352836;522,4326814345563
2024-03-03;GR;2024-W09;696,1;81,51728;17,026287;11,154857;1;754,7199653525504;904,7061886245785;881,3027320309617;755,9754206192264
2024-03-10;GR;2024-W10;702,0;75,02856;16,033428;8,547714;1;647,6385749628557;709,1890955231515;865,7638566899059;843,3371301937558
2024-03-17;GR;2024-W11;640,0;73,73014;17,154858;8,897715;1;671,7763701226903;614,7495248168583;678,9633242563382;828,7350424021478
2024-03-24;GR;2024-W12;799,8;68,08234;17,026287;7,447715;1;612,1446842112971;645,4187539000154;586,0326316054621;647,4279897421654
2024-03-31;GR;2024-W13;885,0;59,376186;23,097715;14,176286;1;777,8159011151547;581,6402987961463;616,2722415746548;559,5019567713309
2024-04-07;GR;2024-W14;890,0;42,882725;25,104858;14,519143;1;872,5377682809808;760,3622334374279;556,2500849539636;589,3274818287974
2024-04-14;GR;2024-W15;891,9;45,44712;26,047714;14,212;1;861,0135108925435;842,677866432314;725,8679025680053;530,987417255068
2024-04-21;GR;2024-W16;794,8;56,475464;21,797714;13,947715;1;859,4352541925787;826,9976454603659;807,8984453312623;696,1928314236538
2024-04-28;GR;2024-W17;462,6;55,553493;23,354858;13,826286;1;758,1049643408227;825,9889500309748;792,1677320890964;773,8864053452482
2024-05-05;GR;2024-W18;639,4;57,723446;23,269144;13,683429;1;409,1979252195527;720,1983619074267;790,9946071020751;758,5866555187359
2024-05-12;GR;2024-W19;561,4;52,043983;23,740572;15,811999;1;606,9424022413717;366,0619170659684;689,8942865174888;757,7418099455904
2024-05-19;GR;2024-W20;508,9;60,76643;25,126286;16,147715;1;552,9546475222143;599,9853699453924;350,0029699074752;659,6418626446027
2024-05-26;GR;2024-W21;472,1;49,254375;28,112;18,433428;1;475,7449702317298;521,2977144297903;570,2225215277751;331,5481015433038
2024-06-02;GR;2024-W22;472,7;46,210308;28,147715;19,08343;0;450,12402654469156;453,8999450764727;501,2312167960433;547,8921088638135
2024-06-09;GR;2024-W23;409,8;35,305653;35,247715;24,012;0;452,6264726873628;429,13260216910373;433,0685843322801;478,111773426058
2024-06-16;GR;2024-W24;394,7;35,195175;35,55486;25,726286;0;390,17226475833274;434,68632009690714;410,3178557486833;414,0768480379437
2024-06-23;GR;2024-W25;388,0;35,619816;36,14057;24,483429;0;373,9431429895746;369,24412274650047;415,3752263180089;392,13249749966934
2024-06-30;GR;2024-W26;379,5;39,044895;34,169144;23,290571;0;372,90772449711693;358,2989934928074;353,43353394003896;397,37769727250657
2024-07-07;GR;2024-W27;380,8;51,49175;32,612;22,212002;0;364,0514686393064;357,20064281065396;342,0650955631958;337,4372412567344
2024-07-14;GR;2024-W28;394,1;31,724049;37,519142;26,14057;0;366,0601542978026;348,66439239640397;341,56732914794213;327,15157835233447
2024-07-21;GR;2024-W29;412,0;31,397614;37,55486;26,854858;0;380,4958775979022;351,37054782135965;333,3587647103056;326,60008489047436
2024-07-28;GR;2024-W30;599,8;42,071953;35,43343;25,176287;0;398,82694194906776;366,0710531545819;335,90598739197833;318,76343043024184
2024-08-04;GR;2024-W31;421,3;33,96392;35,219143;24,712002;0;592,9183098324431;383,9624060963645;350,0121931206177;321,294158534881
2024-08-11;GR;2024-W32;467,4;43,783443;34,876286;24,969143;0;405,92117421147407;583,8209017109058;367,24507733480027;334,8903972313307
2024-08-18;GR;2024-W33;545,3;37,5984;36,397713;25,183428;0;436,7656250905636;373,41311572631196;557,8379287849408;351,4485776719571
2024-08-25;GR;2024-W34;464,2;46,001366;34,654858;24,712;0;537,7045841125667;425,68609464703775;359,8641864503104;535,5503718473155
2024-09-01;GR;2024-W35;494,3;54,914272;31,090572;22,397715;0;445,1420150612531;521,1802658066443;404,94557245263877;342,33785854425645
2024-09-08;GR;2024-W36;339,5;55,35845;32,047714;22,026287;0;471,4623251764698;420,6342903498403;499,3076894548808;388,52774132948105
2024-09-15;GR;2024-W37;337,0;56,519264;28,640574;20,526287;0;319,6275554692274;456,00034594777753;403,40320802553265;478,48734459378284
2024-09-22;GR;2024-W38;577,4;57,99066;26,790571;18,076284;0;312,16075679788577;294,22507736294006;435,5884077261662;385,41515566557825
2024-09-29;GR;2024-W39;578,6;54,2558;29,090572;20,369143;0;575,1442879527376;301,26127432191623;282,6538002153579;417,4625281972476
2024-10-06;GR;2024-W40;603,6;62,057625;26,876286;18,44057;0;573,1124094921481;569,5252161317686;286,84779570543554;269,12089757352993
2024-10-13;GR;2024-W41;614,3;60,486084;27,962;20,212;0;579,8335859042052;548,3246983559976;544,6030807823679;274,83913307854385
