truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-15;MT;2023-W41;5300,0;71,22579;27,794071;21,201216;1;3696,570463344674;;;
2023-10-22;MT;2023-W42;5900,0;64,48537;29,172644;22,458357;1;4774,076418139861;3586,6424037585953;;
2023-10-29;MT;2023-W43;5100,0;74,52575;26,544071;21,544071;1;5470,592109838528;4634,946595838763;3421,1728660025205;
2023-11-05;MT;2023-W44;5300,0;68,146736;25,922644;20,322643;1;5001,850336400407;5277,075049809297;4422,518019752204;3276,0002257257356
2023-11-12;MT;2023-W45;8900,0;70,56925;24,051214;19,394072;1;4984,498831968536;4763,04031380638;5044,586270553825;4236,416860748872
2023-11-19;MT;2023-W46;9500,0;65,809395;22,794071;18,536928;1;7704,228431963611;4792,464862307751;4565,814792664929;4832,200492595852
2023-11-26;MT;2023-W47;9200,0;66,915764;19,001215;14,779785;1;8909,840209269454;7566,7474759494535;4584,69001497651;4370,173890431086
2023-12-03;MT;2023-W48;9300,0;65,97148;20,672642;16,68693;1;8810,710965934393;8592,274512509335;7215,861449219383;4390,925991015412
2023-12-10;MT;2023-W49;8300,0;66,650955;17,9155;13,808357;1;8827,190701791333;8458,76473755085;8234,54720333082;6926,997587067332
2023-12-17;MT;2023-W50;9000,0;73,50411;18,329786;13,815499;1;8098,1565048091215;8494,757048877924;8116,417347239126;7902,637921363073
2023-12-24;MT;2023-W51;7000,0;71,803085;17,229786;14,629786;1;8420,505037138473;7742,765967187631;8149,72598061891;7788,876254638173
2023-12-31;MT;2023-W52;11100,0;75,872215;17,853;13,65925;1;7066,538773072609;8132,162758510605;7436,226868291667;7824,057396614252
2024-01-07;MT;2024-W01;10500,0;72,748024;17,544071;12,4655;1;9709,656896530472;6704,539783137404;7797,903636668815;7134,701731166608
2024-01-14;MT;2024-W02;8700,0;70,686295;15,901215;11,822642;1;10138,573514082284;9548,49818751613;6448,569250411529;7489,262916423599
2024-01-21;MT;2024-W03;10600,0;75,75396;18,101215;12,5155;1;8662,81152677134;9743,764087467214;9134,330339324204;6183,396557008194
2024-01-28;MT;2024-W04;10000,0;72,72248;16,594072;11,508356;1;9707,320308394921;8258,691161699726;9374,308279963996;8793,244639629973
2024-02-04;MT;2024-W05;7900,0;67,12208;16,051214;11,336928;1;9666,931087425954;9447,896180493031;7950,531361883055;9016,677753707014
2024-02-11;MT;2024-W06;9900,0;71,60905;18,494074;12,672643;1;7968,344274481908;9292,664691170461;9066,22351317359;7636,953320850227
2024-02-18;MT;2024-W07;8900,0;71,9667;17,029787;11,3654995;1;9016,803786150016;7577,170517443886;8944,342555599127;8728,105586357055
2024-02-25;MT;2024-W08;8400,0;77,887596;16,58693;12,322642;1;8703,017001134927;8789,934811938201;7301,190567269219;8606,553683940934
2024-03-03;MT;2024-W09;7300,0;75,57996;17,1155;11,786928;1;8117,555754605295;8343,56962772047;8433,376852131885;7014,020317601659
2024-03-10;MT;2024-W10;9700,0;71,63552;18,351213;13,229785;1;7192,487280179232;7801,77902624328;8035,414105344154;8120,939257063291
2024-03-17;MT;2024-W11;7200,0;73,15388;17,779787;12,1154995;1;8742,486743245407;6878,748677670979;7507,7419515053625;7730,518174371825
2024-03-24;MT;2024-W12;5000,0;75,24581;19,822645;13,358357;1;7408,845464609994;8551,102939986922;6623,590285657407;7222,687595158724
2024-03-31;MT;2024-W13;4900,0;64,69168;24,215502;15,451215;1;5229,183456432813;7020,209315247382;8203,534929465277;6367,904640794657
2024-04-07;MT;2024-W14;1900,0;63,940533;21,772644;13,6655;1;4686,71018380118;4930,866396484396;6779,2322304450145;7905,382037708377
2024-04-14;MT;2024-W15;3900,0;74,395386;21,151215;16,1655;1;2441,8179109591174;4507,661842586987;4758,95971731347;6517,380592188551
2024-04-21;MT;2024-W16;2700,0;67,82491;19,08693;14,644072;1;3282,443722172217;2208,0704815484196;4329,9182491821975;4568,376940179688
2024-04-28;MT;2024-W17;2000,0;70,91561;19,015501;14,065499;1;2826,80224901792;3255,730802323197;2149,7679914075384;4160,4043167241625
2024-05-05;MT;2024-W18;4500,0;71,980804;21,322643;15,251214;1;2052,497564863283;2662,276055006951;3103,699591486307;2057,2021182757676
2024-05-12;MT;2024-W19;3000,0;79,66893;21,3655;15,829786;1;3743,754058664127;1941,2137340018571;2568,354907663912;2985,8896457840738
2024-05-19;MT;2024-W20;3100,0;67,32916;27,329786;19,272644;1;3179,175967388579;3725,652468444923;1870,4439321618288;2463,819463668711
2024-10-06;MT;2024-W40;4400,0;62,59211;26,729786;20,844072;0;2927,931159564052;2986,1561673094193;3549,389393984363;1794,443226364377
2024-10-13;MT;2024-W41;4600,0;66,957344;27,473833;21,515501;0;3906,437050350287;2823,0875902364514;2883,072299165688;3415,7266267714635
