location;model;prediction_window;mae;rmse
CZ;ARIMA;1_week;79,09559980274184;125,37341071147334
CZ;ARIMA;2_week;182,7722467413415;239,7391209869099
CZ;ARIMA;3_week;249,4258494240215;327,493200514181
CZ;ARIMA;4_week;267,48808707136544;344,99648182320124
SI;ARIMA;1_week;234,89237780027858;306,89810313043006
SI;ARIMA;2_week;410,37049873759696;526,2828417538188
SI;ARIMA;3_week;539,9155642760705;661,2302587724987
SI;ARIMA;4_week;604,4084830575827;733,2586387512197
LU;ARIMA;1_week;3859,880750403739;5240,001333600803
LU;ARIMA;2_week;4487,583036944513;5794,634166570063
LU;ARIMA;3_week;5061,2826423296565;6566,298052665238
LU;ARIMA;4_week;4836,742202814047;6283,403911859662
EE;ARIMA;1_week;35,132340683532405;51,45578264550455
EE;ARIMA;2_week;65,62617368183336;92,11170469040789
EE;ARIMA;3_week;88,54125789124703;126,81052820798976
EE;ARIMA;4_week;104,19104672239155;149,0455066894423
BG;ARIMA;1_week;117,35394727968396;181,37774677657262
BG;ARIMA;2_week;207,19492515246793;313,0350599683775
BG;ARIMA;3_week;282,5463332283788;396,9143592346256
BG;ARIMA;4_week;321,78965653068184;415,4643210161699
RO;ARIMA;1_week;100,07344609124857;136,58889347611608
RO;ARIMA;2_week;162,01121269043585;217,91105737668354
RO;ARIMA;3_week;188,54116806717911;242,13606543627745
RO;ARIMA;4_week;169,0522067661569;226,19968051858623
LV;ARIMA;1_week;111,161975;144,809235
LV;ARIMA;2_week;228,453435;272,718865
LV;ARIMA;3_week;291,023703;345,904763
LV;ARIMA;4_week;290,778961;343,213444
BE;ARIMA;1_week;151,95357485138317;190,47283967664978
BE;ARIMA;2_week;233,84686650870913;307,59431161029016
BE;ARIMA;3_week;297,0021717315517;383,19236414564057
BE;ARIMA;4_week;318,73744821132436;421,22895525167127
LT;ARIMA;1_week;117,71334790307391;170,27564133003492
LT;ARIMA;2_week;231,80412548014397;298,0959652271333
LT;ARIMA;3_week;277,3065481854875;365,9261708394723
LT;ARIMA;4_week;273,47583460387995;353,09357414840605
DE;ARIMA;1_week;183,75690631211003;280,3459385543811
DE;ARIMA;2_week;318,61988191959966;411,6778641806373
DE;ARIMA;3_week;406,4807673327527;521,0642990919846
DE;ARIMA;4_week;408,67953071471607;526,2401052981585
FR;ARIMA;1_week;31,613420698229845;39,79148889336145
FR;ARIMA;2_week;79,02600363044401;99,4673964484687
FR;ARIMA;3_week;115,5025360959158;138,15267098591875
FR;ARIMA;4_week;136,7043106437969;153,48872369033603
ES;ARIMA;1_week;57,17626127649434;77,40442823696486
ES;ARIMA;2_week;101,28551680304982;138,07002371745392
ES;ARIMA;3_week;153,85121907206275;208,36419115828866
ES;ARIMA;4_week;183,35443279264237;238,14614507822222
HU;ARIMA;1_week;342,28750228881836;499,5878925311849
HU;ARIMA;2_week;775,0300292968749;996,7838072264354
HU;ARIMA;3_week;1131,596396309989;1423,2883280323729
HU;ARIMA;4_week;1514,011493389423;1866,5731508533436
