location;model;prediction_window;mape;nrmse
CZ;SARIMA;1_week;6,708485569459779;0,07973808881985858
CZ;SARIMA;2_week;15,967236792300291;0,18871541431025057
CZ;SARIMA;3_week;21,604587029876548;0,25122425369852325
CZ;SARIMA;4_week;25,122242836298003;0,2638593149601351
SI;SARIMA;1_week;16,46567654590514;0,11945451010804727
SI;SARIMA;2_week;25,607138572407617;0,22259800438619962
SI;SARIMA;3_week;30,48483093399412;0,27256198484366606
SI;SARIMA;4_week;31,353517985757705;0,2936849025044513
LU;SARIMA;1_week;24,189124602496953;0,17609944062545166
LU;SARIMA;2_week;27,601368276400244;0,19610099811826445
LU;SARIMA;3_week;33,24942189209425;0,23149973179028113
LU;SARIMA;4_week;29,105709264574227;0,1952588650030294
EE;SARIMA;1_week;14,279522663360167;0,11866096731061736
EE;SARIMA;2_week;27,940423828111165;0,21334699965700318
EE;SARIMA;3_week;37,03289637574774;0,2947745807108025
EE;SARIMA;4_week;42,57870320466871;0,3419454421610272
BG;SARIMA;1_week;13,703305234979496;0,0997782718798693
BG;SARIMA;2_week;21,875243731420824;0,14972900530872393
BG;SARIMA;3_week;29,34700713803936;0,1927150215289994
BG;SARIMA;4_week;34,91916663095598;0,20953624885630803
RO;SARIMA;1_week;15,222366708382703;0,1671326991212397
RO;SARIMA;2_week;22,425884937575027;0,2712665911998908
RO;SARIMA;3_week;26,54324211891337;0,3205298800554376
RO;SARIMA;4_week;25,382379927131556;0,3116066958025437
LV;SARIMA;1_week;9,112251494791327;0,21984096015627194
LV;SARIMA;2_week;18,69442089909785;0,41402591738152605
LV;SARIMA;3_week;22,990917042141792;0,5251324922827842
LV;SARIMA;4_week;23,245831894688582;0,5210466790212986
BE;SARIMA;1_week;13,82646902977174;0,10818216993966866
BE;SARIMA;2_week;21,384839486343893;0,16626669665802446
BE;SARIMA;3_week;30,452726544712057;0,20739566648821953
BE;SARIMA;4_week;35,220794054498015;0,23187470657843218
LT;SARIMA;1_week;13,428012462902009;0,141399263786001
LT;SARIMA;2_week;23,736201145481978;0,24511083997890584
LT;SARIMA;3_week;29,37807305872105;0,30424285692093495
LT;SARIMA;4_week;31,977210114591653;0,2976805204757044
DE;SARIMA;1_week;11,365617760557626;0,11021345243207062
DE;SARIMA;2_week;18,127655962696398;0,17308519068421396
DE;SARIMA;3_week;25,868569746648838;0,24448627945339052
DE;SARIMA;4_week;30,321634407807004;0,2793552504855166
FR;SARIMA;1_week;14,688677420906698;0,0970760921776242
FR;SARIMA;2_week;36,95499789541539;0,24266261501458417
FR;SARIMA;3_week;59,077705164326645;0,3370399714333745
FR;SARIMA;4_week;75,80332875497453;0,3744539738701202
ES;SARIMA;1_week;10,152535136559509;0,10038108703183561
ES;SARIMA;2_week;19,390981712004386;0,1818876037005035
ES;SARIMA;3_week;29,65576672202857;0,2750756349025251
ES;SARIMA;4_week;37,19556154756608;0,3141552645189997
HU;SARIMA;1_week;18,26490193608703;0,24801134785216453
HU;SARIMA;2_week;37,231610391403635;0,4940225954759903
HU;SARIMA;3_week;51,65540041334074;0,6785295994403647
HU;SARIMA;4_week;63,44107479349835;0,8111548691491154
