location,model,prediction_window,mae,rmse
CZ,ARIMA,1_week,0.09326579592960789,125.3736492206988
CZ,ARIMA,2_week,0.200098182144389,239.7419424697428
CZ,ARIMA,3_week,0.2645202114555796,327.49510837608557
CZ,ARIMA,4_week,0.3049277978037987,344.9950080131052
SI,ARIMA,1_week,0.1830239570963991,306.88433656212516
SI,ARIMA,2_week,0.27946629372090387,526.2625296874849
SI,ARIMA,3_week,0.3670702877738179,661.2005169526925
SI,ARIMA,4_week,0.4066242883027631,733.2391193836969
LU,ARIMA,1_week,0.23850138090005052,5238.917634655898
LU,ARIMA,2_week,0.283663264379157,5794.319745693937
LU,ARIMA,3_week,0.32300710063741367,6566.134619747017
LU,ARIMA,4_week,0.3233199542210531,6284.567003724405
EE,ARIMA,1_week,0.1494981370227918,51.45577992507499
EE,ARIMA,2_week,0.281329405803974,92.11169607431569
EE,ARIMA,3_week,0.37511827103084106,126.81049434299358
EE,ARIMA,4_week,0.4369854869001081,149.04550084519013
BG,ARIMA,1_week,0.15123197052227408,181.37774676129047
BG,ARIMA,2_week,0.24894252292294358,313.03505987993435
BG,ARIMA,3_week,0.3476186890669178,396.91435911624205
BG,ARIMA,4_week,0.4004432029187888,415.4643208324971
RO,ARIMA,1_week,0.15014086570976112,136.58889343395367
RO,ARIMA,2_week,0.22510902743168767,217.91105731877465
RO,ARIMA,3_week,0.26201037978152303,242.13606547088835
RO,ARIMA,4_week,0.22452542522928082,226.19968087167558
LV,ARIMA,1_week,0.09112251394532984,144.8092348089409
LV,ARIMA,2_week,0.1869442059300265,272.71886508378356
LV,ARIMA,3_week,0.22990916632710331,345.9047628410731
LV,ARIMA,4_week,0.23245831559473765,343.21344431394283
BE,ARIMA,1_week,0.14749312420009514,190.47283892547833
BE,ARIMA,2_week,0.22881512284873354,307.59431497851193
BE,ARIMA,3_week,0.31955708492366425,383.1923696863567
BE,ARIMA,4_week,0.3654881391133642,421.22895261634187
LT,ARIMA,1_week,0.13531306417561528,170.27564144199525
LT,ARIMA,2_week,0.24421317922302285,298.09596541580385
LT,ARIMA,3_week,0.2946237321257366,365.9261710746561
LT,ARIMA,4_week,0.3112008150423309,353.09357433149285
DE,ARIMA,1_week,0.14069302098723147,280.34593818429056
DE,ARIMA,2_week,0.23305348057395542,411.677864627179
DE,ARIMA,3_week,0.29564433274430446,521.0642996199152
DE,ARIMA,4_week,0.30343928731705033,526.2401055700407
FR,ARIMA,1_week,0.14688677176149223,39.79148881858271
FR,ARIMA,2_week,0.3695499746682508,99.46740425799487
FR,ARIMA,3_week,0.5907770444494765,138.15268281680397
FR,ARIMA,4_week,0.7580332778761665,153.48868249987075
ES,ARIMA,1_week,0.11240793348397896,77.36958506719981
ES,ARIMA,2_week,0.1970054650132409,138.08271848380022
ES,ARIMA,3_week,0.29502081355534676,208.42325534666963
ES,ARIMA,4_week,0.37222463731549305,238.26054779915756
HU,ARIMA,1_week,0.1774682554458078,499.58789253118476
HU,ARIMA,2_week,0.408311689881815,996.7838072264353
HU,ARIMA,3_week,0.5492145089392731,1423.2883280323724
HU,ARIMA,4_week,0.7441832765710951,1866.5731508533431
CZ,SARIMA,1_week,0.06708485748027154,94.6969548701269
CZ,SARIMA,2_week,0.15967236647407046,224.11842250622658
CZ,SARIMA,3_week,0.21604587060779568,298.35392288070574
CZ,SARIMA,4_week,0.2512224322775795,313.3593248769654
SI,SARIMA,1_week,0.1646567648595729,279.86995824066764
SI,SARIMA,2_week,0.2560713844137735,521.5248569604196
SI,SARIMA,3_week,0.30484831118850914,638.5854689608655
SI,SARIMA,4_week,0.3135351861480117,688.0743516640864
LU,SARIMA,1_week,0.24189124602514234,5529.522435639183
LU,SARIMA,2_week,0.2760136827642028,6157.571340913504
LU,SARIMA,3_week,0.332494218921173,7269.091578214827
LU,SARIMA,4_week,0.2910570926459543,6131.128361095123
EE,SARIMA,1_week,0.14279522885442755,51.427665173653615
EE,SARIMA,2_week,0.27940423814217286,92.464591158859
EE,SARIMA,3_week,0.37032896028958173,127.75530499949103
EE,SARIMA,4_week,0.4257870319985928,148.19915701566143
