;location;model;prediction_window;mae;rmse
0;CZ;ARIMAX;1_week;0,13195995130795754;145,08741369263407
1;CZ;ARIMAX;2_week;0,22099261056483893;231,69984625037998
2;CZ;ARIMAX;3_week;0,2656169953346788;290,0516380277334
3;CZ;ARIMAX;4_week;0,28463991736442923;320,6370298487567
4;SI;ARIMAX;1_week;0,1904622969842442;303,72924153177826
5;SI;ARIMAX;2_week;0,2626082858414141;479,04763389147786
6;SI;ARIMAX;3_week;0,3118054579555204;577,8436209339076
7;SI;ARIMAX;4_week;0,3365042714005825;616,3482175177314
8;LU;ARIMAX;1_week;0,22529753368617098;5052,038509607433
9;LU;ARIMAX;2_week;0,29066737735799;5625,039238084926
10;LU;ARIMAX;3_week;0,3117825706396331;6007,765714605133
11;LU;ARIMAX;4_week;0,31539436518840214;6008,462415332952
12;EE;ARIMAX;1_week;0,14777755967313203;49,98739297659881
13;EE;ARIMAX;2_week;0,2763620451000111;91,35883737887444
14;EE;ARIMAX;3_week;0,3648312623580537;125,09188916713144
15;EE;ARIMAX;4_week;0,41335608190786327;145,04450508999665
16;BG;ARIMAX;1_week;0,15657102415069635;171,05026727312665
17;BG;ARIMAX;2_week;0,2348483644749437;286,91982815492366
18;BG;ARIMAX;3_week;0,2935513881190075;349,2204451593501
19;BG;ARIMAX;4_week;0,32856598405604936;357,18854806708543
20;RO;ARIMAX;1_week;0,15996660055954187;143,40185909092645
21;RO;ARIMAX;2_week;0,2148171789256506;205,25958134121606
22;RO;ARIMAX;3_week;0,21495200818935187;208,645068695265
23;RO;ARIMAX;4_week;0,20797385450987319;205,48361890820675
24;LV;ARIMAX;1_week;0,10341768004148712;158,35362454995095
25;LV;ARIMAX;2_week;0,16592751532069658;264,2528594141636
26;LV;ARIMAX;3_week;0,19929508615640842;314,65595739769327
27;LV;ARIMAX;4_week;0,19373161114143395;301,464854378007
28;BE;ARIMAX;1_week;0,16468522078949102;205,50102463562368
29;BE;ARIMAX;2_week;0,24560599907715502;306,0473382693178
30;BE;ARIMAX;3_week;0,32043777012045954;384,0362862953936
31;BE;ARIMAX;4_week;0,3862221164285205;428,5533211201897
32;LT;ARIMAX;1_week;0,13544064281841223;169,89331779810897
33;LT;ARIMAX;2_week;0,2342789952700344;294,89593903956364
34;LT;ARIMAX;3_week;0,2805519362868185;360,6605175841385
35;LT;ARIMAX;4_week;0,2798072905664313;348,25735237798546
36;DE;ARIMAX;1_week;0,14789267018330252;272,88576708622406
37;DE;ARIMAX;2_week;0,22353983554627513;383,6820649684074
38;DE;ARIMAX;3_week;0,26540278305440856;474,1841615140034
39;DE;ARIMAX;4_week;0,2629500162672999;490,5978529138143
40;FR;ARIMAX;1_week;0,15947531845489993;40,531140662861006
41;FR;ARIMAX;2_week;0,3851551705323563;101,31530690123455
42;FR;ARIMAX;3_week;0,6127399198244664;141,3911028718499
43;FR;ARIMAX;4_week;0,7680448375538781;155,65319232303958
44;ES;ARIMAX;1_week;0,11601844520632107;80,42427356476597
45;ES;ARIMAX;2_week;0,1896688025890448;138,65390604177676
46;ES;ARIMAX;3_week;0,29585389191710654;203,97836802933483
47;ES;ARIMAX;4_week;0,3569509800068596;228,18620242559703
48;HU;ARIMAX;1_week;0,1748142633905258;478,2915381275489
49;HU;ARIMAX;2_week;0,4280176904571833;1039,2739912896147
50;HU;ARIMAX;3_week;0,5557922899310007;1462,303076619054
51;HU;ARIMAX;4_week;0,7721454124233669;1922,1106189593916
52;CZ;SARIMAX;1_week;0,6656289197414198;2790,703076876365
53;CZ;SARIMAX;2_week;0,6178500284497852;3009,836660527215
54;CZ;SARIMAX;3_week;0,5867353959584327;2870,091530722098
55;CZ;SARIMAX;4_week;0,26489621179726613;314,1239724724513
56;SI;SARIMAX;1_week;0,18249913743370957;298,3453539435618
57;SI;SARIMAX;2_week;0,2603598788575475;500,1892989175351
58;SI;SARIMAX;3_week;0,28108802602395583;579,2426031500287
59;SI;SARIMAX;4_week;0,2974855389673228;610,9342875278438
60;LU;SARIMAX;1_week;0,2250556354071289;5061,235658350472
61;LU;SARIMAX;2_week;0,28265850593677544;5602,674067199634
62;LU;SARIMAX;3_week;0,30418935723678303;5997,106012745244
63;LU;SARIMAX;4_week;0,3092863738353145;5958,114605495794
64;EE;SARIMAX;1_week;0,14514449111380268;50,14261172139106
65;EE;SARIMAX;2_week;0,27040229815994105;89,57117868050243
66;EE;SARIMAX;3_week;0,35265285083101783;120,99980478643249
67;EE;SARIMAX;4_week;0,4154498886638872;140,27693486491265
68;BG;SARIMAX;1_week;0,1614454384793022;166,61625344440532
69;BG;SARIMAX;2_week;0,2214083108832078;246,16315259415177
70;BG;SARIMAX;3_week;0,2478337665895322;310,53078043970726
71;BG;SARIMAX;4_week;0,2762524139980772;339,2350442444391
72;RO;SARIMAX;1_week;0,15600690457763705;138,3205402600344
73;RO;SARIMAX;2_week;0,21020388720411856;210,63333941317103
74;RO;SARIMAX;3_week;0,24179969336714668;236,87932282095488
75;RO;SARIMAX;4_week;0,24656879633658244;239,7701195870924
76;LV;SARIMAX;1_week;0,10341768004148712;158,35362454995095
77;LV;SARIMAX;2_week;0,16592751532069658;264,2528594141636
78;LV;SARIMAX;3_week;0,19929508615640842;314,65595739769327
79;LV;SARIMAX;4_week;0,19373161114143395;301,464854378007
80;BE;SARIMAX;1_week;0,15741905036077614;198,36758260019798
81;BE;SARIMAX;2_week;0,22461878549342865;279,25841476718927
82;BE;SARIMAX;3_week;0,3129679043543052;347,3739747972291
83;BE;SARIMAX;4_week;0,379248196951409;401,8334714921297
84;LT;SARIMAX;1_week;0,13368440162859058;171,1584608213299
85;LT;SARIMAX;2_week;0,22769093788332667;291,4566725132478
86;LT;SARIMAX;3_week;0,27959871762077004;361,6745553644586
87;LT;SARIMAX;4_week;0,2919421738544275;358,92040522858656
88;DE;SARIMAX;1_week;0,1314489379198703;219,91201438061913
89;DE;SARIMAX;2_week;0,1911500556152553;323,2499960025142
90;DE;SARIMAX;3_week;0,2574729094687583;444,50367782516446
91;DE;SARIMAX;4_week;0,30298190764805355;508,9350886686391
92;FR;SARIMAX;1_week;0,15947531845489993;40,531140662861006
93;FR;SARIMAX;2_week;0,3851551705323563;101,31530690123455
94;FR;SARIMAX;3_week;0,6127399198244664;141,3911028718499
95;FR;SARIMAX;4_week;0,7680448375538781;155,65319232303958
96;ES;SARIMAX;1_week;0,11067234270859468;81,20727943063748
97;ES;SARIMAX;2_week;0,19139262998927775;141,80863007996948
98;ES;SARIMAX;3_week;0,29996186838987016;212,29042641696643
99;ES;SARIMAX;4_week;0,364347794289492;235,31963990136413
100;HU;SARIMAX;1_week;0,18209912969790298;462,00085339111797
101;HU;SARIMAX;2_week;0,39326055582131336;955,6684406109981
102;HU;SARIMAX;3_week;0,5396417109638871;1305,297433057789
103;HU;SARIMAX;4_week;0,6678829159006382;1568,6788446920007
