location,model,prediction_window,mae,rmse
CZ,ARI,1_week,0.08903174399041879,107.61027078055852
CZ,ARI,2_week,0.11845100489306619,136.44969648597157
CZ,ARI,3_week,0.1376944963397798,156.59987144628946
CZ,ARI,4_week,0.1569784047713256,189.94478418818386
SI,ARI,1_week,0.158438643009676,282.2058179709219
SI,ARI,2_week,0.17618456081560996,308.6860824939374
SI,ARI,3_week,0.1934646902300418,333.02296035870233
SI,ARI,4_week,0.18439895856731375,346.2986094795647
LU,ARI,1_week,0.17488835650827406,4790.7134665451385
LU,ARI,2_week,0.1859122566113739,4889.450895420412
LU,ARI,3_week,0.20375925826137473,4812.674652208641
LU,ARI,4_week,0.23462111010251932,5154.3176085512005
EE,ARI,1_week,0.18336678631564404,57.45571075786024
EE,ARI,2_week,0.24157548393361342,72.49654870531694
EE,ARI,3_week,0.3034290672699413,92.21990452547577
EE,ARI,4_week,0.34772993414862674,103.57106855154905
BG,ARI,1_week,0.11318430335872735,103.24773709663955
BG,ARI,2_week,0.14682580775280757,133.61193885818543
BG,ARI,3_week,0.15796714224703853,152.68497832984076
BG,ARI,4_week,0.16896516896333494,153.1915751687529
RO,ARI,1_week,0.17101621220679494,135.9689221466443
RO,ARI,2_week,0.20114640306286705,161.4434115767248
RO,ARI,3_week,0.20114623287048086,162.54035316336427
RO,ARI,4_week,0.1836213703070604,156.52446760387554
LV,ARI,1_week,0.13439258871408807,201.85655708401097
LV,ARI,2_week,0.2150464817097373,290.3237710801473
LV,ARI,3_week,0.2877999632458488,366.89427570591306
LV,ARI,4_week,0.3127090897768824,406.88309088901195
BE,ARI,1_week,0.12751162722589882,153.01861426906606
BE,ARI,2_week,0.14012539531273727,169.4946912568529
BE,ARI,3_week,0.15577900305276393,167.98328114311968
BE,ARI,4_week,0.1680909604987985,185.20717277903685
LT,ARI,1_week,0.1906441171516507,244.71187697861203
LT,ARI,2_week,0.24368877150472673,305.2970490194877
LT,ARI,3_week,0.2928418432716623,356.38379419744217
LT,ARI,4_week,0.29685457717281866,366.4329676667035
DE,ARI,1_week,0.11452526480599295,204.826543103038
DE,ARI,2_week,0.13947506752508498,223.39413853608892
DE,ARI,3_week,0.1521928198206275,231.34785903507026
DE,ARI,4_week,0.15273645077374554,227.2885149218491
FR,ARI,1_week,0.20056567901791975,64.13051316159086
FR,ARI,2_week,0.2838351711120785,83.86027913698882
FR,ARI,3_week,0.3708563086134611,103.41819007220506
FR,ARI,4_week,0.4176053760814901,108.40129176426974
ES,ARI,1_week,0.4057669919778184,235.19059480525382
ES,ARI,2_week,0.51864096520467,318.03285481991094
ES,ARI,3_week,0.6144808940913314,391.1261581515866
ES,ARI,4_week,0.6316162344709292,408.1978309160832
HU,ARI,1_week,0.14336566643390186,357.0914847480119
HU,ARI,2_week,0.16610063843385078,372.9899414556618
HU,ARI,3_week,0.19838202597081303,421.2595434643645
HU,ARI,4_week,0.18426098297791876,412.7529320011839
