location,model,prediction_window,mae,rmse
CZ,ARI,1_week,0.3305445909500122,411.7560119628906
CZ,ARI,2_week,0.34896937012672424,436.9613037109375
CZ,ARI,3_week,0.33847859501838684,413.33197021484375
CZ,ARI,4_week,0.36368632316589355,450.58001708984375
SI,ARI,1_week,0.2934955358505249,657.5426635742188
SI,ARI,2_week,0.3674766719341278,833.1316528320312
SI,ARI,3_week,0.33266833424568176,774.21875
SI,ARI,4_week,0.3164372444152832,727.5350341796875
LU,ARI,1_week,0.2885207235813141,6999.8681640625
LU,ARI,2_week,0.3054828345775604,7598.24072265625
LU,ARI,3_week,0.3036082684993744,7552.32080078125
LU,ARI,4_week,0.32789042592048645,8209.1123046875
EE,ARI,1_week,0.44733285903930664,106.47647857666016
EE,ARI,2_week,0.36150598526000977,106.80743408203125
EE,ARI,3_week,0.42532509565353394,105.55989837646484
EE,ARI,4_week,0.3830997943878174,105.3870849609375
BG,ARI,1_week,0.42081817984580994,431.5158386230469
BG,ARI,2_week,0.4012739658355713,433.4518127441406
BG,ARI,3_week,0.383934885263443,445.9260559082031
BG,ARI,4_week,0.4129053056240082,423.138671875
RO,ARI,1_week,0.25799551606178284,269.1621398925781
RO,ARI,2_week,0.26317542791366577,277.0269775390625
RO,ARI,3_week,0.2848958969116211,295.05535888671875
RO,ARI,4_week,0.25941842794418335,273.3182067871094
LV,ARI,1_week,0.16388829052448273,212.5888671875
LV,ARI,2_week,0.37627458572387695,509.17572021484375
LV,ARI,3_week,0.13772666454315186,192.17605590820312
LV,ARI,4_week,0.16381387412548065,214.37977600097656
BE,ARI,1_week,0.4133003056049347,405.79498291015625
BE,ARI,2_week,0.4289398193359375,404.3174743652344
BE,ARI,3_week,0.4107719361782074,407.76861572265625
BE,ARI,4_week,0.4064490795135498,412.39068603515625
LT,ARI,1_week,0.4174262285232544,522.5447387695312
LT,ARI,2_week,0.41122978925704956,508.6424255371094
LT,ARI,3_week,0.5243086814880371,637.5637817382812
LT,ARI,4_week,0.49580931663513184,620.3213500976562
DE,ARI,1_week,0.3022295832633972,651.5281372070312
DE,ARI,2_week,0.3025892376899719,648.7265014648438
DE,ARI,3_week,0.2860742211341858,599.611572265625
DE,ARI,4_week,0.316580206155777,677.1521606445312
FR,ARI,1_week,0.4392032027244568,157.5763397216797
FR,ARI,2_week,0.4460395276546478,132.48570251464844
FR,ARI,3_week,0.4252822995185852,154.86209106445312
FR,ARI,4_week,0.4275450110435486,154.5768585205078
ES,ARI,1_week,0.7148631811141968,295.0940246582031
ES,ARI,2_week,0.36093175411224365,254.28172302246094
ES,ARI,3_week,0.742558479309082,304.352783203125
ES,ARI,4_week,0.37370842695236206,185.990234375
HU,ARI,1_week,0.16964203119277954,208.1846923828125
HU,ARI,2_week,0.4784888029098511,566.48291015625
HU,ARI,3_week,0.39614737033843994,932.2139892578125
HU,ARI,4_week,0.34777775406837463,762.25927734375
