location,model,prediction_window,mae,rmse
CZ,ARI,1_week,0.07410546392202377,100.73836517333984
CZ,ARI,2_week,0.10136781632900238,122.15290069580078
CZ,ARI,3_week,0.12146005779504776,138.23562622070312
CZ,ARI,4_week,0.13780620694160461,174.4948272705078
SI,ARI,1_week,0.14985856413841248,267.9642333984375
SI,ARI,2_week,0.1910915970802307,365.2915954589844
SI,ARI,3_week,0.19961890578269958,422.8780517578125
SI,ARI,4_week,0.1731276661157608,313.1950988769531
LU,ARI,1_week,0.20527580380439758,4774.3525390625
LU,ARI,2_week,0.27980899810791016,5662.00146484375
LU,ARI,3_week,0.32183837890625,6039.3232421875
LU,ARI,4_week,0.3300074338912964,6217.0341796875
EE,ARI,1_week,0.18117859959602356,52.12063980102539
EE,ARI,2_week,0.23097503185272217,72.32864379882812
EE,ARI,3_week,0.22962090373039246,81.94641876220703
EE,ARI,4_week,0.2738954424858093,92.96673583984375
BG,ARI,1_week,0.09473759680986404,97.87617492675781
BG,ARI,2_week,0.1364937424659729,146.65354919433594
BG,ARI,3_week,0.12264445424079895,132.36509704589844
BG,ARI,4_week,0.13601942360401154,131.89923095703125
RO,ARI,1_week,0.13359016180038452,106.67424774169922
RO,ARI,2_week,0.1519022136926651,119.54790496826172
RO,ARI,3_week,0.1748296022415161,135.96055603027344
RO,ARI,4_week,0.15318730473518372,126.73621368408203
LV,ARI,1_week,0.09334181249141693,146.56234741210938
LV,ARI,2_week,0.14278815686702728,200.1779327392578
LV,ARI,3_week,0.22452855110168457,292.3753967285156
LV,ARI,4_week,0.32685986161231995,422.81939697265625
BE,ARI,1_week,0.1209142655134201,147.73324584960938
BE,ARI,2_week,0.11517047882080078,143.370849609375
BE,ARI,3_week,0.14003916084766388,150.38824462890625
BE,ARI,4_week,0.16044679284095764,173.39083862304688
LT,ARI,1_week,0.16973549127578735,216.27671813964844
LT,ARI,2_week,0.22072170674800873,272.1569519042969
LT,ARI,3_week,0.2884187698364258,346.5644226074219
LT,ARI,4_week,0.35113391280174255,389.43658447265625
DE,ARI,1_week,0.10583548247814178,171.94406127929688
DE,ARI,2_week,0.1470937281847,240.69140625
DE,ARI,3_week,0.15262283384799957,243.962158203125
DE,ARI,4_week,0.15066833794116974,246.64219665527344
FR,ARI,1_week,0.1406433880329132,43.8938102722168
FR,ARI,2_week,0.253408282995224,72.82511901855469
FR,ARI,3_week,0.33154165744781494,95.74224090576172
FR,ARI,4_week,0.4310135841369629,110.86990356445312
ES,ARI,1_week,0.25751402974128723,123.22686767578125
ES,ARI,2_week,0.3983515501022339,211.22830200195312
ES,ARI,3_week,0.44496387243270874,251.37705993652344
ES,ARI,4_week,0.4916841983795166,291.906494140625
HU,ARI,1_week,0.13233886659145355,338.271240234375
HU,ARI,2_week,0.15368521213531494,337.9561462402344
HU,ARI,3_week,0.15689527988433838,377.0511779785156
HU,ARI,4_week,0.1392367035150528,388.7589111328125
