location,model,prediction_window,mae,rmse
SI,seasonal_naive,1_week,15.59999942779541,29.283180236816406
SI,seasonal_naive,2_week,21.653846740722656,39.350582122802734
SI,seasonal_naive,3_week,15.253846168518066,25.457761764526367
SI,seasonal_naive,4_week,22.72307586669922,42.668453216552734
DK,seasonal_naive,1_week,36.39230728149414,47.70845031738281
DK,seasonal_naive,2_week,38.79999542236328,43.62116622924805
DK,seasonal_naive,3_week,43.93846130371094,62.753456115722656
DK,seasonal_naive,4_week,33.95384216308594,42.5099983215332
EE,seasonal_naive,1_week,32.154544830322266,39.19636917114258
EE,seasonal_naive,2_week,65.22000122070312,71.21221923828125
EE,seasonal_naive,3_week,84.7727279663086,115.89038848876953
PL,seasonal_naive,1_week,95.25385284423828,132.3800811767578
PL,seasonal_naive,2_week,83.0076904296875,123.35297393798828
PL,seasonal_naive,3_week,90.69230651855469,167.08949279785156
PL,seasonal_naive,4_week,113.34614562988281,181.76715087890625
FR,seasonal_naive,1_week,38.60000228881836,65.44116973876953
FR,seasonal_naive,2_week,51.00000762939453,71.26251983642578
FR,seasonal_naive,3_week,50.19999694824219,75.51728820800781
FR,seasonal_naive,4_week,49.12221908569336,77.858642578125
AT,seasonal_naive,1_week,748.5167846679688,896.0257568359375
AT,seasonal_naive,2_week,1141.0499267578125,1381.10205078125
AT,seasonal_naive,3_week,786.75,1041.8753662109375
AT,seasonal_naive,4_week,1296.9500732421875,1389.6060791015625
HR,seasonal_naive,1_week,13.75,21.387731552124023
HR,seasonal_naive,2_week,11.5,22.49822235107422
HR,seasonal_naive,4_week,15.622222900390625,24.212989807128906
RO,seasonal_naive,1_week,3.0272727012634277,8.07572078704834
RO,seasonal_naive,2_week,4.358333587646484,8.458673477172852
RO,seasonal_naive,3_week,2.125000238418579,4.924174785614014
GR,seasonal_naive,1_week,154.13845825195312,215.70765686035156
GR,seasonal_naive,2_week,203.18463134765625,257.1165771484375
GR,seasonal_naive,3_week,173.80001831054688,220.22352600097656
GR,seasonal_naive,4_week,155.65383911132812,218.0177001953125
HU,seasonal_naive,1_week,80.74999237060547,118.06375122070312
HU,seasonal_naive,2_week,70.98750305175781,94.17228698730469
HU,seasonal_naive,3_week,76.17500305175781,96.21774291992188
IE,seasonal_naive,1_week,10.423076629638672,21.265485763549805
IE,seasonal_naive,2_week,9.007692337036133,16.192472457885742
IE,seasonal_naive,3_week,10.97499942779541,27.442317962646484
IE,seasonal_naive,4_week,9.053845405578613,21.333234786987305
LV,seasonal_naive,1_week,12665.1748046875,35356.3984375
LV,seasonal_naive,2_week,151.7428741455078,195.06431579589844
LV,seasonal_naive,3_week,25166.625,49996.8671875
BE,seasonal_naive,1_week,94.46923065185547,136.3238067626953
BE,seasonal_naive,2_week,71.44615173339844,100.5418930053711
BE,seasonal_naive,3_week,74.13076782226562,114.1579818725586
BE,seasonal_naive,4_week,133.85385131835938,217.3264617919922
LU,seasonal_naive,1_week,2176.923095703125,3146.793212890625
LU,seasonal_naive,2_week,3061.53857421875,4100.84423828125
LU,seasonal_naive,3_week,3346.15380859375,4637.72119140625
LU,seasonal_naive,4_week,2146.15380859375,2701.139404296875
LT,seasonal_naive,1_week,44.36666488647461,78.18150329589844
LT,seasonal_naive,2_week,35.9923095703125,75.00582122802734
LT,seasonal_naive,3_week,38.984615325927734,87.81866455078125
LT,seasonal_naive,4_week,42.77691650390625,84.29796600341797
NL,seasonal_naive,1_week,13.969229698181152,20.653514862060547
NL,seasonal_naive,2_week,8.54615306854248,12.92240047454834
NL,seasonal_naive,3_week,8.869231224060059,12.548521995544434
NL,seasonal_naive,4_week,11.069230079650879,16.481855392456055
CZ,seasonal_naive,1_week,21.43077278137207,45.12290954589844
CZ,seasonal_naive,2_week,24.25384521484375,45.074562072753906
CZ,seasonal_naive,3_week,23.492307662963867,46.00774383544922
CZ,seasonal_naive,4_week,17.81538200378418,33.19965362548828
NO,seasonal_naive,1_week,20.284616470336914,38.33735656738281
NO,seasonal_naive,2_week,13.707691192626953,23.157455444335938
NO,seasonal_naive,3_week,16.138460159301758,24.525527954101562
NO,seasonal_naive,4_week,13.561537742614746,23.617610931396484
MT,seasonal_naive,1_week,950.0,1132.4752197265625
MT,seasonal_naive,2_week,2337.5,2708.08984375
MT,seasonal_naive,3_week,1837.5,2363.52490234375
MT,seasonal_naive,4_week,1642.857177734375,1988.1793212890625
