location,model,prediction_window,mae,rmse
SI,ILI,1_week,861683641645102.9,13.577916996940921
SI,ILI,2_week,925911837950606.5,15.088290550518552
SI,ILI,3_week,776975330867071.6,18.39496494420181
SI,ILI,4_week,1101980586465198.1,20.079545793156914
DK,ILI,1_week,0.1977660298480091,31.9072436890334
DK,ILI,2_week,0.20655306797900255,37.02205867486493
DK,ILI,3_week,0.20164297806646542,40.19155854552192
DK,ILI,4_week,0.2281763353335787,44.197872407917735
EE,ILI,1_week,0.14229242737491438,40.83405094305419
EE,ILI,2_week,0.17706309113806676,51.63696597563726
EE,ILI,3_week,0.21616492770705173,61.95367705984062
EE,ILI,4_week,0.23633961943805945,68.17269108053374
PL,ILI,1_week,0.15107503947377954,75.42233321633404
PL,ILI,2_week,0.19303349109238221,91.63477709140514
PL,ILI,3_week,0.20944228812749646,100.81087379472706
PL,ILI,4_week,0.2128907016920405,102.39119979331466
FR,ILI,1_week,0.17249083782957206,28.579568736414437
FR,ILI,2_week,0.27354054043699494,40.82130459722504
FR,ILI,3_week,0.391292091926494,53.5725192872817
FR,ILI,4_week,0.4728199101371553,64.60700948325301
AT,ILI,1_week,0.16539994339995975,511.1781440743255
AT,ILI,2_week,0.16646452216425503,527.7822520507815
AT,ILI,3_week,0.1987308326599908,581.3303492347569
AT,ILI,4_week,0.20494223889628174,629.3738023380849
HR,ILI,1_week,11841972574483.664,5.252987926642048
HR,ILI,2_week,6486562225430.437,12.158679762667086
HR,ILI,3_week,8712722048365.336,19.875674860131134
HR,ILI,4_week,8680188777376.942,25.284135917848268
RO,ILI,1_week,874803720289615.9,5.565057461690134
RO,ILI,2_week,777500003849154.2,6.688159283484697
RO,ILI,3_week,792250167725596.6,7.644012654488565
RO,ILI,4_week,921124513326157.4,8.061279613799632
GR,ILI,1_week,0.15772091035087826,209.72139753382658
GR,ILI,2_week,0.18866317009232886,206.9705332644784
GR,ILI,3_week,0.19237655690317357,238.90395578456463
GR,ILI,4_week,0.17899380059125045,250.6946195861716
HU,ILI,1_week,0.1682079597509196,61.959455649740406
HU,ILI,2_week,0.20432649556400778,84.42606729488837
HU,ILI,3_week,0.2417112086245471,93.28165862116394
HU,ILI,4_week,0.2886978034442764,105.60896435747901
IE,ILI,1_week,0.6593591966691461,4.824880608275524
IE,ILI,2_week,0.9499960827209112,7.5395391081179115
IE,ILI,3_week,1.111675079295005,9.92194293691966
IE,ILI,4_week,1.2727310399636265,11.243065533828592
LV,ILI,1_week,0.7940132136883151,98.1908419981448
LV,ILI,2_week,1.1754566869311323,125.55760377740998
LV,ILI,3_week,1.2944892881434076,144.49131186767707
LV,ILI,4_week,1.4134851348838169,156.5639168316717
BE,ILI,1_week,0.3445399863958643,69.09927309806584
BE,ILI,2_week,0.4124518514432186,79.38545038323828
BE,ILI,3_week,0.5057261720607622,91.49953503318973
BE,ILI,4_week,0.6234775187666454,112.53049874206937
LU,ILI,1_week,7.679425867297873e+17,2349.0875007829663
LU,ILI,2_week,8.18476684590057e+17,2386.1719273699173
LU,ILI,3_week,9.558552122664193e+17,2586.836109828997
LU,ILI,4_week,9.874770497732009e+17,2656.7558720493994
LT,ILI,1_week,0.32727707645658854,21.20444375533455
LT,ILI,2_week,0.42998554815114026,29.629751779686945
LT,ILI,3_week,0.4968314995797512,36.68454825733772
LT,ILI,4_week,0.5135359797136039,39.86281822379229
NL,ILI,1_week,0.35952128187890464,6.827547213759631
NL,ILI,2_week,0.4098498877677846,8.47590359280631
NL,ILI,3_week,0.4517996682340589,10.41944852979975
NL,ILI,4_week,0.5318380273888024,11.768767727802928
CZ,ILI,1_week,0.2216990717827148,13.703410714664715
CZ,ILI,2_week,0.2581912379872248,19.34524435519293
CZ,ILI,3_week,0.2963115435363249,19.795942663336685
CZ,ILI,4_week,0.31116913723696993,20.506742411851196
NO,ILI,1_week,0.26100297912555126,14.885388892049587
NO,ILI,2_week,0.38882972540770344,20.286544806407026
NO,ILI,3_week,0.5537801341607514,29.751440607277512
NO,ILI,4_week,0.6958070554920335,36.45682985066739
MT,ILI,1_week,0.20834764454236648,1620.9236925056782
MT,ILI,2_week,0.20665647958292788,1682.210039297793
MT,ILI,3_week,0.2200959605914402,1812.4541141393947
MT,ILI,4_week,0.24040653717468063,1935.1444672046782
