location;model;prediction_window;mae;rmse
SI;ILI;1_week;17629364355072000,0000;38,0181
SI;ILI;2_week;19292602251608064,0000;37,8286
SI;ILI;3_week;16333401996918784,0000;38,1593
SI;ILI;4_week;11901607780286464,0000;38,7015
DK;ILI;1_week;0,4361;80,3988
DK;ILI;2_week;0,4714;83,8967
DK;ILI;3_week;0,4710;83,6574
DK;ILI;4_week;0,4284;79,0757
EE;ILI;1_week;0,6577;178,2399
EE;ILI;2_week;0,7788;199,0002
EE;ILI;3_week;0,7217;189,8399
EE;ILI;4_week;0,5386;159,5911
PL;ILI;1_week;0,4236;154,4321
PL;ILI;2_week;0,4514;146,9397
PL;ILI;3_week;0,4339;161,1732
PL;ILI;4_week;0,4623;149,4445
FR;ILI;1_week;0,8454;142,0235
FR;ILI;2_week;0,7927;139,1465
FR;ILI;3_week;0,5391;95,3806
FR;ILI;4_week;0,5459;95,1270
AT;ILI;1_week;0,4937;1367,6401
AT;ILI;2_week;0,2242;758,7468
AT;ILI;3_week;0,7646;1909,2666
AT;ILI;4_week;0,2357;580,6915
HR;ILI;1_week;1700068985929728,0000;23,6671
HR;ILI;2_week;4916712667348992,0000;52,1856
HR;ILI;3_week;1988201027731456,0000;25,3323
HR;ILI;4_week;3092992512491520,0000;34,0345
RO;ILI;1_week;2589243314536448,0000;9,4928
RO;ILI;2_week;3013924043620352,0000;9,4208
RO;ILI;3_week;3824236196003840,0000;9,2917
RO;ILI;4_week;3426153930948608,0000;9,3184
GR;ILI;1_week;0,5756;598,9988
GR;ILI;2_week;0,6748;647,5642
GR;ILI;3_week;0,5236;573,5742
GR;ILI;4_week;0,5227;572,5461
HU;ILI;1_week;0,5376;207,7626
HU;ILI;2_week;0,5430;211,1574
HU;ILI;3_week;0,5090;211,7792
HU;ILI;4_week;0,5217;210,8555
IE;ILI;1_week;2,5445;8,8606
IE;ILI;2_week;2,5648;8,9025
IE;ILI;3_week;4,3688;13,7743
IE;ILI;4_week;3,1220;10,1703
LV;ILI;1_week;7960038446465024,0000;211,5472
LV;ILI;2_week;17169080226152448,0000;176,8348
LV;ILI;3_week;1,1636;206,7288
LV;ILI;4_week;3,0620;186,1874
BE;ILI;1_week;1,5763;181,0406
BE;ILI;2_week;2,3266;211,2256
BE;ILI;3_week;0,7806;192,8032
BE;ILI;4_week;1,1802;178,9133
LU;ILI;1_week;863634291622412288,0000;3944,9377
LU;ILI;2_week;848399252349517824,0000;3964,7471
LU;ILI;3_week;918660313107136512,0000;3867,0813
LU;ILI;4_week;801534012324577280,0000;3996,4639
LT;ILI;1_week;16,2628;52,1804
LT;ILI;2_week;5,1050;52,8587
LT;ILI;3_week;3,5524;53,9946
LT;ILI;4_week;9,7281;50,8403
NL;ILI;1_week;1,3934;20,2578
NL;ILI;2_week;1,5431;20,5490
NL;ILI;3_week;1,4740;20,3979
NL;ILI;4_week;1,1600;20,4570
CZ;ILI;1_week;1,9812;41,4627
CZ;ILI;2_week;1,5264;41,9676
CZ;ILI;3_week;2,9535;42,4833
CZ;ILI;4_week;1,0631;43,1494
NO;ILI;1_week;1,0413;20,0470
NO;ILI;2_week;0,8550;18,9598
NO;ILI;3_week;0,7059;19,1790
NO;ILI;4_week;0,4491;25,3206
MT;ILI;1_week;0,4695;4236,0991
MT;ILI;2_week;0,4505;3820,3809
MT;ILI;3_week;0,4872;4382,8862
MT;ILI;4_week;0,4704;4149,2456
