;Unnamed: 0.1;Unnamed: 0;location;model;prediction_window;mae;rmse
0;0,0;0,0;CZ;rf/arima;1_week;0,0615610933547437;84,54383497750683
1;1,0;1,0;CZ;rf/arima;2_week;0,1070178260709773;151,99601170447156
2;2,0;2,0;CZ;rf/arima;3_week;0,1409576774305943;203,81195040650348
3;3,0;3,0;CZ;rf/arima;4_week;0,1626021404843654;214,92753330250176
4;4,0;4,0;SI;rf/arima;1_week;0,1566861061127989;268,26968763620886
5;5,0;5,0;SI;rf/arima;2_week;0,2046161052405322;398,08260043959353
6;6,0;6,0;SI;rf/arima;3_week;0,2237377186412811;432,33340689517024
7;7,0;7,0;SI;rf/arima;4_week;0,1905670116813463;397,59670302211055
8;8,0;8,0;LU;rf/arima;1_week;0,2518689091892105;5566,250086402301
9;9,0;9,0;LU;rf/arima;2_week;0,2499749867895763;5600,344938648607
10;10,0;10,0;LU;rf/arima;3_week;0,2726568807802367;6005,68066748343
11;11,0;11,0;LU;rf/arima;4_week;0,2463859812555223;5028,355856530491
12;12,0;;EE;rf/arima;1_week;0,148229747853824;47,66091114350462
13;13,0;;EE;rf/arima;2_week;0,2134284075668987;76,1789159888476
14;14,0;;EE;rf/arima;3_week;0,2826960409921306;102,55494170543165
15;15,0;;EE;rf/arima;4_week;0,4106812514451852;140,14862623092515
16;16,0;;BG;rf/arima;1_week;0,1112944427431432;134,3960121642612
17;17,0;;BG;rf/arima;2_week;0,1424658920190536;173,1681484903694
18;18,0;;BG;rf/arima;3_week;0,1617541184326237;211,8095183206489
19;19,0;;BG;rf/arima;4_week;0,1743562027931092;233,5912124995984
20;20,0;;RO;rf/arima;1_week;0,1447731147992772;117,1612591737067
21;21,0;;RO;rf/arima;2_week;0,1759389352546372;157,90541031879462
22;22,0;;RO;rf/arima;3_week;0,1960908352089981;167,5598845791835
23;23,0;;RO;rf/arima;4_week;0,1868352522599438;161,09402951855654
24;24,0;;LV;rf/arima;1_week;0,0878487892199644;143,55653050875932
25;25,0;;LV;rf/arima;2_week;0,1400451013698671;219,06606831221927
26;26,0;;LV;rf/arima;3_week;0,1625582418020159;253,16157437301092
27;27,0;;LV;rf/arima;4_week;0,1398514217069405;233,95913833124885
28;28,0;;BE;rf/arima;1_week;0,1319441654631901;156,7989428330331
29;29,0;;BE;rf/arima;2_week;0,1448136496024474;173,90699700576212
30;30,0;;BE;rf/arima;3_week;0,1854719458026739;188,7989980703827
31;31,0;;BE;rf/arima;4_week;0,2211846206368426;235,5921826772389
32;32,0;;LT;rf/arima;1_week;0,100949498962051;131,16882987830218
33;33,0;;LT;rf/arima;2_week;0,1500426815259042;190,3394002715944
34;34,0;;LT;rf/arima;3_week;0,1733948079695104;219,1305609895959
35;35,0;;LT;rf/arima;4_week;0,1791345956913201;206,6849181673481
36;;;DE;rf/arima;1_week;0,10767765807840776;178,3545729080104
37;;;DE;rf/arima;2_week;0,14016192402245925;232,86219261314193
38;;;DE;rf/arima;3_week;0,18356818056128724;330,55696363624475
39;;;DE;rf/arima;4_week;0,2203872507221825;374,5314887037281
40;;;FR;rf/arima;1_week;0,12925514243576813;38,49117759798092
41;;;FR;rf/arima;2_week;0,2738327911027416;73,3183425955882
42;;;FR;rf/arima;3_week;0,4119537814726026;101,0154861478993
43;;;FR;rf/arima;4_week;0,49233950306426744;107,84338319012676
44;;;ES;rf/arima;1_week;0,09162253193201231;75,42101155093953
45;;;ES;rf/arima;2_week;0,15174227671991275;107,71128367667805
46;;;ES;rf/arima;3_week;0,22983539437486739;181,02570090755103
47;;;ES;rf/arima;4_week;0,27046697639190925;196,52902449776926
48;;;HU;rf/arima;1_week;0,14465815772912183;363,48291616235235
49;;;HU;rf/arima;2_week;0,2723542819923358;715,7247701997351
50;;;HU;rf/arima;3_week;0,40245730194799156;992,02608250771
51;;;HU;rf/arima;4_week;0,5041683467197996;1146,4270642969645
