;location;model;prediction_window;mae;rmse
0;SI;rf/arima;1_week;1111872265452234,2;12,64263382651318
1;SI;rf/arima;2_week;962062628515604,5;21,204093635554525
2;SI;rf/arima;3_week;1225722288915935,8;24,21515349574169
3;SI;rf/arima;4_week;1169580250364770,2;23,794460718675605
4;DK;rf/arima;1_week;0,1967499343608182;31,773973191657266
5;DK;rf/arima;2_week;0,20283210661065101;36,814269480809614
6;DK;rf/arima;3_week;0,2373689163280036;41,30236864629951
7;DK;rf/arima;4_week;0,26131783353402044;45,88740692902085
8;EE;rf/arima;1_week;0,11850311038866579;32,38562272113942
9;EE;rf/arima;2_week;0,1565811933341151;42,39861439781108
10;EE;rf/arima;3_week;0,19770837205855016;50,9300475340048
11;EE;rf/arima;4_week;0,22446282919872482;59,10182589946636
12;PL;rf/arima;1_week;0,1419072607766894;91,32912850344393
13;PL;rf/arima;2_week;0,19162221172579785;110,46041162715409
14;PL;rf/arima;3_week;0,2132187540387064;121,21975558888698
15;PL;rf/arima;4_week;0,2022154301540444;87,97879270548883
16;FR;rf/arima;1_week;0,1246444199189676;19,27686082170306
17;FR;rf/arima;2_week;0,23646549912160594;36,17399862039251
18;FR;rf/arima;3_week;0,39337744962291893;58,01120630541079
19;FR;rf/arima;4_week;0,49610361657164853;64,7356940523582
20;AT;rf/arima;1_week;0,17095155463456804;506,5800097851416
21;AT;rf/arima;2_week;0,20237892422321224;627,3129446482806
22;AT;rf/arima;3_week;0,2150640092394757;679,9275006444624
23;AT;rf/arima;4_week;0,2639906278760244;782,1257321375094
24;HR;rf/arima;1_week;34650088127607,996;6,84749517395041
25;HR;rf/arima;2_week;60205670935254,05;13,755762292686734
26;HR;rf/arima;3_week;125077159731588,06;18,011036041347676
27;HR;rf/arima;4_week;160934816598847,03;21,50158737345676
28;RO;rf/arima;1_week;218279002546482,28;3,8319425385397654
29;RO;rf/arima;2_week;593008042760264,4;7,882854927306347
30;RO;rf/arima;3_week;957295517633582,8;9,571743041023735
31;RO;rf/arima;4_week;1103095040678817,5;9,88913112482193
32;GR;rf/arima;1_week;0,17250775694890932;240,49019492744222
33;GR;rf/arima;2_week;0,22061797042342685;328,9681207255347
34;GR;rf/arima;3_week;0,24258272560338578;345,9282774795272
35;GR;rf/arima;4_week;0,2584596245398856;356,2071108836837
36;HU;rf/arima;1_week;0,14779263660673966;49,14069024452097
37;HU;rf/arima;2_week;0,2594782145324984;102,08107528119324
38;HU;rf/arima;3_week;0,33780318642190416;138,5755266132273
39;HU;rf/arima;4_week;0,36153067207130746;143,46080805442418
40;IE;rf/arima;1_week;0,454877354119332;5,333957163701153
41;IE;rf/arima;2_week;0,7380430155657409;5,974476381491168
42;IE;rf/arima;3_week;0,9560107868040972;8,380246038204744
43;IE;rf/arima;4_week;1,1451211717235334;10,170709406282155
44;LV;rf/arima;1_week;0,38522360049691046;44,50117320481397
45;LV;rf/arima;2_week;1,132745436429064;94,27469543627748
46;LV;rf/arima;3_week;1,2921411373964176;130,91216551300792
47;LV;rf/arima;4_week;1,3183517246078682;153,32237572223573
48;BE;rf/arima;1_week;0,4032689198460317;112,49364876994268
49;BE;rf/arima;2_week;0,43061184870663977;112,57702362773901
50;BE;rf/arima;3_week;0,5356564845036575;147,7111367691251
51;BE;rf/arima;4_week;0,6626887987988549;140,3825607739638
52;LU;rf/arima;1_week;5,901295388363217e+17;2666,344924142001
53;LU;rf/arima;2_week;7,222073090545898e+17;2389,344045954322
54;LU;rf/arima;3_week;6,811093390172093e+17;2769,7124598819705
55;LU;rf/arima;4_week;9,749566079126164e+17;3031,2139331875137
56;LT;rf/arima;1_week;0,24226414559911688;8,056740922865936
57;LT;rf/arima;2_week;0,3381225954739545;20,781816188885966
58;LT;rf/arima;3_week;0,5269295505026026;28,56177313062915
59;LT;rf/arima;4_week;0,7557332279045219;34,75600032037731
60;NL;rf/arima;1_week;0,3757926014554616;7,0390016598622855
61;NL;rf/arima;2_week;0,4528491526838758;10,709847618378655
62;NL;rf/arima;3_week;0,5461757967154446;12,426285734089793
63;NL;rf/arima;4_week;0,5981205137630774;12,972553130347153
64;CZ;rf/arima;1_week;0,21332406400397078;10,227043712777736
65;CZ;rf/arima;2_week;0,30335429242784884;24,013285392459196
66;CZ;rf/arima;3_week;0,43714073075377247;29,137535132208654
67;CZ;rf/arima;4_week;0,5726706876771421;30,859135520000574
68;NO;rf/arima;1_week;0,1670933356430374;8,057350840632692
69;NO;rf/arima;2_week;0,22447131631530817;11,22308359827598
70;NO;rf/arima;3_week;0,3057000055806135;15,075362646973813
71;NO;rf/arima;4_week;0,41939199362896135;21,36243753865666
72;MT;rf/arima;1_week;0,2440566078534291;1529,5953063031093
73;MT;rf/arima;2_week;0,23368258936916186;1478,0045662817927
74;MT;rf/arima;3_week;0,3015759792624445;1694,718739598748
75;MT;rf/arima;4_week;0,3896844193477;1924,732569817779
