;location;model;prediction_window;mae;rmse
0;SI;rf/arima;1_week;1875764172885003,5;14,806806868499448
1;SI;rf/arima;2_week;2797511593489863,0;24,51750807802684
2;SI;rf/arima;3_week;3915030576713897,0;26,36615403602542
3;SI;rf/arima;4_week;5051503346736363,0;24,09460474812367
4;DK;rf/arima;1_week;0,20171847894905082;32,1600990693364
5;DK;rf/arima;2_week;0,20820297414546513;37,70816846552469
6;DK;rf/arima;3_week;0,23104880545409617;40,26958084797837
7;DK;rf/arima;4_week;0,28939294489104367;48,479961117664985
8;EE;rf/arima;1_week;0,13331817160371912;36,50622168201032
9;EE;rf/arima;2_week;0,1751169671594599;48,43582298412109
10;EE;rf/arima;3_week;0,20906452483779006;54,89492759234584
11;EE;rf/arima;4_week;0,24263926516355921;60,247644826921
12;PL;rf/arima;1_week;0,15251098161346147;92,38032771733737
13;PL;rf/arima;2_week;0,1806740010586618;103,71150349551837
14;PL;rf/arima;3_week;0,20687724539669153;118,69389414519848
15;PL;rf/arima;4_week;0,19649881445403292;83,14257890362077
16;FR;rf/arima;1_week;0,14655746658725208;22,016087896793405
17;FR;rf/arima;2_week;0,24799735631478886;42,98020463828869
18;FR;rf/arima;3_week;0,43337247533177176;62,24928733834725
19;FR;rf/arima;4_week;0,53169142292931;69,02057156184134
20;AT;rf/arima;1_week;0,18216686669006607;526,9397264214788
21;AT;rf/arima;2_week;0,20631969277026294;683,6958419810559
22;AT;rf/arima;3_week;0,16710671367712718;635,0827163100478
23;AT;rf/arima;4_week;0,23597644893804978;726,7337339472582
24;HR;rf/arima;1_week;29883754993238,527;8,150849398792475
25;HR;rf/arima;2_week;93704482959833,31;15,947091038265187
26;HR;rf/arima;3_week;12083154024276,658;24,252354313641302
27;HR;rf/arima;4_week;89422029218170,06;36,629429601697765
28;RO;rf/arima;1_week;339084245687238,75;4,0032702652928975
29;RO;rf/arima;2_week;709268369808034,5;7,539217398405879
30;RO;rf/arima;3_week;1049879904454237,2;8,870467845220013
31;RO;rf/arima;4_week;1087531194775273,9;9,271328782611214
32;GR;rf/arima;1_week;0,17378502941018048;242,28215241937522
33;GR;rf/arima;2_week;0,2110965754692753;308,08262103162116
34;GR;rf/arima;3_week;0,2520443053157722;317,5095324189785
35;GR;rf/arima;4_week;0,26203068881793223;337,47088689251035
36;HU;rf/arima;1_week;0,15140879667680285;49,932913906420005
37;HU;rf/arima;2_week;0,2659748577329534;89,2844511169509
38;HU;rf/arima;3_week;0,37688692422443665;148,24299891270755
39;HU;rf/arima;4_week;0,3527677376609011;142,15258918120495
40;IE;rf/arima;1_week;0,5441621151468182;5,2684214044035915
41;IE;rf/arima;2_week;0,9917009071801307;5,977113979496256
42;IE;rf/arima;3_week;1,3415871985896923;7,0497039669687815
43;IE;rf/arima;4_week;1,5930779972787623;8,077126785684628
44;LV;rf/arima;1_week;0,4626621277420503;46,31164992599297
45;LV;rf/arima;2_week;1,0521068545035934;84,12481682940323
46;LV;rf/arima;3_week;1,124800022265525;108,60279593174515
47;LV;rf/arima;4_week;1,4819025869586733;129,66444058996086
48;BE;rf/arima;1_week;0,420689659068908;110,80704412407182
49;BE;rf/arima;2_week;0,4730882013838141;114,53659061250708
50;BE;rf/arima;3_week;0,5526984914092539;156,48654580023182
51;BE;rf/arima;4_week;0,6774805003574399;152,02247220964864
52;LU;rf/arima;1_week;6,567124289089235e+17;2727,1729231272066
53;LU;rf/arima;2_week;9,608195083155796e+17;2647,1873660441743
54;LU;rf/arima;3_week;9,554570510009213e+17;3039,513548114251
55;LU;rf/arima;4_week;1,59576428281121e+18;3618,0841517192894
56;LT;rf/arima;1_week;0,35499194629386854;7,796255770820806
57;LT;rf/arima;2_week;0,6253296108907558;20,003159731756234
58;LT;rf/arima;3_week;0,9642938633771383;28,64327773856407
59;LT;rf/arima;4_week;1,314714481916293;50,65683968678094
60;NL;rf/arima;1_week;0,3860334056691117;7,686911238628792
61;NL;rf/arima;2_week;0,47402078365248423;10,613200084762038
62;NL;rf/arima;3_week;0,5698356542812297;13,645851373829615
63;NL;rf/arima;4_week;0,6863193947063471;14,138786809761617
64;CZ;rf/arima;1_week;0,21194716836318195;9,496625607680143
65;CZ;rf/arima;2_week;0,2592891468909422;18,006758257676033
66;CZ;rf/arima;3_week;0,3832447296760239;18,914520547416032
67;CZ;rf/arima;4_week;0,3841360486897215;18,402565037197846
68;NO;rf/arima;1_week;0,15816736289225153;7,130040833983333
69;NO;rf/arima;2_week;0,23527972106147724;12,779042303741441
70;NO;rf/arima;3_week;0,36188855452538027;17,02795730457767
71;NO;rf/arima;4_week;0,5926066931493359;26,21782051892141
72;MT;rf/arima;1_week;0,24679520292708762;1517,7577933042628
73;MT;rf/arima;2_week;0,27327500617695777;1590,3906047487612
74;MT;rf/arima;3_week;0,3203617332563467;1742,6914631776765
75;MT;rf/arima;4_week;0,40539191954778053;2053,8974798909144
