truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-15;BE;2023-W41;168,0;77,17224;18,200214;10,550215;1;168,2599270497201;;;
2023-10-22;BE;2023-W42;179,6;81,58094;15,628786;9,9145;1;150,50244388250303;150,86528916633853;;
2023-10-29;BE;2023-W43;135,6;86,92018;13,907357;9,385928;1;170,8647959294105;130,21238738569258;130,59533804127022;
2023-11-05;BE;2023-W44;173,7;84,014595;12,393072;8,385929;1;103,8943900253545;153,15502168284894;110,20780537908159;110,56989716627764
2023-11-12;BE;2023-W45;209,2;87,18748;10,9645;6,085929;1;178,01505765959297;80,55593232728444;132,58376346264328;91,92982890174883
2023-11-19;BE;2023-W46;206,9;88,751595;11,428786;6,8073573;1;209,51881997322243;165,96807895275316;63,05196808270267;112,28430275313347
2023-11-26;BE;2023-W47;252,5;88,279366;8,793071;4,1359286;1;189,46132986809243;193,11914862828613;147,11614759022126;49,71429485552926
2023-12-03;BE;2023-W48;276,3;88,101006;3,4716427;-0,9997857;1;254,29074581380885;166,21754883888968;170,08212051995022;126,52985960136878
2023-12-10;BE;2023-W49;296,7;86,343834;8,7287855;3,9859283;1;265,93950302142;235,1666225424295;142,0558802485076;145,71550810939215
2023-12-17;BE;2023-W50;466,9;89,98573;8,321643;4,328786;1;283,215440033667;240,1838608386004;207,62683945729958;119,36773031994419
2023-12-24;BE;2023-W51;533,4;87,7154;10,507358;7,443072;1;512,1152752725961;254,70423605006644;209,14248840056658;178,25949142122118
2023-12-31;BE;2023-W52;191,8;82,4;10,75825;6,4395;1;524,5285720599015;494,54157285969063;221,28839561447262;178,025903545592
2024-01-07;BE;2024-W01;264,1;85,559204;7,157357;3,4287856;1;14,97404683163984;480,46740241413363;448,4958047213041;188,15410089086478
2024-01-14;BE;2024-W02;366,0;74,441895;1,5002143;-2,6497858;1;275,39884527806225;-69,66448831764976;423,00874336598554;392,4420250962403
2024-01-21;BE;2024-W03;395,9;84,57513;3,0145001;-2,2426429;1;382,8445384154143;258,7507708159863;-103,89479761010242;363,53944315591076
