truth_date,location,year_week,value,relative_humidity_2m,temperature_2m_max,temperature_2m_min,covid,prediction_1_weeks,prediction_2_weeks,prediction_3_weeks,prediction_4_weeks
2023-10-15,NO,2023-W41,22.3,77.95943,11.087786,4.4163575,1,18.442672467451114,,,
2023-10-22,NO,2023-W42,26.1,76.00124,6.1449285,1.7020714,1,20.844336173088198,16.91767606108449,,
2023-10-29,NO,2023-W43,27.7,78.02345,2.966357,0.22350001,1,24.907822165548932,19.557209864186703,15.151868406278528,
2023-11-05,NO,2023-W44,31.2,86.92773,3.366357,0.82350004,1,27.363037627308334,24.51956227584744,18.51692356878786,13.646320629944778
2023-11-12,NO,2023-W45,36.3,90.52666,3.4806428,0.8163572,1,30.782492033870014,26.874122041284284,23.68415573030125,17.046942726016646
2023-11-19,NO,2023-W46,37.7,75.79926,-1.2979286,-4.433643,1,35.77344070952759,30.152181819751625,25.766710562858282,22.23931810929588
2023-11-26,NO,2023-W47,44.3,78.18244,1.3592142,-3.719357,1,37.3717155576617,35.40812856768075,29.09928666886419,24.249946890949772
2023-12-03,NO,2023-W48,49.1,71.40936,-5.040786,-9.555071,1,43.67086060527332,36.60984021134449,34.40566484701941,27.428016821087216
2023-12-10,NO,2023-W49,56.5,84.01214,-2.9979286,-5.7336426,1,48.46222378523939,42.92550839287255,34.997791136089255,32.55957728057315
2023-12-17,NO,2023-W50,64.8,88.58727,-0.32650003,-7.105071,1,56.10189662662625,47.9002620436437,41.68080374062118,32.91056883574279
2023-12-24,NO,2023-W51,63.3,84.78796,-2.2765,-8.312214,1,64.3747633280292,55.4909026156615,46.2755217729689,39.39225963087929
2023-12-31,NO,2023-W52,32.9,84.93045,-3.289,-7.32025,1,62.80934140626581,63.90711946709736,53.918620120797726,43.71708685623723
2024-01-07,NO,2024-W01,67.0,79.3312,-11.555071,-18.469357,1,30.349707175542687,60.91892628449065,62.15325398182351,51.090578294818194
2024-01-14,NO,2024-W02,65.2,82.78524,-1.9050715,-10.312215,1,60.40869471287178,23.28477935583051,57.59416329623204,58.96156437994321
2024-01-21,NO,2024-W03,60.7,82.875694,-5.212214,-13.519357,1,62.35757840208346,57.54018846408046,15.929185109204058,53.88840796167463
2024-01-28,NO,2024-W04,62.4,87.277306,2.8235,-5.6479287,1,61.49035469570256,63.155637334629034,57.75468953105965,11.639820823078246
