truth_date,location,year_week,value,relative_humidity_2m,temperature_2m_max,temperature_2m_min,covid,prediction_1_weeks,prediction_2_weeks,prediction_3_weeks,prediction_4_weeks
2023-10-15,PL,2023-W41,274.9,76.49428,15.968714,6.5187144,1,215.27683877789832,,,
2023-10-22,PL,2023-W42,316.9,85.00165,11.975858,5.1187143,1,279.3420111265789,209.3173710283961,,
2023-10-29,PL,2023-W43,332.3,89.680435,13.4044285,8.025857,1,328.1753006397968,284.00382355488387,202.43659226629796,
2023-11-05,PL,2023-W44,301.9,80.841606,13.111571,7.275857,1,330.32883339885046,325.47065828934876,273.9890536042951,195.60483996040296
2023-11-12,PL,2023-W45,339.8,84.022316,9.561571,4.0472856,1,291.7438352369449,325.2161667894967,319.5498532543892,270.0299238554792
2023-11-19,PL,2023-W46,355.3,89.825966,5.033,0.31157142,1,332.6006486083783,276.10260894023884,315.12331442396646,309.6673208358527
2023-11-26,PL,2023-W47,385.7,83.18237,1.9044285,-2.767,1,361.09894971464644,334.41044824265475,268.53987945256137,306.0739684913177
2023-12-03,PL,2023-W48,786.6,86.567276,-0.9384286,-5.581286,1,379.4845863974398,350.5305816546084,319.39947030998667,256.02326064228794
2023-12-10,PL,2023-W49,491.5,89.92655,-0.467,-3.817,1,860.876837579144,378.6162716323183,344.81825304792517,314.84953961420746
2023-12-17,PL,2023-W50,504.7,93.59321,3.933,1.5329999,1,521.4614974305939,928.2305044473553,363.67687855292604,331.1259629595932
2023-12-24,PL,2023-W51,344.5,83.958824,6.218714,1.7329999,1,410.4360543193967,427.21332057746883,906.1051099776664,356.7304748604831
2023-12-31,PL,2023-W52,323.5,81.97958,7.5142503,1.8704998,1,369.5686209051504,437.1887673917812,457.43666969498383,914.5953286947874
2024-01-07,PL,2024-W01,383.4,83.48066,0.67585725,-3.7812858,1,247.3477586084168,295.70016029529336,377.90603266789935,396.54438517765584
2024-01-14,PL,2024-W02,445.8,80.74041,-1.1098572,-5.6312857,1,400.48092886864515,261.66443826293124,321.15748021680884,396.6338103777057
2024-01-21,PL,2024-W03,456.6,87.827354,0.3687143,-6.0455713,1,437.3936538496472,392.43314761658235,219.69060024488238,274.1739877515729
2024-01-28,PL,2024-W04,474.8,86.94993,4.7544284,0.56871426,1,462.8656075386892,442.97852223493453,387.3288703430875,231.6019890942702
2024-02-04,PL,2024-W05,512.0,82.85032,6.7330003,2.2758572,1,460.7742199855852,448.0159809373605,423.94571347128533,373.7082783725232
2024-02-11,PL,2024-W06,498.1,88.54279,6.911572,2.2544284,1,510.8775656304889,455.43384623062934,440.2522836204263,418.2203738330843
2024-02-18,PL,2024-W07,389.1,80.84825,8.054429,1.175857,1,489.39079728822236,503.2930690507336,437.91984651226505,423.7048594056346
2024-02-25,PL,2024-W08,347.7,85.538216,10.247286,3.5401425,1,363.6350381968566,473.10587942512666,489.4511911817167,427.70563080230534
2024-03-03,PL,2024-W09,318.2,84.753975,11.997286,4.8972855,1,315.0122694981589,332.52462423109796,460.40051749908923,475.927691118926
2024-03-10,PL,2024-W10,322.9,75.09912,7.633,-0.7098573,1,306.28901001320247,302.7851164180055,323.1973602374133,444.61899290936253
2024-03-17,PL,2024-W11,328.7,82.84307,8.690143,2.0187142,1,308.26783331926333,290.06652435591826,285.96968485188654,305.3367328294961
2024-03-24,PL,2024-W12,322.6,82.66448,9.504428,1.3044285,1,325.31058594147305,302.94966551825553,281.7370866484759,277.8389835282
2024-03-31,PL,2024-W13,322.0,67.658615,18.740143,7.104429,1,312.96573782359764,315.91639467566904,289.8724988654553,269.7592574089418
2024-04-07,PL,2024-W14,239.1,74.79176,17.090143,6.990143,1,313.87230576195583,303.9868807370328,307.41716397997345,282.75051860220674
2024-04-14,PL,2024-W15,243.0,68.29365,17.990143,9.225858,1,223.47641739803618,305.25533641545906,293.74584897474915,296.9801652959722
2024-04-21,PL,2024-W16,239.2,76.60577,8.790143,1.9972857,1,221.44003681203407,200.11196634396285,295.36707852680115,284.4611714652174
2024-04-28,PL,2024-W17,249.2,68.96497,15.383,4.883,1,240.06262465017895,220.68106797144654,195.83388747153185,286.05814187026994
2024-05-05,PL,2024-W18,150.5,50.987495,24.483,11.854429,1,239.24192194332113,229.26118716129164,206.7095326355472,183.17631468658743
