truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-15;AT;2023-W41;1968,7;65,48767;17,399357;5,2850714;1;1281,8425963063992;;;
2023-10-22;AT;2023-W42;2114,8;77,72401;14,063643;3,5422142;1;2052,694524007175;1301,743114988427;;
2023-10-29;AT;2023-W43;2094,0;83,45049;12,5636425;5,363643;1;2059,773223092281;1991,5811177615728;1302,1727295275834;
2023-11-05;AT;2023-W44;2090,6;87,84499;8,327929;-0,67207134;1;2050,108487169716;2012,5532931195023;1949,2139563461485;1333,8342524997436
2023-11-12;AT;2023-W45;2248,4;82,679825;6,1064997;-2,5935001;1;1969,617736875485;1925,1566324254811;1889,8644571196392;1833,100387243428
2023-11-19;AT;2023-W46;2184,9;86,691795;6,013643;0,33507153;1;2201,296468321059;1896,0398165714143;1854,870797423107;1822,5321011002573
2023-11-26;AT;2023-W47;2778,6;85,55908;0,6636428;-4,0720716;1;2056,146471489723;2072,9596655758533;1791,7592221806572;1754,5044893742952
2023-12-03;AT;2023-W48;2395,5;85,73014;-1,1649286;-9,907786;1;2791,519146636382;2002,4603936477372;2016,6951100586452;1767,1654868712783
2023-12-10;AT;2023-W49;2834,0;82,554756;1,6350715;-8,1935;1;2224,6146416058878;2651,7735669044337;1925,151534854546;1938,6640338093807
2023-12-17;AT;2023-W50;3242,5;86,31288;4,1565003;-1,6220714;1;2768,7738989849745;2112,8133564068003;2500,6548820691896;1854,8134970468327
2023-12-24;AT;2023-W51;3209,8;74,40386;4,442214;0,2993572;1;3054,12367205627;2535,7607945292943;1927,4872451277697;2269,908606761478
2023-12-31;AT;2023-W52;2238,3;73,572;5,8252497;-4,3622503;1;3096,095786525881;2927,324198357225;2452,4000382959885;1903,631860304676
2024-01-07;AT;2024-W01;2420,4;84,53328;0,7850714;-5,686357;1;2015,6770469403025;2944,4090127138543;2784,9434214160906;2352,168646601397
2024-01-14;AT;2024-W02;2343,0;75,8771;-0,92207134;-9,5935;1;2288,807780835652;1854,450907843462;2729,635837990612;2582,2540544357007
2024-01-21;AT;2024-W03;2156,0;71,01148;2,4636428;-9,350642;1;2237,740401742995;2181,1297138030886;1781,5237585130938;2584,70325544368
2024-01-28;AT;2024-W04;3180,1;75,48409;5,5493574;-3,7435;1;2086,308824042416;2172,218355594311;2122,1871102979617;1759,178758511224
2024-02-04;AT;2024-W05;3161,0;73,5995;7,1707854;-0,014928545;1;3161,406668269744;1990,9947150281123;2070,3609307631687;2025,185085728679
2024-02-11;AT;2024-W06;3595,8;75,43933;7,699357;-0,32921425;1;3019,738838625296;3019,8420051239336;1935,0546186051256;2004,538790932266
2024-02-18;AT;2024-W07;2634,8;78,90879;7,799357;-0,3792143;1;3502,599045220008;2879,0033990788484;2878,909690394123;1894,213970651495
2024-02-25;AT;2024-W08;1945,2;84,60369;4,613643;-2,3435;1;2410,2556317155154;3334,2806808714977;2746,9724412398364;2746,055527563078
2024-03-03;AT;2024-W09;2338,0;82,83692;9,427928;0,17792861;1;1809,4937691866592;2307,192535147792;3168,744480111289;2627,2460659178587
2024-03-10;AT;2024-W10;1790,0;81,79389;5,1350713;-2,0792143;1;2273,659334970837;1719,824774261264;2182,181833127332;2971,044096186407
2024-03-17;AT;2024-W11;1798,0;83,39875;8,677928;1,0850714;1;1724,7617427416774;2227,7584745106906;1717,4731998197483;2132,5275682697293
2024-03-24;AT;2024-W12;2179,8;80,15226;9,327929;-1,2434999;1;1756,9490697752935;1680,0083040679046;2136,733891205381;1676,8317865646172
2024-03-31;AT;2024-W13;1629,1;73,68341;11,385071;1,5065;1;2136,354953190099;1696,5597108381935;1626,1287273939697;2031,7394716651345
2024-04-07;AT;2024-W14;1512,6;68,04641;16,792215;3,120786;1;1553,4517611572965;2076,9410495034035;1679,0621333156278;1614,9802063797306
2024-10-13;AT;2024-W41;3214,2;82,49632;13,673167;4,914833;0;678,3297491019499;720,1055605708128;1198,0153765095245;846,4429007959363
