truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-15;BE;2023-W41;168,0;77,17224;18,200214;10,550215;1;177,92572597231486;;;
2023-10-22;BE;2023-W42;179,6;81,58094;15,628786;9,9145;1;166,046837056291;179,9003374407492;;
2023-10-29;BE;2023-W43;135,6;86,92018;13,907357;9,385928;1;185,8571503024271;166,141525931994;180,41829433079027;
2023-11-05;BE;2023-W44;173,7;84,014595;12,393072;8,385929;1;113,75911525385996;178,70160171785076;157,03007376606547;169,86837877729346
2023-11-12;BE;2023-W45;209,2;87,18748;10,9645;6,085929;1;193,4438830176751;111,3443488016336;173,7878576336198;152,3475011289299
2023-11-19;BE;2023-W46;206,9;88,751595;11,428786;6,8073573;1;228,3725085488437;203,35881012567563;123,99247455217116;173,09718829788835
2023-11-26;BE;2023-W47;252,5;88,279366;8,793071;4,1359286;1;190,9561389687676;224,703576420301;196,8894890778488;130,42852172137623
2023-12-03;BE;2023-W48;276,3;88,101006;3,4716427;-0,9997857;1;254,87395046786327;169,0678604180317;208,9927335925184;182,6662179935416
2023-12-10;BE;2023-W49;296,7;86,343834;8,7287855;3,9859283;1;286,44258431374243;256,71627091218375;169,07052958604896;210,59957984449144
2023-12-17;BE;2023-W50;466,9;89,98573;8,321643;4,328786;1;290,1558514176538;275,1288662836179;244,66384670936893;166,24805305741904
2023-12-24;BE;2023-W51;533,4;87,7154;10,507358;7,443072;1;520,8307762978914;273,1624574234446;256,53278176723416;229,30616379709616
2023-12-31;BE;2023-W52;191,8;82,4;10,75825;6,4395;1;511,9508634300031;499,2099682164175;241,5026784351998;224,38793002435875
2024-01-07;BE;2024-W01;264,1;85,559204;7,157357;3,4287856;1;15,579035532219107;459,7759892028637;451,89009920648783;216,07608402912905
2024-01-14;BE;2024-W02;366,0;74,441895;1,5002143;-2,6497858;1;265,264281701921;-81,71989947147611;371,79921371785787;374,3183657420358
2024-01-21;BE;2024-W03;395,9;84,57513;3,0145001;-2,2426429;1;410,0482791212432;273,35119317471566;-80,50269226512924;322,68505114441115
2024-01-28;BE;2024-W04;787,6;82,87024;11,1645;3,371643;1;381,1511679846033;399,843868023214;266,48595146901835;-49,85212700131604
2024-02-04;BE;2024-W05;732,3;85,503685;10,007357;6,1645;1;906,7937507869842;355,619094527535;371,28099248325714;261,0513598605546
2024-02-11;BE;2024-W06;701,2;86,7505;11,4930725;5,771643;1;634,5376494039965;872,5030773696215;312,8198414918749;326,31207332485747
2024-02-18;BE;2024-W07;350,4;84,77647;12,528786;7,4645004;1;625,4138726359862;533,905426656185;776,061232299543;276,82808393784995
2024-02-25;BE;2024-W08;416,2;84,731255;9,657357;4,8430715;1;157,64390701886754;534,6430785676857;436,3213441760524;651,685230490707
2024-03-03;BE;2024-W09;287,1;85,7573;10,028786;3,7073572;1;415,7810506668677;70,45548016202869;454,05351876826455;359,68207604473685
2024-03-10;BE;2024-W10;154,0;78,06512;11,028786;3,9430714;1;207,5813466936166;376,6022618688577;33,79395233688771;377,1464608089113
2024-03-17;BE;2024-W11;191,4;83,771355;13,757358;7,9145;1;113,58251249897236;184,21382227825703;349,9276360889512;50,16008159385018
2024-03-24;BE;2024-W12;93,9;83,338844;12,900215;5,478786;1;199,501445406842;92,11104732765584;161,5100248321486;305,4952207685829
2024-03-31;BE;2024-W13;118,1;74,64496;13,157357;6,2359285;1;53,87699925061752;194,22939403499183;85,13474275177302;145,47964281715767
2024-04-07;BE;2024-W14;120,6;75,72602;17,671642;10,928786;1;147,77950426861753;63,73653739077375;202,3579501764069;105,05021998991332
2024-04-14;BE;2024-W15;72,0;73,75836;16,164501;8,985929;1;123,23373036165312;152,2745817636818;69,92124164269639;195,80562679654705
2024-04-21;BE;2024-W16;67,3;76,93209;10,171644;3,6359286;1;61,02869689433585;130,92966675054458;150,71818665591843;79,2629720794271
2024-04-28;BE;2024-W17;25,7;76,22951;12,750215;4,7645;1;83,31469684023466;73,72342675011834;145,64162205177968;155,27201650772608
2024-05-05;BE;2024-W18;44,1;79,2292;18,5645;9,750215;1;37,03851423778829;114,18650415727151;102,59047721986384;169,08284321863658
2024-05-12;BE;2024-W19;23,9;79,04391;20,207357;9,9645;1;63,37211156285886;55,06448684279096;132,86815850576966;120,838007470563
2024-05-19;BE;2024-W20;38,6;82,92424;19,628786;12,028786;1;43,18586644435524;93,8094682594855;88,91911542742464;157,94576882204896
2024-05-26;BE;2024-W21;64,4;82,81208;18,300215;11,543071;1;61,94360999065489;64,97349242839715;113,68902096775152;112,52859829794042
2024-06-02;BE;2024-W22;27,5;82,16917;17,350216;10,6645;0;35,38677792837517;-15,215224542882822;28,86983303802903;58,47917605594356
2024-06-09;BE;2024-W23;56,6;73,121796;17,178785;8,821643;0;50,396257888389925;42,32909685987562;-1,1548740633941463;37,292195039728185
2024-06-16;BE;2024-W24;68,8;76,86529;17,414501;10,100214;0;87,63548683193628;77,61144777334358;66,07133298964072;28,372898868222705
2024-06-23;BE;2024-W25;96,0;81,49684;20,700214;12,935929;0;83,50449529103378;111,2445608624296;100,13198398155724;90,1663774962414
2024-06-30;BE;2024-W26;103,7;73,52007;24,185928;14,185928;0;97,99115967506656;79,76146283109968;110,79265972469187;101,45526620449614
2024-07-07;BE;2024-W27;116,3;74,221054;18,778788;12,343072;0;108,04748635723362;101,8482583156716;84,26555455945498;111,05855363763789
2024-07-14;BE;2024-W28;66,5;76,99409;22,085928;12,9645;0;127,41754998270812;112,7013615250514;107,24924693923296;88,4518535717143
2024-07-21;BE;2024-W29;120,3;76,00987;24,593073;16,3145;0;54,63255341973322;134,19572192647993;118,06232078087288;114,40478976551266
2024-07-28;BE;2024-W30;72,7;75,55928;23,157358;14,614501;0;136,93679443193935;51,21450612544916;129,2000060826274;112,71690430946155
