truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-15;BG;2023-W41;632,2;57,151237;22,582857;9,761429;1;504,25087311367975;;;
2023-10-22;BG;2023-W42;625,5;65,60366;21,618572;8,218572;1;693,8782569371938;584,9977941660588;;
2023-10-29;BG;2023-W43;581,4;63,836773;23,697144;11,475715;1;577,3084864583474;637,3290167985929;542,6468136254625;
2023-11-05;BG;2023-W44;748,1;74,142334;18,46857;8,025714;1;647,8346141949005;644,4530726733375;694,2304868809824;613,760653878684
2023-11-12;BG;2023-W45;852,4;75,760185;13,182857;4,3828573;1;740,8305459315994;655,7467721152606;652,9792319131868;694,193754657225
2023-11-19;BG;2023-W46;874,1;72,59676;12,190001;2,897143;1;800,7236792258838;720,0131145941368;647,0486007062174;644,7166730735964
2023-11-26;BG;2023-W47;1011,8;82,309685;7,897143;1,0614287;1;887,6103458544596;813,0190517769613;753,6979867386217;691,6620538148402
2023-12-03;BG;2023-W48;996,8;80,94165;7,5685716;-1,0885714;1;993,569569375736;886,8904723694276;813,6026141420344;770,9414027792089
2023-12-10;BG;2023-W49;1030,0;83,951904;4,747143;-0,66714287;1;932,6370639073798;929,8505923891764;837,6949612691922;757,5311085655488
2023-12-17;BG;2023-W50;1212,9;81,65342;7,997143;-0,25285712;1;1001,7225400037051;918,35139440492;916,1421819893128;836,9428245984639
2023-12-24;BG;2023-W51;1033,2;70,330345;9,261429;-0,76000005;1;1089,4654289971609;906,7611925881228;835,2892176306766;833,634139569317
2023-12-31;BG;2023-W52;498,2;67,7086;10,48375;0,59625;1;952,3387859706016;1001,7606765980768;844,285377999379;782,1984004664035
2024-01-07;BG;2024-W01;1178,5;82,07655;9,332857;1,1899999;1;596,0212944608329;983,7094278304407;1026,7494111868111;890,0694634849222
2024-01-14;BG;2024-W02;1488,9;67,43877;3,1257145;-6,602857;1;1073,1284368092668;577,9704575819054;907,7802701286716;945,0348692146056
2024-01-21;BG;2024-W03;1593,8;75,38695;5,6185718;-3,3100002;1;1391,8256097250503;1040,7010080048235;619,0413073568982;902,1128017715682
2024-01-28;BG;2024-W04;1972,0;72,277245;4,29;-3,6100001;1;1430,4672837426278;1254,7866768916929;955,6280404744008;596,7556263602373
2024-02-04;BG;2024-W05;1771,5;61,17327;8,761428;-2,7885716;1;1763,3198751210566;1283,3394827623702;1130,4929969402183;874,2920886157833
2024-02-11;BG;2024-W06;1322,2;62,883873;15,447143;3,7828572;1;1595,2370738348484;1587,5431211609284;1158,123377768049;1022,5936334077182
2024-02-18;BG;2024-W07;1141,7;74,858345;9,511429;-0,0457143;1;1311,3571643946168;1549,6654791607364;1542,8408988175786;1167,2732340743253
2024-02-25;BG;2024-W08;989,3;75,86572;12,954286;2,6114287;1;1079,2430828980494;1225,2117451878712;1439,8474095854694;1433,5650970131476
2024-03-03;BG;2024-W09;909,7;79,31866;13,49;3,9042854;1;955,2426863662536;1032,9066832037363;1158,8503802012358;1351,179949190114
2024-03-10;BG;2024-W10;724,8;79,9688;11,775714;2,49;1;894,1312444130725;933,2633905509012;999,7585885826768;1108,692693626312
2024-03-17;BG;2024-W11;906,4;76,52321;12,825714;3,1399999;1;702,1177665308778;846,5381946082312;879,9537985054734;937,428378307155
2024-03-24;BG;2024-W12;863,8;60,94449;13,54;1,4542857;1;808,4786398098884;634,3818198057425;757,3975012920154;786,3794299028477
2024-03-31;BG;2024-W13;757,2;63,276913;21,747143;6,5471425;1;853,9302670266683;810,9868950865998;657,8222710364761;762,8239893155252
2024-04-14;BG;2024-W15;574,8;49,06237;25,197144;9,218572;1;629,5170487212034;713,1393299068038;680,8994202859334;544,8001488784193
2024-04-21;BG;2024-W16;586,1;60,530926;16,575714;5,9757147;1;608,3912540793685;653,9926065703575;724,6904762448097;696,2825522627479
2024-04-28;BG;2024-W17;630,5;70,55625;17,761429;6,375714;1;668,5295202353835;687,4331940359102;726,2784391353445;786,6045679560261
2024-05-05;BG;2024-W18;395,3;71,43528;18,232857;9,29;1;587,2130839570185;619,577971579566;635,7137132012949;669,1882363463117
2024-05-12;BG;2024-W19;511,7;68,62468;19,432858;9,832857;1;412,8273283856804;576,507763028684;603,956597076638;617,4460660987966
2024-05-19;BG;2024-W20;566,9;78,09069;18,232859;10,275714;1;565,3672834192613;485,0165484159759;624,8974835265674;648,4097677083438
2024-06-02;BG;2024-W22;501,2;68,74398;24,11857;12,211428;0;523,5102957939446;575,9216501107195;447,7164122669408;558,0797012236903
2024-06-09;BG;2024-W23;450,2;64,26882;28,225714;15,747142;0;462,1725755453091;476,8996266317984;528,1055533860728;414,601386514464
2024-06-16;BG;2024-W24;436,7;58,95306;27,925714;16,097141;0;410,542435771985;421,9100201538621;432,4560712218431;479,746504266551
2024-06-23;BG;2024-W25;368,4;55,577236;32,547146;18,59;0;427,3774371569544;405,1226664104892;417,041994262212;420,6724849372789
2024-06-30;BG;2024-W26;360,1;58,818867;29,09;17,36143;0;384,4003879012876;435,0350707224229;416,17172245870967;427,26243773799575
2024-07-07;BG;2024-W27;348,1;53,9699;28,847141;15,747142;0;371,0175089418661;391,2945503269125;435,0275457656408;418,9375518096051
2024-07-14;BG;2024-W28;322,5;39,449635;34,232857;20,96857;0;217,7521650788981;237,5204009040953;260,8058893054581;291,99309953912643
2024-07-21;BG;2024-W29;317,1;44,281147;33,932858;21,232859;0;346,8048449044912;257,5473985907099;274,40238805791216;294,8917658912713
