truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-15;CZ;2023-W41;819,0;70,265884;19,420214;11,141643;1;744,8541190110257;;;
2023-10-22;CZ;2023-W42;904,5;80,25716;15,3845;5,7630715;1;967,2808005235064;911,304388155662;;
2023-10-29;CZ;2023-W43;908,3;79,10542;15,713072;9,070214;1;776,7364281810256;815,8516380612275;772,3569263282133;
2023-11-05;CZ;2023-W44;973,3;77,64357;13,255929;7,3130717;1;855,0492043614271;750,2946797505737;791,3011406037299;736,4660776114465
2023-11-12;CZ;2023-W45;1016,4;75,69252;10,841643;3,5345;1;1011,761992190234;893,0432171470362;776,2874312091292;839,1837406003292
2023-11-19;CZ;2023-W46;978,3;81,31222;10,005929;4,841643;1;959,2603299949304;942,4718118439064;832,7553764701594;702,3488288881565
2023-11-26;CZ;2023-W47;1134,7;78,818184;5,2630715;0,3559286;1;967,0296547113076;960,1612904303498;939,7441404858688;834,1132723436176
2023-12-03;CZ;2023-W48;1269,9;88,49458;-0,45121425;-5,0583572;1;1189,3344569992196;1015,353602942773;1026,3259871890418;1014,7395729801652
2023-12-10;CZ;2023-W49;1316,9;91,00765;3,0487857;-2,5440712;1;1214,115470100644;1158,6954017193948;1001,6457385765088;1001,5835173564232
2023-12-17;CZ;2023-W50;1427,1;85,301;7,6273575;2,8559287;1;1161,5819855295365;1028,931981477734;984,3382989714892;861,9687980068229
2023-12-24;CZ;2023-W51;1332,3;77,296555;7,705929;4,341643;1;1242,5160741564443;1015,861284570732;866,2852291228264;815,6648097344857
2023-12-31;CZ;2023-W52;752,2;77,2977;9,3845005;3,7595;1;1330,172953692765;1267,1428567110877;1046,023751508315;895,3499844809057
2024-01-07;CZ;2024-W01;1072,8;83,660835;4,8773575;0,81307137;1;785,8849210449484;1293,293781274225;1221,1811357714369;1000,8174988396872
2024-01-14;CZ;2024-W02;1126,7;71,078926;0,3202143;-5,108357;1;1036,1849051425402;728,2840503843684;1293,0534464106383;1154,6717390867543
