truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-15;DE;2023-W41;1522,9;77,54754;17,265;9,729285;1;1096,0598298846362;;;
2023-10-22;DE;2023-W42;1554,9;86,07335;12,264999;5,136429;1;1584,2707538557693;1138,141993554661;;
2023-10-29;DE;2023-W43;1638,0;90,843124;13,372142;9,143571;1;1510,222939751584;1536,038520834374;1102,5879419630726;
2023-11-05;DE;2023-W44;1471,0;80,952515;12,657857;7,7935715;1;1543,985876787302;1409,8056299715572;1438,4604126431884;998,0072173187184
2023-11-12;DE;2023-W45;1800,0;82,49862;10,307857;4,6935716;1;1436,0163993577662;1502,797271368926;1365,1720709516462;1405,841589775339
2023-11-19;DE;2023-W46;1915,0;86,276955;9,329286;4,372143;1;1778,8073916879412;1412,479904242558;1471,9180892110385;1327,372588196102
2023-11-26;DE;2023-W47;2068,0;84,60054;4,6864285;-1,2492857;1;1841,7079944260936;1697,4175082135807;1353,811641713729;1405,0690762525817
2023-12-03;DE;2023-W48;2073,9;88,61749;-0,9135714;-5,827857;1;2044,760328415235;1812,3562160677225;1666,680605444492;1326,7087468357336
2023-12-10;DE;2023-W49;2318,9;92,20138;3,250714;0,20071432;1;1992,1746397910745;1962,2748172206352;1734,8627172377692;1594,4183175692317
2023-12-17;DE;2023-W50;2529,0;92,25521;6,529286;3,3792858;1;2236,3242676479085;1903,6699442346955;1873,849145630943;1641,369462344644
2023-12-24;DE;2023-W51;2229,0;86,366066;7,343571;3,4864285;1;2383,7865846161803;2075,6748571228404;1754,6097246791414;1722,7472240018203
2023-12-31;DE;2023-W52;962,0;80,447685;9,183749;4,72125;1;2067,375542246536;2236,894288472751;1929,09099226012;1603,5854171783471
2024-01-07;DE;2024-W01;1646,0;86,03105;3,2864287;-1,635;1;963,1509765168728;1975,6036322473728;2174,9087913791127;1864,9772911855785
2024-01-14;DE;2024-W02;1637,0;82,25033;0,29357144;-4,392143;1;1498,8631472048478;868,8539096277246;1765,0367675139637;1993,542502003093
2024-01-21;DE;2024-W03;1768,9;80,76702;2,6221428;-3,377857;1;1472,6773463762247;1326,5308418398731;809,1778763558702;1649,63567019002
2024-01-28;DE;2024-W04;2028,9;83,33723;8,129286;1,9435714;1;1782,9482735021986;1502,3547836863988;1360,2838418855752;833,437346418933
2024-02-04;DE;2024-W05;2168,0;81,39276;8,607857;4,0721426;1;1913,9449997593283;1661,0933318913578;1403,892868620024;1252,809605469977
2024-02-11;DE;2024-W06;2068,0;88,839516;9,122142;3,315;1;2184,5240151698645;1928,442086902748;1695,1752870326616;1437,2167585614795
2024-02-18;DE;2024-W07;1768,0;86,1215;10,907857;4,7935715;1;1955,9152021516784;2071,8945644516925;1829,528878598728;1592,1162477517228
2024-02-25;DE;2024-W08;1800,9;80,00688;10,600714;3,5149999;1;1629,2996878275555;1816,827034666405;1926,8127533737008;1693,2402477561252
2024-03-03;DE;2024-W09;1537,9;86,2713;10,115;3,315;1;1751,8551503589129;1578,7968767416191;1756,6051182950043;1867,5212312853905
2024-03-10;DE;2024-W10;1427,0;78,54095;9,229285;0,80785716;1;1387,7601606055312;1589,7408703543188;1429,1866217979768;1608,9925937265511
2024-03-17;DE;2024-W11;1433,0;78,33822;12,157857;3,3578572;1;1368,4487531714822;1327,1750821574608;1531,4162892775755;1359,8957149768382
2024-03-24;DE;2024-W12;1370,9;79,47264;10,957856;2,7935715;1;1355,2004013098897;1294,3474552144182;1251,914701770316;1457,462738199083
2024-03-31;DE;2024-W13;1020,9;75,4859;16,872143;5,6935716;1;1327,1191926886122;1303,2784367210586;1246,301116947832;1204,3040302185946
2024-04-07;DE;2024-W14;1131,0;78,029625;18,243572;10,236428;1;958,683258627891;1259,7818550435695;1231,6443939497906;1181,7257626414494
2024-04-14;DE;2024-W15;1168,0;70,23299;17,943571;9,379286;1;1032,3097961885694;863,5174440102044;1150,5684239886104;1123,2720986027186
2024-04-21;DE;2024-W16;1140,0;74,5434;8,714999;1,5435715;1;1158,115354665358;1029,7292282424942;863,6472136877476;1145,6947090873584
2024-04-28;DE;2024-W17;1282,9;71,79616;14,672143;4,2507143;1;1149,900936236935;1169,9638836517972;1050,8490165157132;881,0015045161435
2024-05-05;DE;2024-W18;1004,9;65,63862;22,122145;12,250714;1;1179,6173086141184;1056,573421071162;1075,0377464146288;956,104362118162
2024-05-12;DE;2024-W19;829,0;64,37009;19,33643;8,886428;1;976,1896866206974;1150,1105329392385;1032,3335960748084;1051,3333689197675
