truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-15;DK;2023-W41;95,2;76,376366;14,638928;8,803214;1;94,66902478027038;;;
2023-10-22;DK;2023-W42;93,8;78,58533;11,003214;6,896072;1;99,76999292787885;99,31185439953222;;
2023-10-29;DK;2023-W43;123,7;84,659584;10,231786;7,4103575;1;99,12144804761674;104,35633473434956;103,95981261749728;
2023-11-05;DK;2023-W44;138,0;85,7364;10,796072;7,424643;1;122,48367778825391;101,04766663768484;105,615031977982;105,2686698546903
2023-11-12;DK;2023-W45;158,0;87,43144;8,924643;6,7246428;1;136,43454584636325;122,91366258835792;104,10202922409422;108,12246984419436
2023-11-19;DK;2023-W46;139,7;86,39363;6,1817856;3,6389287;1;154,98220440360006;136,13979378885705;124,34368611566764;107,8961836455056
2023-11-26;DK;2023-W47;173,7;78,30877;4,231786;-0,12535712;1;134,47270504711582;147,87710436820254;131,49466218796402;121,19303222054732
2023-12-03;DK;2023-W48;200,2;79,379005;-0,11107145;-3,0825;1;170,46848967974577;136,14907754794692;147,95611450010375;133,52392518761596
2023-12-10;DK;2023-W49;230,5;86,71019;3,1603572;1,6746428;1;189,22275885085355;163,30399576574453;133,8173813956854;144,06260916595147
2023-12-17;DK;2023-W50;244,0;89,36784;5,0675;2,6889288;1;217,08273367179544;180,8958351532563;158,2802238305022;132,54491128108944
2023-12-24;DK;2023-W51;214,0;85,56958;6,124643;1,7389286;1;226,36135035611665;202,63896056288013;171,1922636593437;151,47943468501398
2023-12-31;DK;2023-W52;197,1;85,541985;6,6925;3,63625;1;199,6441477955192;210,4716418701111;189,59370733635097;161,77261838264536
2024-01-07;DK;2024-W01;179,0;84,319664;-1,2682142;-4,3896427;1;196,27931299640116;198,49763045364296;208,0853858951248;189,71688281719727
2024-01-14;DK;2024-W02;203,9;90,13856;1,3889285;-2,8467858;1;174,92416238163588;190,077039684349;192,0221884201463;200,50614292253968
2024-01-21;DK;2024-W03;172,4;80,90217;2,3817859;-1,3896428;1;185,0256509281757;159,72049163087442;172,9169295331285;174,6259313801495
2024-01-28;DK;2024-W04;204,7;85,76558;6,474643;2,3032143;1;165,16443226645308;176,21368447031426;153,9963750776146;165,38810040105926
2024-02-04;DK;2024-W05;171,6;84,5457;6,838928;2,9889286;1;192,15130267101256;157,5073597511846;167,18005355677653;147,71035100479114
2024-02-11;DK;2024-W06;181,0;85,2674;3,481786;-0,02535716;1;168,91735031459217;186,93496821994097;156,73931634180855;165,18681757869166
2024-02-18;DK;2024-W07;159,7;93,91521;6,396072;2,1460714;1;178,12063434929;167,55101263121406;183,37383034940189;156,75239000340994
2024-02-25;DK;2024-W08;144,6;87,97488;6,774643;3,5889287;1;148,94204748478606;165,04375936713325;155,80797439132851;169,69856745478552
2024-03-03;DK;2024-W09;148,1;92,41704;5,624643;2,8032143;1;146,15340205333436;149,9436425860931;164,06520011052334;155,91753425204507
2024-03-10;DK;2024-W10;140,2;81,79871;4,8246427;0,31749997;1;139,2867896796051;137,5946872241127;140,89696670635;153,22770040936044
2024-03-17;DK;2024-W11;109,2;85,65104;6,881786;2,9175;1;137,60403292752684;136,8100579617142;135,33285364801085;138,22608924457242
2024-03-24;DK;2024-W12;123,1;85,39713;7,3889284;2,2460713;1;111,03129349186862;135,81691125021794;135,11753030237156;133,8306920386269
2024-03-31;DK;2024-W13;154,7;86,10601;10,5175;3,9675002;1;121,10594293399618;110,5355633432751;132,2172851608122;131,603245142079
2024-04-07;DK;2024-W14;144,6;90,0337;10,060357;4,4675;1;152,6807205812031;123,37858025773924;114,14177075084368;133,1606538272234
2024-04-14;DK;2024-W15;122,0;86,01079;12,296071;6,460357;1;135,93155828759777;142,98124984391904;117,27615595867462;109,19567104196308
2024-04-21;DK;2024-W16;113,2;74,104355;6,981786;2,0674999;1;116,72577382787084;128,83348492216618;134,9935321627383;112,65304830716272
2024-04-28;DK;2024-W17;130,3;76,48598;9,860357;3,8889287;1;112,73144765109664;115,79700200264624;126,40937374469972;131,7911632817461
2024-05-05;DK;2024-W18;117,2;80,57319;15,746072;8,760357;1;125,42180738163918;109,9787991593182;112,62148275241056;121,98254941748232
2024-05-12;DK;2024-W19;90,9;80,98951;13,996072;6,874643;1;118,75864877616208;125,91943433835416;112,42540541386356;114,74488531531544
2024-05-19;DK;2024-W20;119,8;63,792236;19,231785;11,5175;1;73,80571941070505;98,00679494606996;104,37813739947804;92,47754091831636
2024-05-26;DK;2024-W21;87,1;78,43554;18,981785;12,988929;1;126,02763732923304;86,16526017862671;107,29234809984628;112,87611921590111
2024-06-02;DK;2024-W22;79,1;84,05544;19,810358;13,7675;0;38,500712687705246;72,20456082897748;39,80571911849262;57,56866024813496
2024-06-09;DK;2024-W23;94,3;71,1416;15,9103565;10,253214;0;69,18471577575556;33,95334104860961;63,108166614930845;35,10946407830419
2024-06-16;DK;2024-W24;74,9;74,54292;16,067501;11,4175005;0;89,83353449662147;67,96168028492995;36,56526816446979;62,13303890346905
2024-06-23;DK;2024-W25;93,1;75,85937;18,210358;12,431786;0;72,30339306360341;85,39646706142332;66,33090833562655;38,09389557198494
