truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-15;EE;2023-W41;165,5;79,180916;10,9728565;6,0942855;1;136,8167985250935;;;
2023-10-22;EE;2023-W42;148,1;77,90788;5,43;2,0942857;1;154,2113387761661;126,88814115705117;;
2023-10-29;EE;2023-W43;186,4;80,34454;2,4228573;-0,9485714;1;147,30950018126126;153,23495847896345;120,29144653400265;
2023-11-05;EE;2023-W44;245,5;88,45571;8,208571;3,6800003;1;181,4035805437156;144,3533288471962;151,3985198824193;116,90066620719114
2023-11-12;EE;2023-W45;417,2;97,0066;6,6514287;3,7585714;1;250,84630635892825;188,6173115559295;144,10637418894208;151,4898624174543
2023-11-19;EE;2023-W46;324,3;85,60587;0,3228571;-2,5271428;1;419,09438368377255;257,7223680977207;184,59855696900803;137,10961459167208
2023-11-26;EE;2023-W47;401,5;85,78447;-1,0199999;-7,062857;1;354,73381928468973;446,7635544331184;253,34446514285216;177,17727101854587
2023-12-03;EE;2023-W48;501,2;88,26813;-2,4271429;-5,577143;1;391,0331979719919;344,94007058440855;457,00405866683343;253,07932499336192
2023-12-10;EE;2023-W49;463,7;87,63959;-6,6914287;-10,841429;1;490,0570685353676;385,7265231680005;330,19378677878126;448,17534504955495
2023-12-17;EE;2023-W50;516,4;91,60234;0,5228571;-2,7342856;1;483,5169320872338;506,91761065863926;381,2686848246326;323,0172157673725
2023-12-24;EE;2023-W51;382,8;91,6759;1,3228571;-1,5699999;1;507,6415391087416;475,8812014949799;502,2115671770341;371,12579095434296
2023-12-31;EE;2023-W52;266,2;91,28304;-0,62624997;-4,77;1;379,3931919523527;498,7581591141631;460,8059573505578;487,4221269381853
2024-01-07;EE;2024-W01;238,2;78,73084;-11,055715;-16,612858;1;220,340923647415;332,4846439295655;475,95084245197023;436,6091164918075
2024-01-14;EE;2024-W02;261,4;86,31749;-2,8271427;-7,8414283;1;200,69536051467395;183,69907296978437;316,4547892598107;469,1001162176692
2024-01-21;EE;2024-W03;216,0;84,07478;-3,8771427;-12,105714;1;234,87553263499643;174,8599132059312;153,86514509023675;295,1781253318963
2024-01-28;EE;2024-W04;215,7;91,71452;0,91571426;-1,9271429;1;230,58948441799467;246,80014945070616;176,25743314413523;154,65591506767467
2024-02-04;EE;2024-W05;208,8;87,40913;1,4799999;-0,8128571;1;206,2222142365409;222,29316789250967;241,15473245578968;167,7606457606252
2024-02-11;EE;2024-W06;213,8;81,30206;-5,977143;-10,798571;1;190,19182802485756;186,33457551347516;204,22715394458663;224,14041913400828
2024-02-18;EE;2024-W07;222,3;89,466774;1,637143;-3,3700001;1;211,93592903049975;189,1835338620474;186,74957999082565;204,2543053852001
2024-02-25;EE;2024-W08;234,3;85,78707;4,3228574;-0,50571436;1;220,23940443817435;210,2108863774401;182,9150844201629;179,781419526037
2024-03-03;EE;2024-W09;217,4;91,62284;4,794286;-1,162857;1;232,0275924295159;218,46723412479065;206,48031931231765;178,18446050212435
2024-03-10;EE;2024-W10;192,1;82,40016;2,0442858;-4,5271425;1;210,25437059802377;223,8460165850139;207,79773375411756;195,27231472074675
2024-03-17;EE;2024-W11;192,7;81,751465;5,544286;0,3371428;1;188,62518370845865;206,1067799672722;222,5007036964761;205,56667935248305
2024-03-24;EE;2024-W12;197,8;86,874016;4,122857;-0,47714287;1;184,605171564066;180,8299189777523;201,4549376102384;218,64625234439276
2024-03-31;EE;2024-W13;180,5;81,88288;11,63;1,9371427;1;184,24889566705957;171,2473168018153;167,2930438956612;189,5082405981252
2024-04-07;EE;2024-W14;208,0;83,10323;5,144286;-1,0057142;1;179,93708728598477;183,6645253752861;168,46267506423922;164,19354184834748
2024-04-14;EE;2024-W15;207,1;82,191956;12,208571;5,001428;1;202,71402144433583;174,97264768869803;180,57997932871507;164,41741953312263
2024-04-21;EE;2024-W16;182,9;78,1828;3,4014285;-1,2342857;1;205,512968634924;201,5263029387625;167,31827139961382;173,66417072066372
2024-04-28;EE;2024-W17;161,8;82,30516;9,872857;1,1514285;1;178,6430156555233;200,7431642288592;195,6369472809635;161,23130885584592
2024-05-05;EE;2024-W18;133,3;66,036285;13,958571;4,265714;1;148,07163365830445;164,07545614589912;189,82244116775172;184,2380757533004
2024-05-12;EE;2024-W19;140,6;62,842793;10,58;3,4657142;1;125,54743637569356;139,70789455578617;158,64740887488773;185,7308079477533
2024-05-19;EE;2024-W20;177,2;63,01598;20,137142;8,522857;1;129,6292661268845;113,2911994055655;130,3141527269944;150,25036322315066
2024-06-02;EE;2024-W22;132,2;69,980095;25,115713;14,88;0;165,7319017127061;119,39719965903936;100,37486653365345;117,90646310173275
2024-06-09;EE;2024-W23;101,1;74,83732;18,644285;10,63;0;140,66608291314827;173,2930630724989;117,9151119798743;98,05987628247271
2024-06-16;EE;2024-W24;110,7;74,73027;18,787142;10,365714;0;94,87695600706326;133,20733115783898;171,86517382901422;114,0008353965313
2024-07-14;EE;2024-W28;95,0;75,494026;23,215714;14,808571;0;100,466828196102;85,13101265901513;130,07342641627042;170,9956668855213
2024-07-21;EE;2024-W29;89,8;78,73136;23,301428;15,872857;0;94,02645685114956;99,40463832054245;81,0932035780414;128,19120692464085
2024-07-28;EE;2024-W30;83,0;82,58109;23,45143;16,751429;0;88,39648948161391;92,48887780924991;98,9286612506064;79,59661720782645
2024-08-04;EE;2024-W31;101,4;81,85289;20,529999;15,28;0;79,35027704513344;84,9222232030473;89,7832710573373;96,5136941525066
2024-08-11;EE;2024-W32;113,1;82,16266;20,644285;14,008571;0;94,95863680779968;74,03735087556068;80,04138457614047;85,14519964982544
2024-09-01;EE;2024-W35;165,2;78,80333;21,929998;13,03;0;109,5927953635941;92,0893927506675;67,96216164362714;73,55747886933432
2024-09-08;EE;2024-W36;153,3;79,34089;24,101427;13,687142;0;165,00391280797203;111,02376894285692;90,35180196180391;65,53427864988406
2024-09-15;EE;2024-W37;213,9;80,93239;20,179998;14,7371435;0;169,13277159338767;180,2155820471338;116,63144346180952;94,9990173639945
2024-09-22;EE;2024-W38;214,9;83,71159;17,372858;10,28;0;208,73487813415835;165,07527428512304;178,3018116554859;111,66005853729229
2024-09-29;EE;2024-W39;293,1;82,504845;15,651428;10,451429;0;221,150445466138;214,40981730869345;163,1606607661758;176,92711917888016
