truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-15;EE;2023-W41;198,3;79,180916;10,9728565;6,0942855;1;165,63817795716045;;;
2023-10-22;EE;2023-W42;145,1;77,90788;5,43;2,0942857;1;187,08927707345785;158,6520347418848;;
2023-10-29;EE;2023-W43;194,8;80,34454;2,4228573;-0,9485714;1;145,32325156208174;181,83670620438988;154,44539617927987;
2023-11-05;EE;2023-W44;220,6;88,45571;8,208571;3,6800003;1;188,11202958772648;145,6931218762508;180,53725267273128;154,4687801827505
2023-11-12;EE;2023-W45;295,3;97,0066;6,6514287;3,7585714;1;213,8920268002553;185,8401625818572;144,8581329933407;178,07862134820363
2023-11-19;EE;2023-W46;309,0;85,60587;0,3228571;-2,5271428;1;271,28823467043367;200,7102757521764;174,0518733832792;134,83526971304957
2023-11-26;EE;2023-W47;300,4;85,78447;-1,0199999;-7,062857;1;296,42761198303066;262,9124311886974;195,0776624651952;169,70933075428903
2023-12-03;EE;2023-W48;345,1;88,26813;-2,4271429;-5,577143;1;290,082516558124;286,57432457470463;253,6895044285428;188,611575594891
2023-12-10;EE;2023-W49;339,9;87,63959;-6,6914287;-10,841429;1;329,0120901323354;279,6873722683179;276,21930967575696;244,19260721182135
2023-12-17;EE;2023-W50;395,7;91,60234;0,5228571;-2,7342856;1;331,60362582064965;321,84980491270017;272,51086149316666;269,1816535039165
2023-12-24;EE;2023-W51;325,3;91,6759;1,3228571;-1,5699999;1;380,6534135922028;321,89230384003633;312,16696025752685;263,4350144675343
2023-12-31;EE;2023-W52;306,4;91,28304;-0,62624997;-4,77;1;320,7670396047976;370,7920537315494;312,02509956844574;302,3969264924985
2024-01-07;EE;2024-W01;352,8;78,73084;-11,055715;-16,612858;1;290,53816521965206;303,7750867620878;354,24664057083606;296,4949866129963
2024-01-14;EE;2024-W02;312,4;86,31749;-2,8271427;-7,8414283;1;341,0843779353493;286,49234873280955;299,4880819271647;350,0982929701305
2024-01-21;EE;2024-W03;295,3;84,07478;-3,8771427;-12,105714;1;306,6082502990996;331,9697610447574;276,6616724449124;289,5786849584008
2024-01-28;EE;2024-W04;288,4;91,71452;0,91571426;-1,9271429;1;290,4287750753447;300,31605861607227;326,3039187041492;272,85187279250533
2024-02-04;EE;2024-W05;318,4;87,40913;1,4799999;-0,8128571;1;278,903489656265;280,7322672030035;290,5786870702058;316,4664525827596
2024-02-11;EE;2024-W06;293,6;81,30206;-5,977143;-10,798571;1;303,871763329059;268,9702441483718;270,74038834165884;280,54130386375755
