truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-15;FR;2023-W41;192,7;68,45549;20,63857;11,102858;1;205,1090082537073;;;
2023-10-22;FR;2023-W42;187,6;80,53648;16,874287;10,181429;1;169,90188898631357;188,39144625163252;;
2023-10-29;FR;2023-W43;160,2;85,74671;15,217143;10,774285;1;183,7522991554385;157,2955822565099;177,2377752282112;
2023-11-05;FR;2023-W44;165,5;81,78468;13,495714;8,51;1;145,22661193161824;180,4212367199085;152,08649395310792;170,31022979575857
2023-11-12;FR;2023-W45;228,8;84,71136;13,074286;7,3671427;1;170,36786194115444;140,12272874841662;177,79596701944547;151,85821444282266
2023-11-19;FR;2023-W46;260,0;87,25402;13,017143;8,938571;1;261,8791744206455;174,77876989657216;142,48275463055674;176,77520915425526
2023-11-26;FR;2023-W47;342,9;83,451004;10,095714;4,217143;1;266,8621855522064;269,6619910720007;176,59592575774542;147,1240229484698
2023-12-03;FR;2023-W48;376,8;84,056046;6,088572;-0,14;1;372,7140314244721;258,0482384337156;261,04236450233896;176,6272938671696
2023-12-10;FR;2023-W49;437,0;88,07415;10,467143;5,4742856;1;373,21053441640265;366,9750044110345;244,35265584680792;247,0837757089448
2023-12-17;FR;2023-W50;428,4;89,699905;8,86;4,345714;1;442,969815622638;345,6259772078994;338,79987046493574;226,101416658456
2023-12-24;FR;2023-W51;428,5;84,79729;11,238571;7,86;1;395,9544716425989;418,5145552471765;309,31795337990224;302,9885357435525
2023-12-31;FR;2023-W52;312,1;81,97293;11,60375;7,75375;1;401,7770106681436;351,2916452962576;376,6616648055073;272,6662757381194
2024-01-07;FR;2024-W01;315,5;84,34603;7,96;4,267143;1;222,05645265181272;361,0841004884784;304,484428629461;328,9793950960015
2024-01-14;FR;2024-W02;339,0;77,87565;1,4099998;-2,8257143;1;305,5622481313075;162,5665098705575;317,8577597556806;263,38082937074086
2024-01-21;FR;2024-W03;395,6;83,82638;5,845714;-1,6685715;1;341,743577058621;292,7986426123708;136,23031898842623;284,0721447799279
2024-01-28;FR;2024-W04;474,8;85,288734;11,624286;4,4885716;1;413,4623774129567;332,60757830245984;280,16911941929544;134,47532529004127
2024-02-04;FR;2024-W05;457,5;86,994385;10,824286;5,824286;1;507,8041232042139;403,60783324528217;315,8350768189692;266,7316437189012
2024-02-11;FR;2024-W06;401,7;85,913246;11,902857;7,6814284;1;425,7076920785221;509,20211803501616;381,82934720417376;298,7493825703214
2024-02-18;FR;2024-W07;299,1;84,342354;13,395715;7,002857;1;352,6274590943356;389,5171208164471;491,1392105045689;356,1958535415697
2024-02-25;FR;2024-W08;241,3;85,46061;10,338572;4,9028573;1;231,27260329021897;313,260635494653;354,51857139220147;465,14415034444113
2024-03-03;FR;2024-W09;177,5;86,849915;10,110001;3,6100001;1;211,56667619615587;196,2004356107607;287,604810992218;327,7032662482412
2024-03-10;FR;2024-W10;164,7;81,392876;11,667144;3,7885716;1;151,7186639808379;203,7687209407431;186,76131012898657;274,31405874245945
2024-03-17;FR;2024-W11;147,3;84,51173;15,124285;8,717143;1;173,629009543198;153,80975143544012;211,42326620077995;195,28321789759624
2024-03-24;FR;2024-W12;133,6;80,069336;15,317143;5,4528575;1;149,43084854927628;189,2510734437384;167,28510205505717;222,42125115037848
2024-03-31;FR;2024-W13;130,4;78,73176;12,845714;6,2885714;1;142,19335944151803;165,98033414045224;210,30669483525;189,37305637437672
2024-04-07;FR;2024-W14;122,8;77,09933;18,367144;10,809999;1;147,02053353383016;164,7689830954293;190,88569875601215;233,31253824193251
2024-04-14;FR;2024-W15;121,7;75,95391;17,988571;8,531428;1;130,78927708007032;167,3216610578964;186,78300625570083;211,7808201603043
2024-04-21;FR;2024-W16;125,6;72,94845;11,531428;4,2242856;1;133,84093251557786;147,64612471185916;187,4007783058206;206,07307409448876
2024-08-04;FR;2024-W31;88,9;74,893135;27,974287;17,802856;0;151,81721022759243;163,8433599467825;178,72911270472156;217,27875725269124
2024-08-11;FR;2024-W32;78,0;65,8557;28,38857;17,117144;0;109,97050452742376;173,5134402153404;186,76057493982563;200,85052512756744
2024-08-18;FR;2024-W33;64,9;73,263;24,502857;16,63857;0;82,37891758040169;128,55972198190517;192,71814379111157;205,36003296101347
2024-08-25;FR;2024-W34;83,3;70,779724;24,017141;13,445715;0;70,16936044220223;96,00339814930204;145,48481674851593;208,69082153257807
2024-09-01;FR;2024-W35;86,5;74,57296;25,945713;15,402858;0;108,0922521513529;87,33429744491866;115,54215685779413;159,7530627344885
2024-09-08;FR;2024-W36;104,9;80,68742;21,13143;14,152857;0;95,71451417086878;129,87938435634118;105,64793192704144;131,81328551711746
2024-09-15;FR;2024-W37;173,8;76,16131;17,231428;8,581429;0;122,363232424405;107,5799605286449;147,63662141039978;122,85342886786232
2024-09-22;FR;2024-W38;262,4;77,226746;21,931429;13,445715;0;218,4667358665644;141,52639944279076;125,47405326137812;165,71366787824064
2024-09-29;FR;2024-W39;250,7;82,62749;16,667143;10,567143;0;302,3406295176832;235,65420649661425;151,34151395778795;136,1312027037296
2024-10-06;FR;2024-W40;243,8;80,48336;16,367144;9,238571;0;235,02899688072827;313,157838209162;239,56908692655037;159,57139337373076
2024-10-13;FR;2024-W41;261,3;85,185036;16,035;9,626667;0;230,1025334070187;217,2393506285329;303,2618801451096;233,3523816977653
