truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-15;GR;2023-W41;742,3;57,621387;25,497715;16,276285;1;676,9126031755777;;;
2023-10-22;GR;2023-W42;902,0;75,97841;24,504856;17,740572;1;720,310019065919;646,6023047684162;;
2023-10-29;GR;2023-W43;666,0;73,67208;25,747715;18,212;1;901,1684681189817;709,5542273376836;624,4150883705227;
2023-11-05;GR;2023-W44;714,0;69,771835;25,33343;17,447714;1;634,060917761209;879,9267801505905;662,2532954661683;583,4201950631061
2023-11-12;GR;2023-W45;653,5;70,081024;22,676287;14,854857;1;626,3605828272837;540,8136773130774;821,3873579238552;624,0841258570695
2023-11-19;GR;2023-W46;643,6;66,07998;19,404858;11,326286;1;633,0972833346756;606,5662755956432;507,5045395887198;761,8339062623062
2023-11-26;GR;2023-W47;740,3;73,51991;17,526287;10,276285;1;605,0623116507462;593,7039882458562;562,6130664248312;472,1966706577823
2023-12-03;GR;2023-W48;774,0;73,242546;19,012;12,619143;1;732,7712260165661;586,444228421527;573,7578421653805;544,8377420441042
2023-12-10;GR;2023-W49;896,7;78,93223;14,354857;8,219143;1;753,542022615169;706,6468501114974;545,3699859333437;533,530623994213
2023-12-17;GR;2023-W50;1191,1;78,66363;16,026285;9,776285;1;879,9304703777459;729,452438125751;677,4027102717255;530,2276436094337
2023-12-24;GR;2023-W51;1079,0;71,910995;16,204859;7,954857;1;1192,597766848913;865,6878547774406;691,2928669188628;641,717707401091
2023-12-31;GR;2023-W52;2272,2;79,26598;16,11825;8,8745;1;1077,277636676372;1199,694724254112;822,5878266856759;662,589769160915
2024-01-07;GR;2024-W01;2205,8;77,76461;16,433428;10,426286;1;2215,9919047973385;980,1529285301832;1124,068692123711;771,8603668918498
2024-01-14;GR;2024-W02;1250,7;74,92755;10,590571;3,6477144;1;2380,783055181153;2394,3698935520406;908,8420415805776;1039,7745769646424
2024-01-21;GR;2024-W03;1087,5;76,60158;15,190573;9,590571;1;1164,8800653689236;2240,6537438120376;2269,358172719147;855,4269455104305
2024-01-28;GR;2024-W04;711,2;67,072586;11,804857;3,0191429;1;984,9967338570468;1049,1151805012046;2153,274453608875;2183,093076899787
2024-02-04;GR;2024-W05;894,1;68,73553;12,883429;4,4477143;1;670,8532504384507;920,6032671510752;979,2176127256153;1996,9091547879664
2024-02-11;GR;2024-W06;964,2;69,65279;17,319143;10,940572;1;892,1631073447205;614,5045136198256;865,7343077172026;925,4544051094072
2024-02-18;GR;2024-W07;975,8;75,94257;14,197715;6,5048566;1;941,0235595816893;852,822028191024;617,1249552695401;806,8080000122268
2024-02-25;GR;2024-W08;798,2;79,8612;15,326286;9,226286;1;951,29368923215;911,181274320756;824,3426268102735;593,461422733368
2024-03-03;GR;2024-W09;696,1;81,51728;17,026287;11,154857;1;759,0819348123468;928,6630644595252;876,6417359700517;799,8998380866418
2024-03-10;GR;2024-W10;702,0;75,02856;16,033428;8,547714;1;625,0298453987837;687,4161286402734;882,5443605113778;808,2272382363374
2024-03-17;GR;2024-W11;640,0;73,73014;17,154858;8,897715;1;686,4849366421887;595,0930957892546;659,4973680332906;858,1669076766199
2024-03-24;GR;2024-W12;799,8;68,08234;17,026287;7,447715;1;603,802900058952;654,8031642923675;560,4183986251912;618,5692073815767
2024-03-31;GR;2024-W13;885,0;59,376186;23,097715;14,176286;1;789,5470204948098;591,2857994984751;635,0220416894597;547,0360344129457
2024-04-07;GR;2024-W14;890,0;42,882725;25,104858;14,519143;1;851,3399664891623;735,7243397416926;549,8729345021791;591,0458661137126
2024-04-14;GR;2024-W15;891,9;45,44712;26,047714;14,212;1;870,2961431040296;831,9841085285397;721,541444955584;550,7355068025238
2024-04-21;GR;2024-W16;794,8;56,475464;21,797714;13,947715;1;843,8860950939239;820,6530579107934;783,4424177471674;682,4107407644927
2024-04-28;GR;2024-W17;462,6;55,553493;23,354858;13,826286;1;752,7080510719418;813,0772693360713;787,0265385649561;754,6358103466398
2024-05-05;GR;2024-W18;639,4;57,723446;23,269144;13,683429;1;420,79578265284056;708,0708374010549;776,3682435558607;749,9617286684099
2024-05-12;GR;2024-W19;561,4;52,043983;23,740572;15,811999;1;582,9479059881199;399,0674045587557;651,0771171406864;723,9106806444715
2024-05-19;GR;2024-W20;508,9;60,76643;25,126286;16,147715;1;573,3701888834789;619,0471915448163;423,098854449274;642,8653168055491
2024-05-26;GR;2024-W21;472,1;49,254375;28,112;18,433428;1;481,2362379843497;546,2443800736471;587,2021318010686;410,6104499968248
2024-06-02;GR;2024-W22;472,7;46,210308;28,147715;19,08343;0;334,9334071193615;350,653585044406;408,38790170161246;447,2483966852455
2024-06-09;GR;2024-W23;409,8;35,305653;35,247715;24,012;0;483,4910726742701;345,2026049056972;358,794426463324;409,0994029183368
2024-06-16;GR;2024-W24;394,7;35,195175;35,55486;25,726286;0;403,8547417193589;464,6342449301442;335,3158197844083;354,839997420327
2024-06-23;GR;2024-W25;388,0;35,619816;36,14057;24,483429;0;392,56775996354907;393,73354492586657;459,8907426293995;342,8559134910746
2024-06-30;GR;2024-W26;379,5;39,044895;34,169144;23,290571;0;377,0718906261593;382,3363101884445;381,7148366554543;442,47366534933167
2024-07-07;GR;2024-W27;380,8;51,49175;32,612;22,212002;0;390,0213559662784;388,0283554190282;391,5746692426862;391,6801661126999
2024-07-14;GR;2024-W28;394,1;31,724049;37,519142;26,14057;0;358,0536654628535;364,60612107106346;363,7238196164248;368,0678381578629
2024-07-21;GR;2024-W29;412,0;31,397614;37,55486;26,854858;0;386,0842897255135;346,8853522726096;354,93004740300864;354,4056577572061
2024-07-28;GR;2024-W30;599,8;42,071953;35,43343;25,176287;0;420,2096330418343;393,5886037304397;347,6580108975484;361,99572484277456
2024-08-04;GR;2024-W31;421,3;33,96392;35,219143;24,712002;0;566,3750392482148;387,5483288778769;366,6912771699169;322,88042047974244
2024-08-11;GR;2024-W32;467,4;43,783443;34,876286;24,969143;0;420,9524530296779;570,8995550773458;399,238963904376;379,2563636709938
2024-08-18;GR;2024-W33;545,3;37,5984;36,397713;25,183428;0;436,5078179518212;403,363421678397;535,5167420052082;382,9122988511873
2024-08-25;GR;2024-W34;464,2;46,001366;34,654858;24,712;0;546,3297953499584;446,34617108565567;406,33236142801167;530,3236384310142
2024-09-01;GR;2024-W35;494,3;54,914272;31,090572;22,397715;0;450,24404005886055;534,3174174633695;426,2763632641816;394,68458579886527
2024-09-08;GR;2024-W36;339,5;55,35845;32,047714;22,026287;0;493,53391769349406;434,9205825287602;521,8397463959668;434,1761595743929
2024-09-15;GR;2024-W37;337,0;56,519264;28,640574;20,526287;0;310,706786905322;459,2784257600941;408,3741351218456;483,4396820529747
2024-09-22;GR;2024-W38;577,4;57,99066;26,790571;18,076284;0;312,92379987086457;281,5251061125619;442,6554411455455;390,7311179311861
2024-09-29;GR;2024-W39;578,6;54,2558;29,090572;20,369143;0;584,22909534004;318,76237827702164;290,48278492247874;431,1050833115399
2024-10-06;GR;2024-W40;603,6;62,057625;26,876286;18,44057;0;567,740701810649;591,0591054068666;321,579935414475;287,9830425125786
2024-10-13;GR;2024-W41;614,3;60,486084;27,962;20,212;0;580,0690243164647;535,5834686092985;560,9214574920736;321,9306129139464
