truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-15;HR;2023-W41;0,2;80,62043;21,049072;10,541928;1;2,656074225439447;;;
2023-10-22;HR;2023-W42;0,2;79,69725;19,563356;10,4205;1;-1,1097702379364875;2,8952446782458585;;
2023-10-29;HR;2023-W43;0,3;82,03893;19,884787;11,934786;1;1,4216456305321117;-0,7133260083001964;4,0226437896853415;
2023-11-05;HR;2023-W44;0,2;79,027336;17,084787;8,8419285;1;1,976343413948019;3,8029577777715726;1,28611224770005;6,065538527096601
2023-11-12;HR;2023-W45;0,2;86,379875;12,141929;4,8347855;1;4,227353893274756;7,13232622279778;9,288156162651578;6,753476216130767
2023-11-19;HR;2023-W46;0,2;82,070206;12,791929;4,434786;1;-1,6255595579043742;4,9226428951853975;8,349476962906245;10,526328832575352
2023-11-26;HR;2023-W47;0,3;80,16622;7,849071;-0,09378566;1;3,2226189317030194;0,2579878721259145;8,011489739569445;11,480816039431245
2023-12-03;HR;2023-W48;0,4;86,94684;5,5133567;-0,058071442;1;2,304275462930182;7,069151838149354;3,5742818911666294;11,426434789573474
2023-12-10;HR;2023-W49;0,9;89,41881;4,7633567;-1,1652143;1;2,161022236372933;5,266272891614459;10,903363106398029;7,380620274501558
2023-12-17;HR;2023-W50;2,7;89,30334;8,506214;1,9490713;1;0,9410685571141376;2,996535763440299;6,668199457174477;12,351952580413217
2023-12-24;HR;2023-W51;8,0;84,38267;8,713357;1,3062142;1;5,173603414648916;2,311377296028576;4,740729651311536;8,449220141309919
2023-12-31;HR;2023-W52;10,6;87,70717;12,908;3,07675;1;13,87897967225285;9,267869243341206;5,886488722155875;8,34374333063092
2024-01-07;HR;2024-W01;18,3;85,28368;8,806214;2,2919288;1;11,44817056951498;16,780340236026525;11,331883663568826;7,921954951083839
2024-01-14;HR;2024-W02;28,2;71,027534;3,1276429;-4,1580715;1;22,97865556357509;11,80802932537118;18,098703242269323;12,577694751420214
2024-01-21;HR;2024-W03;54,3;86,34939;5,2705;-4,2509284;1;39,22086343296074;30,716462710785944;17,555921636683657;23,94178155860017
2024-01-28;HR;2024-W04;75,9;75,50602;8,5919285;-1,3152143;1;62,17302440485399;37,751062566099066;27,74898715746442;14,4955959722711
2024-02-04;HR;2024-W05;86,7;73,91622;10,506215;-0,14378569;1;87,53054740945859;65,17036336103992;36,308794442606256;26,21527814221073
2024-02-11;HR;2024-W06;85,5;80,72343;14,456214;5,9562144;1;86,7451970829665;88,1041820243079;61,60394465060159;32,384128261417445
2024-02-18;HR;2024-W07;46,0;76,405045;12,699071;2,3490715;1;78,19215772272882;80,21374092835663;81,82751516634632;55,14314067624455
2024-02-25;HR;2024-W08;22,4;74,597115;13,399071;4,041929;1;12,080764027706266;64,41146527141854;66,81071561295728;68,44514274186275
2024-03-03;HR;2024-W09;11,1;83,09257;14,306214;4,6847863;1;6,849959401186306;-10,05426305040572;51,8988434423406;54,32924653985854
2024-03-10;HR;2024-W10;5,0;80,22908;11,7705;4,377643;1;0,5644592270748294;-6,366787818560677;-26,425393963539094;36,19348139278507
2024-03-17;HR;2024-W11;4,2;77,70043;15,149071;5,7205;1;1,398442327984231;-5,822367047835884;-14,024726597167811;-34,34198917230137
2024-03-24;HR;2024-W12;0,6;69,928024;14,9205;3,4705002;1;3,912298788275721;-0,6562687273726056;-9,171390103286049;-17,472793546327562
2024-03-31;HR;2024-W13;1,1;67,34366;19,999071;7,5490713;1;-1,7714351081234216;3,612006832389056;-1,7885585465774696;-10,36739274917922
2024-04-07;HR;2024-W14;0,5;71,689575;21,520502;8,749071;1;4,415706045583697;-0,2582214779251774;6,096688726554506;0,6402640513199973
2024-04-14;HR;2024-W15;0,5;65,77043;23,377644;10,856215;1;-1,6878099809291651;4,683090881085053;-0,8385280055841555;5,563675774639188
2024-04-21;HR;2024-W16;0,5;67,91119;13,413356;2,7705002;1;5,2939709499803325;1,7480425482599955;9,3023081321592;3,772991836855692
2024-04-28;HR;2024-W17;0,6;75,03422;16,056215;5,8205;1;0,8708841253062651;8,572042277511393;4,383564440266711;12,008055643422
2024-05-05;HR;2024-W18;0,6;73,10451;21,213358;10,549071;1;-0,5491999220043731;-0,1040146885065311;8,880646658683562;4,646806423612326
