truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-15;HU;2023-W41;1964,7;76,96898;20,033998;9,948286;1;2034,7640564209296;;;
2023-10-29;HU;2023-W43;1746,9;82,33836;18,74114;10,7982855;1;2314,06398126969;2451,941401379815;;
2023-11-05;HU;2023-W44;1295,8;77,56312;15,855428;7,6268573;1;1507,8290219606183;2643,471635847631;2843,6603767844754;
2023-11-12;HU;2023-W45;1678,4;81,950424;10,7982855;4,0625715;1;745,2529797810729;1163,9150098080122;2859,429731516451;3128,9028976437226
2023-11-19;HU;2023-W46;1971,4;80,22887;10,655428;4,098286;1;2180,4884791976733;364,1258941699728;992,0982527499948;3258,498101014159
2023-11-26;HU;2023-W47;2337,6;80,83712;6,7482862;-0,30885717;1;2140,948569985811;2548,6683439558687;-180,25142535887608;658,7734337399063
2023-12-03;HU;2023-W48;2577,5;86,13961;2,8554287;-2,116;1;2761,325738151865;2370,012977233084;2974,4780239031784;-683,8197324063372
2023-12-10;HU;2023-W49;2710,3;91,66205;1,6911428;-2,066;1;2845,563106071811;3212,093501900784;2629,276498690352;3435,9677661102887
2023-12-17;HU;2023-W50;3050,9;90,61055;7,091143;-0,34457144;1;2861,2274861526794;3136,897846750123;3677,968844334852;2910,153857839805
2023-12-24;HU;2023-W51;2516,7;87,08958;6,505429;0,59828573;1;3428,601247858119;3068,494846265772;3480,584201710974;4204,423180398849
2024-01-07;HU;2024-W01;1573,1;83,96607;8,162572;1,734;1;2005,5668269281468;3792,817631075706;3254,6628393867804;3804,7301784154474
2024-01-14;HU;2024-W02;1821,1;67,43638;2,784;-5,294571;1;512,4316571049824;1374,8645896682683;4055,203826188649;3342,575752818009
2024-01-21;HU;2024-W03;2035,7;77,32908;3,884;-3,8802855;1;1998,036192956954;-499,8214390357215;794,1560501056349;4350,404742405844
2024-01-28;HU;2024-W04;2408,5;76,349236;7,541143;-0,2588571;1;2350,8955011356747;2277,047783044963;-1398,3739570225275;328,1549323818583
2024-02-04;HU;2024-W05;2796,8;79,04698;9,276857;1,6054286;1;2732,0891452892315;2618,410488852984;2507,996326899004;-2360,021940248737
2024-02-11;HU;2024-W06;3026,1;72,002396;14,026857;5,976857;1;3284,9162623007887;3156,8908572795717;2983,99320805341;2838,2737094755703
2024-02-18;HU;2024-W07;2984,0;79,44901;10,898286;1,3054286;1;3073,829853305253;3561,606707223901;3367,0653430006364;3141,7967439671183
2024-02-25;HU;2024-W08;2952,0;79,53747;13,033999;5,534;1;3087,008146988026;3250,986109407128;3989,86550669364;3731,293826552913
2024-03-03;HU;2024-W09;2600,4;86,041855;14,619714;5,3268576;1;2852,1867730216536;3109,1225492500544;3356,6988389642474;4334,144496946692
2024-03-10;HU;2024-W10;2402,8;80,56563;12,462571;4,634;1;2309,6307713794645;2798,162588194694;3185,597671261983;3510,952718132492
2024-03-17;HU;2024-W11;2027,8;75,49358;13,176857;4,7197146;1;2215,353432711262;2031,2083827487356;2761,424673797197;3278,012735390864
2024-03-24;HU;2024-W12;2145,7;67,86357;13,719714;2,784;1;1645,2277341022248;2021,939037418232;1748,068432185986;2725,246134549113
2024-03-31;HU;2024-W13;1666,7;63,163612;20,11257;8,141143;1;2326,416262197312;1331,5911079605737;1898,5073968666327;1534,190217762069
2024-04-07;HU;2024-W14;1247,4;67,15984;20,71257;9,376857;1;1101,6428896090786;2398,358584564244;911,50105501366;1664,7971087626483
2024-04-14;HU;2024-W15;1332,3;63,546978;23,934;10,926857;1;876,1109831768068;589,9105903697026;2528,9514164428138;544,8921589917956
2024-04-21;HU;2024-W16;1370,4;69,27608;12,905429;3,941143;1;1269,519762275035;391,5130619740482;-52,98155231369742;2485,524950085325
2024-04-28;HU;2024-W17;1472,8;73,01762;17,091143;5,319714;1;1492,1651127969533;1311,5318063000316;-21,192884867838984;-607,653035966408
2024-05-05;HU;2024-W18;1264,6;65,05684;23,076857;11,891143;1;1671,3365870966422;1709,7890775103974;1452,0926030389764;-339,2889068188384
2024-05-12;HU;2024-W19;1227,2;62,4529;21,434;11,848287;1;996,0049517384284;1793,38778180216;1849,5979732398505;1504,6647116641643
2024-05-19;HU;2024-W20;1183,9;63,22109;22,30543;10,826858;1;1187,9703139416822;725,4014210864559;1896,6794194463737;1971,6086759977788
2024-10-06;HU;2024-W40;2353,2;83,68218;14,541143;8,426857;0;1012,2778452724036;1020,9486837281868;313,3985536181919;1855,2302435821805
2024-10-13;HU;2024-W41;2191,8;79,25637;19,500666;10,467334;0;2348,036950597257;1006,852710526948;1019,2965895898928;87,0351808259714
