truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-15;IE;2023-W41;8,6;80,08982;15,282357;8,4895;1;11,16907555427815;;;
2023-10-22;IE;2023-W42;6,2;84,440056;13,5395;8,546643;1;13,42991740376402;15,75263684125966;;
2023-10-29;IE;2023-W43;7,3;87,82769;13,896644;6,9323573;1;9,125568437531452;15,754677057234822;17,27292023938579;
2023-11-05;IE;2023-W44;8,2;88,832436;11,482358;5,4894996;1;12,971691059317097;14,749632764950736;19,157295971080185;20,38663967466317
2023-11-12;IE;2023-W45;9,2;84,57166;10,532357;5,796643;1;9,867966451300925;14,302050238392532;15,386022010038188;19,2473230278656
2023-11-19;IE;2023-W46;10,8;85,22975;12,075215;7,6109285;1;12,505473257940134;13,071813147292955;16,13846872406137;16,926852993711304
2023-11-26;IE;2023-W47;8,7;85,678764;10,382357;5,832357;1;13,319639080478485;15,40518148395385;15,796404240403508;18,31919109919238
2023-12-03;IE;2023-W48;7,5;89,48159;5,3395004;0,075214274;1;15,629214474546773;19,705904856864137;21,70778545225449;22,125718735154248
2023-12-10;IE;2023-W49;15,9;84,33854;9,510928;4,982357;1;6,654640864069236;14,199674726299444;17,03460245721985;18,881483526973543
2023-12-17;IE;2023-W50;15,0;89,48199;10,475214;6,703786;1;20,08363559220917;11,312132313340712;16,715823917500344;19,24551987794008
2023-12-24;IE;2023-W51;22,5;85,893105;11,732358;8,560929;1;13,137081961239168;17,697557235033678;11,7137126319713;16,335016489823385
2023-12-31;IE;2023-W52;14,9;83,49854;8,89575;4,84575;1;26,233391142956485;17,60833809255098;20,16389477636091;15,270442986583069
2024-01-07;IE;2024-W01;28,0;91,016075;7,6109285;3,4895;1;14,968396670813055;25,61477955955728;19,913100960568027;21,88657413322524
2024-01-14;IE;2024-W02;31,7;81,483604;5,646643;2,3323572;1;29,895624639294724;18,036328896317663;25,30174062362416;20,50340404669453
2024-01-21;IE;2024-W03;28,8;84,57874;5,568072;0,21807139;1;27,94170042839856;26,23497044286396;18,224621358869395;24,26932497607039
2024-01-28;IE;2024-W04;29,4;80,16474;11,1037855;6,1823573;1;25,855142939570083;24,940083999264345;23,603058481377364;17,2283115799417
2024-02-04;IE;2024-W05;23,1;85,76009;10,5395;5,3037863;1;27,188854052570345;23,81151040761522;23,38480984392679;22,06797630130889
2024-02-11;IE;2024-W06;17,1;87,93415;8,8537855;3,5252144;1;23,926321872216107;27,667310119334644;25,58162001639882;25,238144355657685
2024-02-18;IE;2024-W07;13,1;88,59361;11,896644;7,268071;1;14,75058995672871;21,15135529061078;23,533315843405664;21,94651628720904
