truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-15;LT;2023-W41;1021,1;77,316734;13,586;6,1860003;1;874,5603280135997;;;
2023-10-22;LT;2023-W42;1084,0;85,32395;7,8574286;3,4717143;1;1023,8309649687396;842,749268989111;;
2023-10-29;LT;2023-W43;1097,8;92,48462;7,286;3,0359998;1;1075,1336793751443;1004,1367032341636;820,8461632854498;
2023-11-05;LT;2023-W44;648,8;84,70204;11,321714;4,886;1;1053,420716673755;1028,9358707882598;949,6040510971598;781,6918388094432
2023-11-12;LT;2023-W45;927,0;91,75403;7,693143;4,378857;1;516,8870622254973;1013,1147751624336;991,4879931116832;912,3351227518016
2023-11-19;LT;2023-W46;1034,0;87,353966;2,036;-1,4711428;1;966,570074965948;477,4125718691535;976,599171565752;955,4630839068758
2023-11-26;LT;2023-W47;1205,0;79,13606;-0,3782856;-4,8854284;1;1010,36778019425;938,7774103111756;451,9848008837628;931,8916180187128
2023-12-03;LT;2023-W48;1358,5;87,25114;-2,9782856;-6,5068574;1;1228,1345075259946;990,482822917028;922,9984023478836;465,9030092870597
2023-12-10;LT;2023-W49;1431,6;90,82451;-2,7497144;-6,3854284;1;1358,2658252778808;1196,6004887777767;953,0425687376028;894,6111214246024
2023-12-17;LT;2023-W50;1473,6;95,64129;2,3002858;-0,03542859;1;1392,38948560954;1306,5702907713533;1135,9260257259689;890,125407625741
2023-12-24;LT;2023-W51;1348,9;93,230774;3,5074286;0,30028576;1;1442,2743677633175;1340,785932703834;1255,3724484250972;1083,7378298645235
2023-12-31;LT;2023-W52;749,7;90,50511;4,0235;0,6235;1;1267,582067355747;1389,5000604590678;1282,6403614553708;1201,8509599464985
2024-01-07;LT;2024-W01;947,9;73,24707;-8,585428;-12,649714;1;568,3000215616502;1200,9542508475129;1339,9195124046275;1233,1397221614095
2024-01-14;LT;2024-W02;1088,6;86,45342;0,39314285;-7,2711425;1;971,7052810866847;565,5272750451431;1177,2010492289191;1314,7227387770113
2024-01-21;LT;2024-W03;1167,7;88,11239;-2,2711427;-8,992571;1;1068,1573934274682;950,7599889576792;549,0198845604049;1132,5821627422806
2024-01-28;LT;2024-W04;1403,6;92,077866;1,7145714;-0,8497143;1;1115,2683996371554;967,1604795141905;874,1359138861542;492,54105739970686
2024-02-04;LT;2024-W05;1541,0;89,965836;3,3788571;-0,7568571;1;1419,8140834733397;1076,02631975209;920,7072891021568;835,7688760605866
2024-02-11;LT;2024-W06;1578,4;82,587685;2,2074287;-2,6282856;1;1523,616209870072;1376,3573986113165;1026,02818162034;860,9194386454631
2024-02-18;LT;2024-W07;1251,9;88,81262;4,043143;-0,5425715;1;1548,6351593015415;1485,336970041072;1335,5329813642031;991,6672111507312
2024-02-25;LT;2024-W08;1224,6;87,42232;6,957429;2,186;1;1128,2060717434672;1486,980725981337;1425,275601643676;1278,1101305168013
2024-03-03;LT;2024-W09;1128,0;84,748985;8,414572;2,7288573;1;1174,8082777181992;1064,5339438974634;1427,68122533211;1370,6820291539443
2024-03-10;LT;2024-W10;1064,3;72,34528;4,721714;-2,8711429;1;1062,5369294918048;1120,0043044552003;1020,5547712749518;1369,6947293546482
2024-03-17;LT;2024-W11;985,6;76,686424;7,5074286;0,5502857;1;1016,780755348575;1012,6814063407332;1071,3092443714577;975,70645572567
2024-03-24;LT;2024-W12;1201,2;82,948425;7,9360003;1,1217142;1;949,8137137330476;988,03175981439;981,9932822020364;1038,9471117543728
2024-03-31;LT;2024-W13;1191,3;71,740974;16,150286;5,9645715;1;1181,8736543588182;879,5266503097989;921,4556370697552;910,81655636023
2024-04-07;LT;2024-W14;799,6;79,240295;13,650286;5,1574287;1;1172,0344159281258;1163,96820995035;859,5180044281728;900,4569994818405
2024-04-14;LT;2024-W15;919,5;75,22027;16,486;8,078857;1;666,1629383794998;1107,155621504323;1106,5233958442998;809,2560079041482
2024-04-21;LT;2024-W16;927,1;78,20817;8,693143;1,5717143;1;941,75191671688;646,6874325302456;1085,727755657848;1089,488253334208
2024-04-28;LT;2024-W17;1018,6;78,10211;13,307428;3,536;1;899,5215121145814;916,4611101160624;626,8520017378969;1043,0886529367303
2024-05-05;LT;2024-W18;841,3;63,78935;20,650286;9,393143;1;966,3998474612772;828,5143120238722;845,1994637186506;560,6638836272915
2024-05-12;LT;2024-W19;911,4;67,687485;13,378858;3,2145715;1;811,3872180004678;956,7976425886392;819,9849381896034;836,5377487657863
2024-05-19;LT;2024-W20;928,2;63,162445;20,743143;9,400286;1;866,1754982391283;754,1757388165229;898,3402078901605;767,898683590689
2024-05-26;LT;2024-W21;845,3;67,70257;24,350285;14,021714;1;901,0622833706142;826,7721004174036;718,8243863401163;855,8739085980096
2024-06-02;LT;2024-W22;753,7;61,325344;25,200285;14,793143;0;753,9707467750166;822,0618590531673;603,1517110208272;645,0183734700963
