truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-15;LU;2023-W41;18700,0;75,875725;17,601358;8,044214;1;14308,950970476775;;;
2023-10-22;LU;2023-W42;17800,0;83,45864;13,522786;7,8156433;1;16510,740492836634;14780,4019584348;;
2023-10-29;LU;2023-W43;18100,0;90,63276;12,701357;7,7942147;1;17775,866552476244;17244,866804924808;15837,54917866965;
2023-11-05;LU;2023-W44;19900,0;87,33978;10,651358;7,2585;1;16123,093372609488;15925,5817827434;15475,710871169504;14861,605999151612
2023-11-12;LU;2023-W45;18100,0;88,73327;9,015642;5,2013574;1;18149,23765974297;16548,062798235587;16399,37981031777;16179,983304324927
2023-11-19;LU;2023-W46;19400,0;90,82998;9,544214;5,3442144;1;18011,20082873757;18017,40334831324;16804,868629914654;16681,281719874507
2023-11-26;LU;2023-W47;15500,0;88,47643;6,315643;1,7084999;1;18312,88326724474;17745,561519604944;17731,57454099028;17088,17801723591
2023-12-03;LU;2023-W48;25200,0;86,73419;1,8299285;-3,3700714;1;17871,872847103277;18959,66766068446;18552,527891532696;18504,490805071626
2023-12-10;LU;2023-W49;27500,0;90,33965;6,5727854;3,0013568;1;19319,56606601938;16301,096038839292;17165,088177262212;16937,896826952176
2023-12-17;LU;2023-W50;21300,0;92,8678;6,937072;2,0299287;1;23479,50176068384;20273,857358362384;17931,481680053443;18295,009588046694
2023-12-24;LU;2023-W51;29000,0;93,30214;7,679929;5,037071;1;19330,619644285493;20425,45624263593;17583,155951913734;16363,528464903262
2023-12-31;LU;2023-W52;34100,0;88,63476;8,5460005;5,621;1;21191,966126357365;17236,72811116946;17904,95877137119;16450,593520127924
2024-01-07;LU;2024-W01;23800,0;87,95109;5,222786;1,6727856;1;26391,54597722098;20870,260547647387;17699,725672726585;18087,26195147481
2024-01-14;LU;2024-W02;13800,0;70,91598;-0,012928529;-4,8915;1;20455,92100491149;21653,07386375612;17526,560902731806;15607,264968691235
2024-01-21;LU;2024-W03;18600,0;87,1701;1,2870715;-4,1843576;1;19382,745700813164;22225,79777029467;23146,885119374587;20515,15308501697
2024-01-28;LU;2024-W04;18800,0;88,89995;8,337071;0,5370715;1;18643,297417558293;19056,12384762081;21184,121074053248;21770,384049542365
