truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-15;LU;2023-W41;3400,0;75,875725;17,601358;8,044214;1;3684,203368722876;;;
2023-10-22;LU;2023-W42;3900,0;83,45864;13,522786;7,8156433;1;3141,2081283727985;3318,213801009923;;
2023-10-29;LU;2023-W43;1600,0;90,63276;12,701357;7,7942147;1;2923,0197376100277;2403,838235633672;2554,407438138192;
2023-11-05;LU;2023-W44;3000,0;87,33978;10,651358;7,2585;1;2434,1572274244736;3393,285292781319;2972,2430109931915;3066,9335990419254
2023-11-12;LU;2023-W45;5200,0;88,73327;9,015642;5,2013574;1;2381,487498219052;1969,988145322783;2904,3816550853558;2508,111253701364
2023-11-19;LU;2023-W46;7200,0;90,82998;9,544214;5,3442144;1;5081,062826961277;3105,908437686539;2719,250159880657;3536,473535038832
2023-11-26;LU;2023-W47;4800,0;88,47643;6,315643;1,7084999;1;6528,016375267169;5025,578706919389;3141,7332296591267;2817,468622969964
2023-12-03;LU;2023-W48;5500,0;86,73419;1,8299285;-3,3700714;1;5655,907456954495;6916,825566751937;5575,594289856307;3854,689678020384
2023-12-10;LU;2023-W49;7900,0;90,33965;6,5727854;3,0013568;1;4110,19945972942;4226,368512510708;5389,982328547394;4115,1095279013925
2023-12-17;LU;2023-W50;10400,0;92,8678;6,937072;2,0299287;1;7003,23888980976;4252,065654595368;4363,214804847;5440,40059851446
2023-12-24;LU;2023-W51;5100,0;93,30214;7,679929;5,037071;1;9005,302936798373;6136,55864157626;3530,100685628695;3633,792450737212
2023-12-31;LU;2023-W52;13400,0;88,63476;8,5460005;5,621;1;5323,976401853941;8527,327759711083;5620,732769226574;3181,934529293166
2024-01-07;LU;2024-W01;1200,0;87,95109;5,222786;1,6727856;1;10658,483708237618;5058,185459007618;8315,631071222262;5310,570958697252
2024-01-14;LU;2024-W02;12600,0;70,91598;-0,012928529;-4,8915;1;4594,880546862712;10248,037630699097;4845,527751675745;7941,529329727367
2024-01-21;LU;2024-W03;8700,0;87,1701;1,2870715;-4,1843576;1;8081,9289482090035;3903,7070366835296;10642,467354920263;5374,284166297743
2024-01-28;LU;2024-W04;11900,0;88,89995;8,337071;0,5370715;1;8311,817466183129;8098,947172375212;2569,6852266818337;8455,188949134728
2024-02-04;LU;2024-W05;8900,0;91,01255;7,9085;1,7799284;1;11172,097111148456;9166,851605928676;8883,837265192426;4690,019740860318
2024-02-11;LU;2024-W06;8100,0;91,454155;9,387072;5,8227854;1;7112,633874281952;7729,143147213055;4443,945063128467;4281,693367189729
