truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-15;MT;2023-W41;5300,0;71,22579;27,794071;21,201216;1;4310,347133432224;;;
2023-10-22;MT;2023-W42;5900,0;64,48537;29,172644;22,458357;1;4817,782419871654;4204,480729877141;;
2023-10-29;MT;2023-W43;5100,0;74,52575;26,544071;21,544071;1;4843,533483535136;4126,042882449404;3562,7240984073514;
2023-11-05;MT;2023-W44;5300,0;68,146736;25,922644;20,322643;1;4917,597114210401;4987,00719209445;4354,005195060556;3872,947315929564
2023-11-12;MT;2023-W45;8900,0;70,56925;24,051214;19,394072;1;4985,951025914153;4475,574140065022;4380,746741908923;3845,289548246865
2023-11-19;MT;2023-W46;9500,0;65,809395;22,794071;18,536928;1;7633,0857412992655;4521,920435540717;3993,2940167580673;3858,0610048023495
2023-11-26;MT;2023-W47;9200,0;66,915764;19,001215;14,779785;1;8335,262146398487;7514,216331714996;4317,543928770551;3824,819529963319
2023-12-03;MT;2023-W48;9300,0;65,97148;20,672642;16,68693;1;8079,973113368864;7811,710456956524;7141,030465696462;4212,176569070671
2023-12-10;MT;2023-W49;8300,0;66,650955;17,9155;13,808357;1;8800,406646162459;7739,197822676396;7124,095333987894;6891,062002552679
2023-12-17;MT;2023-W50;9000,0;73,50411;18,329786;13,815499;1;8443,057928894978;8868,276870105738;7760,77043517377;6944,637618644974
2023-12-24;MT;2023-W51;7000,0;71,803085;17,229786;14,629786;1;6953,946892524963;6603,899809101697;7406,778125340667;5822,920689486519
2023-12-31;MT;2023-W52;11100,0;75,872215;17,853;13,65925;1;7445,465745528878;7638,166343554892;7416,588209906895;7983,832532720624
2024-01-07;MT;2024-W01;10500,0;72,748024;17,544071;12,4655;1;9321,916399517286;7326,825302837665;7683,8082622057855;7561,7563105472
2024-01-14;MT;2024-W02;8700,0;70,686295;15,901215;11,822642;1;9081,428031798205;8204,2765594916;6356,768295510549;6630,247931603064
2024-01-21;MT;2024-W03;10600,0;75,75396;18,101215;12,5155;1;8894,24951720762;9637,573822348508;7956,044116013523;6782,417457951781
2024-01-28;MT;2024-W04;10000,0;72,72248;16,594072;11,508356;1;9196,59990074875;8131,779697903571;8669,339490190174;7035,735379215442
2024-02-04;MT;2024-W05;7900,0;67,12208;16,051214;11,336928;1;8766,823706256057;8305,704148886505;7477,017369894325;7697,3280387348
2024-02-11;MT;2024-W06;9900,0;71,60905;18,494074;12,672643;1;8278,755728070766;9129,516027257236;8222,804082451408;7429,370863320553
2024-02-18;MT;2024-W07;8900,0;71,9667;17,029787;11,3654995;1;8959,891785278962;7908,726034812546;8643,256875493726;7658,420305904379
2024-02-25;MT;2024-W08;8400,0;77,887596;16,58693;12,322642;1;8289,810123623287;8320,86201689519;7488,925642904752;7429,457872125336
2024-03-03;MT;2024-W09;7300,0;75,57996;17,1155;11,786928;1;8318,980666992822;7968,9482413394435;8138,517882954931;7425,700897453082
2024-03-10;MT;2024-W10;9700,0;71,63552;18,351213;13,229785;1;6958,403344955036;7629,043759274371;7401,069213840664;7610,559198726289
2024-03-17;MT;2024-W11;7200,0;73,15388;17,779787;12,1154995;1;8633,742191269936;6773,115908542335;7574,700999417765;7162,363395442394
2024-03-24;MT;2024-W12;5000,0;75,24581;19,822645;13,358357;1;8053,502760611422;8556,598333555;6813,398181517872;7728,030248160037
2024-03-31;MT;2024-W13;4900,0;64,69168;24,215502;15,451215;1;5817,471320357255;8640,818928415796;8305,024547640736;6757,166690216782
2024-04-07;MT;2024-W14;1900,0;63,940533;21,772644;13,6655;1;4625,176646544467;5296,777811505343;8127,796865992852;7628,113617218236
2024-04-14;MT;2024-W15;3900,0;74,395386;21,151215;16,1655;1;2439,891682076889;4404,224422529476;4363,48781443061;5932,11059280254
2024-04-21;MT;2024-W16;2700,0;67,82491;19,08693;14,644072;1;3082,415298445606;2072,320672455256;3910,9913022425153;3859,4159231305102
2024-04-28;MT;2024-W17;2000,0;70,91561;19,015501;14,065499;1;3118,6422412479587;3374,106579461788;2442,3757637072044;4076,402125234914
2024-05-05;MT;2024-W18;4500,0;71,980804;21,322643;15,251214;1;2623,068742421025;3464,417793724535;3679,611358570321;2918,2292853218514
2024-05-12;MT;2024-W19;3000,0;79,66893;21,3655;15,829786;1;4346,268775736231;2922,4792201722667;3744,0848535324176;3890,599250004109
2024-05-19;MT;2024-W20;3100,0;67,32916;27,329786;19,272644;1;3326,081702543345;4013,99075538046;3124,9751237263727;3962,6647446483694
2024-10-06;MT;2024-W40;4400,0;62,59211;26,729786;20,844072;0;2774,4732109406023;3481,229547093165;3815,137209629784;3450,908413556111
2024-10-13;MT;2024-W41;4600,0;66,957344;27,473833;21,515501;0;4552,900504070093;3246,965362683801;3668,7711814541926;4052,4995320892713
