truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-15;NO;2023-W41;22,3;77,95943;11,087786;4,4163575;1;18,211904089801298;;;
2023-10-22;NO;2023-W42;26,1;76,00124;6,1449285;1,7020714;1;19,257818324063088;15,293163330646198;;
2023-10-29;NO;2023-W43;27,7;78,02345;2,966357;0,22350001;1;25,537863715478863;19,169036888439585;14,375326726054606;
2023-11-05;NO;2023-W44;31,2;86,92773;3,366357;0,82350004;1;32,294293739844605;30,54058646082747;23,733569104065545;17,55380109108197
2023-11-12;NO;2023-W45;36,3;90,52666;3,4806428;0,8163572;1;33,34079947114844;34,42560031617111;32,730122039330084;25,64632772678664
2023-11-19;NO;2023-W46;37,7;75,79926;-1,2979286;-4,433643;1;31,392639077128404;26,59166872567181;28,028513411862185;26,22692710202545
2023-11-26;NO;2023-W47;44,3;78,18244;1,3592142;-3,719357;1;41,61063555345158;34,64322622637019;28,35177683016184;29,96716353770282
2023-12-03;NO;2023-W48;49,1;71,40936;-5,040786;-9,555071;1;40,72677620535991;40,17755015134647;31,384261010982744;23,89360565953497
2023-12-10;NO;2023-W49;56,5;84,01214;-2,9979286;-5,7336426;1;51,95002740654932;43,83498403789416;44,53557842321289;33,604132799165846
2023-12-17;NO;2023-W50;64,8;88,58727;-0,32650003;-7,105071;1;64,47274587085805;56,90818837330721;48,95753861423067;50,79769302463668
2023-12-24;NO;2023-W51;63,3;84,78796;-2,2765;-8,312214;1;61,31326412481506;60,9094527730697;54,42945683340058;43,85181906009761
2023-12-31;NO;2023-W52;32,9;84,93045;-3,289;-7,32025;1;57,87770867739496;56,31632771909119;55,75150837932859;51,02141564030245
2024-01-07;NO;2024-W01;67,0;79,3312;-11,555071;-18,469357;1;33,20963831711788;60,26081802269442;58,505170654334925;58,17565186664399
2024-01-14;NO;2024-W02;65,2;82,78524;-1,9050715;-10,312215;1;61,92679492990609;30,128726349934897;57,59724846637843;55,690376828951855
2024-01-21;NO;2024-W03;60,7;82,875694;-5,212214;-13,519357;1;63,695414151720925;61,38348514816858;25,770976419630266;54,67173571372297
2024-01-28;NO;2024-W04;62,4;87,277306;2,8235;-5,6479287;1;61,81587062811139;63,36939955124303;61,010678730974334;23,573427298526088
2024-02-04;NO;2024-W05;57,8;79,73235;3,7806432;-6,1907854;1;55,81598721462365;57,77372190546029;59,13774951464222;57,68444103220134
2024-02-11;NO;2024-W06;55,9;80,333496;-6,4265;-11,49793;1;49,325687224529496;46,87683071401402;52,259075308876334;51,624117452585146
2024-02-18;NO;2024-W07;55,5;88,08753;0,93778574;-6,633643;1;57,61128364224416;52,553528729991626;48,09827447717032;53,91427416402543
2024-02-25;NO;2024-W08;54,6;94,00957;3,1377857;-1,5979286;1;51,31549934087607;51,659096698225;46,52137878095554;41,43336193088541
2024-03-03;NO;2024-W09;51,0;93,9496;3,7877858;0,37350002;1;49,52120877786842;45,92308763039475;45,30493182405911;40,63411241580162
2024-03-10;NO;2024-W10;40,9;81,552986;3,0020714;-3,3907857;1;46,9484603313926;46,32313906895507;39,24577389150679;40,05808532473562
