truth_date;location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
2023-10-15;RO;2023-W41;796,5;60,07145;21,63443;8,848714;1;818,2136381480311;;;
2023-10-22;RO;2023-W42;888,1;66,557655;22,29157;8,970142;1;793,8777032807548;811,4854764274158;;
2023-10-29;RO;2023-W43;882,0;68,95009;23,505857;11,327285;1;821,3608455894739;744,9574071740672;759,2607739653325;
2023-11-05;RO;2023-W44;683,5;75,61762;19,705858;10,070143;1;840,3467528284197;790,9394875754132;729,0293302970821;740,6510820886608
2023-11-12;RO;2023-W45;658,3;75,35346;15,28443;5,134429;1;690,8069383679962;817,5042796743876;777,5584392606886;727,4066245762513
2023-11-19;RO;2023-W46;774,5;78,487816;12,455856;3,3201427;1;665,6330678870152;691,8956763710337;794,6929350442965;762,2314057109304
2023-11-26;RO;2023-W47;820,4;82,36356;8,720142;2,1915715;1;744,452583878386;656,5156807413459;677,7430849883293;761,6437677509554
2023-12-03;RO;2023-W48;572,9;79,03456;9,020143;-0,487;1;810,4036194135917;749,3136122939677;678,2228515888373;695,5500912446583
2023-12-10;RO;2023-W49;851,4;86,99941;4,4558573;-0,887;1;592,2093789834207;782,8336865967234;733,0860949654054;675,2592034194621
2023-12-17;RO;2023-W50;944,9;88,226974;7,391571;-0,06557138;1;844,6182040653035;636,4687782464239;790,6161338976107;750,4465353562058
2023-12-24;RO;2023-W51;864,0;81,68299;9,884428;0,363;1;875,6291445566388;795,0710340131687;628,3704777567851;753,475088691896
2023-12-31;RO;2023-W52;523,6;80,95886;12,363;2,4129999;1;819,2902166554793;828,6696708310226;763,8801467533949;629,7392094923988
2024-01-07;RO;2024-W01;663,4;84,46788;10,312999;1,9558572;1;559,879366930321;795,9545409308853;803,4931264153762;751,2632004404558
2024-01-14;RO;2024-W02;959,6;65,37587;2,7558572;-5,008428;1;561,8490737173166;479,04719367987786;667,5125718720647;673,6153903381688
2024-01-21;RO;2024-W03;1130,0;80,50959;4,8772855;-3,7655714;1;986,7187651930008;670,3807242260708;603,675827992012;754,231589614013
2024-01-28;RO;2024-W04;1100,4;88,144714;3,6415713;-4,965572;1;1096,0877322732988;981,280345732592;727,8367708909666;673,8415773074951
2024-02-04;RO;2024-W05;1089,9;79,50039;9,034429;-1,1155714;1;970,661633660746;967,2006305814244;875,321422992886;674,167775516363
2024-02-11;RO;2024-W06;1083,1;63,362984;17,477285;6,6487145;1;874,1857956417114;776,5769754206924;773,7951006757897;700,2754871617879
2024-02-18;RO;2024-W07;964,3;82,25451;10,091571;2,3558574;1;1086,365270602292;918,3163816478046;840,6669149811679;838,4541874920646
2024-02-25;RO;2024-W08;871,5;74,86067;14,648714;3,4344287;1;895,6886782704755;994,8773676149096;855,7081308429545;792,7120350367605
2024-03-03;RO;2024-W09;746,2;79,329285;13,170142;3,663;1;836,3612384221137;855,910689939626;937,5062944413604;823,2382781902513
2024-03-10;RO;2024-W10;716,9;72,627686;11,470143;2,5772858;1;683,3019321352228;756,1594720595313;772,0342741705637;839,0956160425218
