location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
ES;2023-W41;397,7;57,78329;23,940716;12,426429;1;490,6000061035156;490,6000061035156;490,6000061035156;490,6000061035156
ES;2023-W42;457,5;77,82338;18,047857;10,733572;1;397,70001220703125;397,70001220703125;397,70001220703125;397,70001220703125
ES;2023-W43;472,2;83,76123;15,840714;10,683572;1;457,5;457,5;457,5;457,5
ES;2023-W44;434,4;81,48737;13,762144;6,912143;1;472,20001220703125;472,20001220703125;472,20001220703125;472,20001220703125
ES;2023-W45;558,1;81,47418;15,383571;8,226428;1;434,3999938964844;434,3999938964844;434,3999938964844;434,3999938964844
ES;2023-W46;572,0;89,25027;16,662144;7,819286;1;558,0999755859375;558,0999755859375;558,0999755859375;558,0999755859375
ES;2023-W47;614,4;72,05292;14,140715;3,097857;1;572,0;572,0;572,0;572,0
ES;2023-W48;680,7;84,35616;12,226428;6,105;1;614,4000244140625;614,4000244140625;614,4000244140625;614,4000244140625
ES;2023-W49;544,0;84,8806;10,962143;4,862143;1;680,7000122070312;680,7000122070312;680,7000122070312;680,7000122070312
ES;2023-W50;809,7;80,4218;11,526428;2,3121428;1;544,0;544,0;544,0;544,0
ES;2023-W51;915,4;78,934166;11,390715;-0,68785715;1;809,7000122070312;809,7000122070312;809,7000122070312;809,7000122070312
ES;2023-W52;958,4;85,04334;8,9925;0,9175;1;915,4000244140625;915,4000244140625;915,4000244140625;915,4000244140625
ES;2024-W01;916,1;83,50319;9,069285;3,0692859;1;958,4000244140625;958,4000244140625;958,4000244140625;958,4000244140625
ES;2024-W02;941,8;83,01397;9,1050005;2,0407145;1;916,0999755859375;916,0999755859375;916,0999755859375;916,0999755859375
ES;2024-W03;727,7;85,92663;11,905001;5,2335715;1;941,7999877929688;941,7999877929688;941,7999877929688;941,7999877929688
ES;2024-W04;603,7;82,70973;15,947858;3,7335715;1;727,7000122070312;727,7000122070312;727,7000122070312;727,7000122070312
ES;2024-W05;564,0;78,53441;14,626429;2,462143;1;603,7000122070312;603,7000122070312;603,7000122070312;603,7000122070312
ES;2024-W06;573,4;81,8788;12,219286;4,640714;1;564,0;564,0;564,0;564,0
ES;2024-W07;561,6;80,4815;16,490713;5,497857;1;573,4000244140625;573,4000244140625;573,4000244140625;573,4000244140625
ES;2024-W08;580,7;73,152756;13,276428;3,7478573;1;561,5999755859375;561,5999755859375;561,5999755859375;561,5999755859375
ES;2024-W09;562,3;67,35691;11,847857;2,2907143;1;580,7000122070312;580,7000122070312;580,7000122070312;580,7000122070312
ES;2024-W10;583,5;74,49609;11,912143;3,1335714;1;562,2999877929688;562,2999877929688;562,2999877929688;562,2999877929688
ES;2024-W11;586,9;72,93056;18,212143;5,376428;1;583,5;583,5;583,5;583,5
ES;2024-W12;540,6;62,311623;22,990713;9,776429;1;586,9000244140625;586,9000244140625;586,9000244140625;586,9000244140625
ES;2024-W13;422,3;81,02083;11,8550005;4,305;1;540,5999755859375;540,5999755859375;540,5999755859375;540,5999755859375
ES;2024-W14;494,4;70,290985;19,369287;7,7335715;1;422,29998779296875;422,29998779296875;422,29998779296875;422,29998779296875
ES;2024-W15;466,6;54,59838;23,726429;7,690715;1;494,3999938964844;494,3999938964844;494,3999938964844;494,3999938964844
ES;2024-W16;467,0;42,837215;22,847857;7,7835717;1;466,6000061035156;466,6000061035156;466,6000061035156;466,6000061035156
ES;2024-W17;485,2;48,77525;17,519285;5,819286;1;467,0;467,0;467,0;467,0
ES;2024-W18;431,3;62,441628;18,512144;7,7264285;1;485,20001220703125;485,20001220703125;485,20001220703125;485,20001220703125
ES;2024-W19;488,5;42,80319;26,847857;11,240714;1;431,29998779296875;431,29998779296875;431,29998779296875;431,29998779296875
ES;2024-W20;461,6;48,99088;19,926428;8,8550005;1;488,5;488,5;488,5;488,5
ES;2024-W21;444,9;46,014584;25,983572;10,833571;1;461,6000061035156;461,6000061035156;461,6000061035156;461,6000061035156
ES;2024-W22;419,0;35,560593;30,212143;14,676429;0;444,8999938964844;444,8999938964844;444,8999938964844;444,8999938964844
