location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
GR;2023-W41;742,3;57,621387;25,497715;16,276285;1;614,2999877929688;614,2999877929688;614,2999877929688;614,2999877929688
GR;2023-W42;902,0;75,97841;24,504856;17,740572;1;742,2999877929688;742,2999877929688;742,2999877929688;742,2999877929688
GR;2023-W43;666,0;73,67208;25,747715;18,212;1;902,0;902,0;902,0;902,0
GR;2023-W44;714,0;69,771835;25,33343;17,447714;1;666,0;666,0;666,0;666,0
GR;2023-W45;653,5;70,081024;22,676287;14,854857;1;714,0;714,0;714,0;714,0
GR;2023-W46;643,6;66,07998;19,404858;11,326286;1;653,5;653,5;653,5;653,5
GR;2023-W47;740,3;73,51991;17,526287;10,276285;1;643,5999755859375;643,5999755859375;643,5999755859375;643,5999755859375
GR;2023-W48;774,0;73,242546;19,012;12,619143;1;740,2999877929688;740,2999877929688;740,2999877929688;740,2999877929688
GR;2023-W49;896,7;78,93223;14,354857;8,219143;1;774,0;774,0;774,0;774,0
GR;2023-W50;1191,1;78,66363;16,026285;9,776285;1;896,7000122070312;896,7000122070312;896,7000122070312;896,7000122070312
GR;2023-W51;1079,0;71,910995;16,204859;7,954857;1;1191,0999755859375;1191,0999755859375;1191,0999755859375;1191,0999755859375
GR;2023-W52;2272,2;79,26598;16,11825;8,8745;1;1079,0;1079,0;1079,0;1079,0
GR;2024-W01;2205,8;77,76461;16,433428;10,426286;1;2272,199951171875;2272,199951171875;2272,199951171875;2272,199951171875
GR;2024-W02;1250,7;74,92755;10,590571;3,6477144;1;2205,800048828125;2205,800048828125;2205,800048828125;2205,800048828125
GR;2024-W03;1087,5;76,60158;15,190573;9,590571;1;1250,699951171875;1250,699951171875;1250,699951171875;1250,699951171875
GR;2024-W04;711,2;67,072586;11,804857;3,0191429;1;1087,5;1087,5;1087,5;1087,5
GR;2024-W05;894,1;68,73553;12,883429;4,4477143;1;711,2000122070312;711,2000122070312;711,2000122070312;711,2000122070312
GR;2024-W06;964,2;69,65279;17,319143;10,940572;1;894,0999755859375;894,0999755859375;894,0999755859375;894,0999755859375
GR;2024-W07;975,8;75,94257;14,197715;6,5048566;1;964,2000122070312;964,2000122070312;964,2000122070312;964,2000122070312
GR;2024-W08;798,2;79,8612;15,326286;9,226286;1;975,7999877929688;975,7999877929688;975,7999877929688;975,7999877929688
GR;2024-W09;696,1;81,51728;17,026287;11,154857;1;798,2000122070312;798,2000122070312;798,2000122070312;798,2000122070312
GR;2024-W10;702,0;75,02856;16,033428;8,547714;1;696,0999755859375;696,0999755859375;696,0999755859375;696,0999755859375
GR;2024-W11;640,0;73,73014;17,154858;8,897715;1;702,0;702,0;702,0;702,0
GR;2024-W12;799,8;68,08234;17,026287;7,447715;1;640,0;640,0;640,0;640,0
GR;2024-W13;885,0;59,376186;23,097715;14,176286;1;799,7999877929688;799,7999877929688;799,7999877929688;799,7999877929688
GR;2024-W14;890,0;42,882725;25,104858;14,519143;1;885,0;885,0;885,0;885,0
GR;2024-W15;891,9;45,44712;26,047714;14,212;1;890,0;890,0;890,0;890,0
GR;2024-W16;794,8;56,475464;21,797714;13,947715;1;891,9000244140625;891,9000244140625;891,9000244140625;891,9000244140625
GR;2024-W17;462,6;55,553493;23,354858;13,826286;1;794,7999877929688;794,7999877929688;794,7999877929688;794,7999877929688
GR;2024-W18;639,4;57,723446;23,269144;13,683429;1;462,6000061035156;462,6000061035156;462,6000061035156;462,6000061035156
GR;2024-W19;561,4;52,043983;23,740572;15,811999;1;639,4000244140625;639,4000244140625;639,4000244140625;639,4000244140625
GR;2024-W20;508,9;60,76643;25,126286;16,147715;1;561,4000244140625;561,4000244140625;561,4000244140625;561,4000244140625
GR;2024-W21;472,1;49,254375;28,112;18,433428;1;508,8999938964844;508,8999938964844;508,8999938964844;508,8999938964844
GR;2024-W22;472,7;46,210308;28,147715;19,08343;0;472,1000061035156;472,1000061035156;472,1000061035156;472,1000061035156
GR;2024-W23;409,8;35,305653;35,247715;24,012;0;472,70001220703125;472,70001220703125;472,70001220703125;472,70001220703125
GR;2024-W24;394,7;35,195175;35,55486;25,726286;0;409,79998779296875;409,79998779296875;409,79998779296875;409,79998779296875
GR;2024-W25;388,0;35,619816;36,14057;24,483429;0;394,70001220703125;394,70001220703125;394,70001220703125;394,70001220703125
GR;2024-W26;379,5;39,044895;34,169144;23,290571;0;388,0;388,0;388,0;388,0
GR;2024-W27;380,8;51,49175;32,612;22,212002;0;379,5;379,5;379,5;379,5
GR;2024-W28;394,1;31,724049;37,519142;26,14057;0;380,79998779296875;380,79998779296875;380,79998779296875;380,79998779296875
GR;2024-W29;412,0;31,397614;37,55486;26,854858;0;394,1000061035156;394,1000061035156;394,1000061035156;394,1000061035156
GR;2024-W30;599,8;42,071953;35,43343;25,176287;0;412,0;412,0;412,0;412,0
GR;2024-W31;421,3;33,96392;35,219143;24,712002;0;599,7999877929688;599,7999877929688;599,7999877929688;599,7999877929688
GR;2024-W32;467,4;43,783443;34,876286;24,969143;0;421,29998779296875;421,29998779296875;421,29998779296875;421,29998779296875
GR;2024-W33;545,3;37,5984;36,397713;25,183428;0;467,3999938964844;467,3999938964844;467,3999938964844;467,3999938964844
