location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
LV;2023-W41;11,3;78,29667;12,456429;7,1349998;1;2,9000000953674316;2,9000000953674316;2,9000000953674316;2,9000000953674316
LV;2023-W42;8,6;83,114;6,8921432;2,6207142;1;11,300000190734863;11,300000190734863;11,300000190734863;11,300000190734863
LV;2023-W43;11,3;82,380066;5,0064282;0,8421429;1;8,600000381469727;8,600000381469727;8,600000381469727;8,600000381469727
LV;2023-W44;15,3;86,40421;10,442143;4,863571;1;11,300000190734863;11,300000190734863;11,300000190734863;11,300000190734863
LV;2023-W45;23,5;92,61639;7,970714;4,656429;1;15,300000190734863;15,300000190734863;15,300000190734863;15,300000190734863
LV;2023-W46;26,4;85,2798;1,4992857;-1,6435715;1;23,5;23,5;23,5;23,5
LV;2023-W47;23,6;85,07762;-0,7221428;-4,9435716;1;26,399999618530273;26,399999618530273;26,399999618530273;26,399999618530273
LV;2023-W48;18,4;90,43286;-2,8864286;-8,029285;1;23,600000381469727;23,600000381469727;23,600000381469727;23,600000381469727
LV;2023-W49;21,2;89,91191;-3,9792857;-7,4364285;1;18,399999618530273;18,399999618530273;18,399999618530273;18,399999618530273
LV;2023-W50;43,0;92,7757;1,9564285;-1,8149999;1;21,200000762939453;21,200000762939453;21,200000762939453;21,200000762939453
LV;2023-W51;47,1;91,504585;2,8778572;-0,050714254;1;43,0;43,0;43,0;43,0
LV;2023-W52;62,2;88,969215;2,60375;-1,69;1;47,099998474121094;47,099998474121094;47,099998474121094;47,099998474121094
LV;2024-W01;77,6;68,19779;-10,143571;-17,09357;1;62,20000076293945;62,20000076293945;62,20000076293945;62,20000076293945
LV;2024-W02;153,9;84,08788;0,042142846;-5,0435715;1;77,5999984741211;77,5999984741211;77,5999984741211;77,5999984741211
LV;2024-W03;256,5;86,14768;-2,0292857;-7,8650002;1;153,89999389648438;153,89999389648438;153,89999389648438;153,89999389648438
LV;2024-W04;442,3;89,30706;2,4492857;-1,0078571;1;256,5;256,5;256,5;256,5
LV;2024-W05;479,7;84,51093;3,9064286;-0,43642855;1;442,29998779296875;442,29998779296875;442,29998779296875;442,29998779296875
LV;2024-W06;519,9;83,19142;-1,3435715;-4,886429;1;479,70001220703125;479,70001220703125;479,70001220703125;479,70001220703125
LV;2024-W07;530,7;90,455124;3,3278573;-1,0721428;1;519,9000244140625;519,9000244140625;519,9000244140625;519,9000244140625
LV;2024-W08;467,2;85,99925;5,8707147;0,84928566;1;530,7000122070312;530,7000122070312;530,7000122070312;530,7000122070312
LV;2024-W09;442,0;88,429184;6,6064286;0,4564286;1;467,20001220703125;467,20001220703125;467,20001220703125;467,20001220703125
LV;2024-W10;330,0;76,2784;3,385;-3,3792858;1;442,0;442,0;442,0;442,0
LV;2024-W11;253,8;76,058365;7,5350003;1,6778572;1;330,0;330,0;330,0;330,0
LV;2024-W13;144,5;76,950005;14,249286;4,299286;1;253,8000030517578;253,8000030517578;253,8000030517578;253,8000030517578
LV;2024-W14;110,3;80,35859;11,399285;2,8707144;1;144,5;144,5;144,5;144,5
LV;2024-W15;64,0;78,347466;14,620714;6,8635716;1;110,30000305175781;110,30000305175781;110,30000305175781;110,30000305175781
LV;2024-W16;106,26667;77,38517;6,335;0,12071429;1;64,0;64,0;64,0;64,0
LV;2024-W17;87,15;78,7757;12,949286;2,792143;1;106,26667022705078;106,26667022705078;106,26667022705078;106,26667022705078
LV;2024-W18;39,8;66,32311;17,177856;8,099286;1;87,1500015258789;87,1500015258789;87,1500015258789;87,1500015258789
LV;2024-W19;9,25;71,71208;10,342143;4,570714;1;39,79999923706055;39,79999923706055;39,79999923706055;39,79999923706055
LV;2024-W20;9,25;69,08984;21,149286;8,899286;1;9,25;9,25;9,25;9,25
LV;2024-W40;15,6;83,64136;11,627858;4,3849998;0;9,25;9,25;9,25;9,25
LV;2024-W41;2,9;84,8749;14,568334;6,443333;0;15,600000381469727;15,600000381469727;15,600000381469727;15,600000381469727
