location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
NL;2023-W41;21,3;82,72898;16,647358;11,618785;1;20,899999618530273;20,899999618530273;20,899999618530273;20,899999618530273
NL;2023-W42;27,9;85,57638;14,111643;8,383071;1;21,299999237060547;21,299999237060547;21,299999237060547;21,299999237060547
NL;2023-W43;19,7;90,5021;12,5545;8,797358;1;27,899999618530273;27,899999618530273;27,899999618530273;27,899999618530273
NL;2023-W44;35,3;86,3946;11,918786;8,418786;1;19,700000762939453;19,700000762939453;19,700000762939453;19,700000762939453
NL;2023-W45;33,4;86,92617;10,933072;6,3402143;1;35,29999923706055;35,29999923706055;35,29999923706055;35,29999923706055
NL;2023-W46;44,1;87,492874;11,640215;7,0759287;1;33,400001525878906;33,400001525878906;33,400001525878906;33,400001525878906
NL;2023-W47;45,9;83,6171;9,2045;4,7402143;1;44,099998474121094;44,099998474121094;44,099998474121094;44,099998474121094
NL;2023-W48;37,9;89,91352;2,8402143;-1,5455;1;45,900001525878906;45,900001525878906;45,900001525878906;45,900001525878906
NL;2023-W49;49,1;88,437195;7,0902143;2,9259286;1;37,900001525878906;37,900001525878906;37,900001525878906;37,900001525878906
NL;2023-W50;60,3;90,1473;9,3045;5,2116427;1;49,099998474121094;49,099998474121094;49,099998474121094;49,099998474121094
NL;2023-W51;49,5;84,840416;10,768785;7,668786;1;60,29999923706055;60,29999923706055;60,29999923706055;60,29999923706055
NL;2023-W52;27,5;82,587944;10,1545;5,842;1;49,5;49,5;49,5;49,5
NL;2024-W01;42,7;86,325745;6,3830714;3,2402146;1;27,5;27,5;27,5;27,5
NL;2024-W02;54,5;79,458084;3,1116428;-1,1097857;1;42,70000076293945;42,70000076293945;42,70000076293945;42,70000076293945
NL;2024-W03;66,9;75,50871;4,8259287;-0,47407144;1;54,5;54,5;54,5;54,5
NL;2024-W04;73,7;82,13462;9,990214;4,0259285;1;66,9000015258789;66,9000015258789;66,9000015258789;66,9000015258789
NL;2024-W05;73,7;87,0974;9,9545;6,3616433;1;73,69999694824219;73,69999694824219;73,69999694824219;73,69999694824219
NL;2024-W06;68,6;88,273;9,425929;4,6830716;1;73,69999694824219;73,69999694824219;73,69999694824219;73,69999694824219
NL;2024-W07;55,1;89,286156;11,590215;7,2473574;1;68,5999984741211;68,5999984741211;68,5999984741211;68,5999984741211
NL;2024-W08;48,8;87,37774;9,1545;4,547357;1;55,099998474121094;55,099998474121094;55,099998474121094;55,099998474121094
NL;2024-W09;41,4;83,05959;10,240214;4,6473575;1;48,79999923706055;48,79999923706055;48,79999923706055;48,79999923706055
NL;2024-W10;39,7;80,026474;10,340215;3,3259284;1;41,400001525878906;41,400001525878906;41,400001525878906;41,400001525878906
NL;2024-W11;26,8;83,38312;12,740214;6,818786;1;39,70000076293945;39,70000076293945;39,70000076293945;39,70000076293945
NL;2024-W12;23,3;84,29006;10,9545;6,0616426;1;26,799999237060547;26,799999237060547;26,799999237060547;26,799999237060547
NL;2024-W13;21,9;76,403496;12,590215;5,640214;1;23,299999237060547;23,299999237060547;23,299999237060547;23,299999237060547
NL;2024-W14;16,6;80,26178;16,140215;9,9545;1;21,899999618530273;21,899999618530273;21,899999618530273;21,899999618530273
NL;2024-W15;18,2;76,0329;14,575929;9,468786;1;16,600000381469727;16,600000381469727;16,600000381469727;16,600000381469727
NL;2024-W16;17,9;76,88862;9,633072;4,047357;1;18,200000762939453;18,200000762939453;18,200000762939453;18,200000762939453
NL;2024-W17;8,4;75,34054;12,633072;4,168786;1;17,899999618530273;17,899999618530273;17,899999618530273;17,899999618530273
NL;2024-W18;7,1;80,65198;18,58307;10,011642;1;8,399999618530273;8,399999618530273;8,399999618530273;8,399999618530273
