location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
PL;2023-W41;274,9;76,49428;15,968714;6,5187144;1;367,5;367,5;367,5;367,5
PL;2023-W42;316,9;85,00165;11,975858;5,1187143;1;274,8999938964844;274,8999938964844;274,8999938964844;274,8999938964844
PL;2023-W43;332,3;89,680435;13,4044285;8,025857;1;316,8999938964844;316,8999938964844;316,8999938964844;316,8999938964844
PL;2023-W44;301,9;80,841606;13,111571;7,275857;1;332,29998779296875;332,29998779296875;332,29998779296875;332,29998779296875
PL;2023-W45;339,8;84,022316;9,561571;4,0472856;1;301,8999938964844;301,8999938964844;301,8999938964844;301,8999938964844
PL;2023-W46;355,3;89,825966;5,033;0,31157142;1;339,79998779296875;339,79998779296875;339,79998779296875;339,79998779296875
PL;2023-W47;385,7;83,18237;1,9044285;-2,767;1;355,29998779296875;355,29998779296875;355,29998779296875;355,29998779296875
PL;2023-W48;786,6;86,567276;-0,9384286;-5,581286;1;385,70001220703125;385,70001220703125;385,70001220703125;385,70001220703125
PL;2023-W49;491,5;89,92655;-0,467;-3,817;1;786,5999755859375;786,5999755859375;786,5999755859375;786,5999755859375
PL;2023-W50;504,7;93,59321;3,933;1,5329999;1;491,5;491,5;491,5;491,5
PL;2023-W51;344,5;83,958824;6,218714;1,7329999;1;504,70001220703125;504,70001220703125;504,70001220703125;504,70001220703125
PL;2023-W52;323,5;81,97958;7,5142503;1,8704998;1;344,5;344,5;344,5;344,5
PL;2024-W01;383,4;83,48066;0,67585725;-3,7812858;1;323,5;323,5;323,5;323,5
PL;2024-W02;445,8;80,74041;-1,1098572;-5,6312857;1;383,3999938964844;383,3999938964844;383,3999938964844;383,3999938964844
PL;2024-W03;456,6;87,827354;0,3687143;-6,0455713;1;445,79998779296875;445,79998779296875;445,79998779296875;445,79998779296875
PL;2024-W04;474,8;86,94993;4,7544284;0,56871426;1;456,6000061035156;456,6000061035156;456,6000061035156;456,6000061035156
PL;2024-W05;512,0;82,85032;6,7330003;2,2758572;1;474,79998779296875;474,79998779296875;474,79998779296875;474,79998779296875
PL;2024-W06;498,1;88,54279;6,911572;2,2544284;1;512,0;512,0;512,0;512,0
PL;2024-W07;389,1;80,84825;8,054429;1,175857;1;498,1000061035156;498,1000061035156;498,1000061035156;498,1000061035156
PL;2024-W08;347,7;85,538216;10,247286;3,5401425;1;389,1000061035156;389,1000061035156;389,1000061035156;389,1000061035156
PL;2024-W09;318,2;84,753975;11,997286;4,8972855;1;347,70001220703125;347,70001220703125;347,70001220703125;347,70001220703125
PL;2024-W10;322,9;75,09912;7,633;-0,7098573;1;318,20001220703125;318,20001220703125;318,20001220703125;318,20001220703125
PL;2024-W11;328,7;82,84307;8,690143;2,0187142;1;322,8999938964844;322,8999938964844;322,8999938964844;322,8999938964844
PL;2024-W12;322,6;82,66448;9,504428;1,3044285;1;328,70001220703125;328,70001220703125;328,70001220703125;328,70001220703125
PL;2024-W13;322,0;67,658615;18,740143;7,104429;1;322,6000061035156;322,6000061035156;322,6000061035156;322,6000061035156
PL;2024-W14;239,1;74,79176;17,090143;6,990143;1;322,0;322,0;322,0;322,0
PL;2024-W15;243,0;68,29365;17,990143;9,225858;1;239,10000610351562;239,10000610351562;239,10000610351562;239,10000610351562
PL;2024-W16;239,2;76,60577;8,790143;1,9972857;1;243,0;243,0;243,0;243,0
PL;2024-W17;249,2;68,96497;15,383;4,883;1;239,1999969482422;239,1999969482422;239,1999969482422;239,1999969482422
PL;2024-W18;150,5;50,987495;24,483;11,854429;1;249,1999969482422;249,1999969482422;249,1999969482422;249,1999969482422
PL;2024-W19;212,5;59,07697;17,254429;5,568714;1;150,5;150,5;150,5;150,5
PL;2024-W20;191,0;49,152325;21,782999;10,218715;1;212,5;212,5;212,5;212,5
PL;2024-W21;172,0;64,78767;26,140142;14,333;1;191,0;191,0;191,0;191,0
PL;2024-W22;143,5;62,70954;24,447285;14,418715;0;172,0;172,0;172,0;172,0
PL;2024-W23;157,5;71,077934;21,990143;13,718715;0;143,5;143,5;143,5;143,5
PL;2024-W24;154,0;68,411095;22,004427;11,175858;0;157,5;157,5;157,5;157,5
PL;2024-W25;154,7;67,21973;25,325857;14,583;0;154,0;154,0;154,0;154,0
PL;2024-W26;117,3;63,839138;28,204428;17,918715;0;154,6999969482422;154,6999969482422;154,6999969482422;154,6999969482422
PL;2024-W27;136,3;65,98702;23,568714;14,9044285;0;117,30000305175781;117,30000305175781;117,30000305175781;117,30000305175781
PL;2024-W28;115,9;66,40926;29,440142;18,747286;0;136,3000030517578;136,3000030517578;136,3000030517578;136,3000030517578
PL;2024-W29;103,8;63,795845;28,275858;17,133;0;115,9000015258789;115,9000015258789;115,9000015258789;115,9000015258789
PL;2024-W30;96,8;70,84781;24,690142;15,911571;0;103,80000305175781;103,80000305175781;103,80000305175781;103,80000305175781
PL;2024-W31;112,7;61,837543;24,268713;14,161571;0;96,80000305175781;96,80000305175781;96,80000305175781;96,80000305175781
PL;2024-W32;119,0;74,85131;23,961573;15,261572;0;112,69999694824219;112,69999694824219;112,69999694824219;112,69999694824219
PL;2024-W33;105,4;63,025055;28,133;16,061571;0;119,0;119,0;119,0;119,0
PL;2024-W34;121,0;76,99837;25,461569;15,490143;0;105,4000015258789;105,4000015258789;105,4000015258789;105,4000015258789
PL;2024-W35;176,8;67,20445;26,818714;16,025858;0;121,0;121,0;121,0;121,0
PL;2024-W36;167,4;54,009975;28,36157;17,618713;0;176,8000030517578;176,8000030517578;176,8000030517578;176,8000030517578
PL;2024-W37;231,1;79,292076;21,61157;13,890143;0;167,39999389648438;167,39999389648438;167,39999389648438;167,39999389648438
PL;2024-W38;319,9;65,71098;23,154428;11,540144;0;231,10000610351562;231,10000610351562;231,10000610351562;231,10000610351562
PL;2024-W39;367,5;71,15986;19,311571;10,511572;0;319,8999938964844;319,8999938964844;319,8999938964844;319,8999938964844
PL;2024-W40;365,4;81,62669;12,640143;6,8258567;0;367,5;367,5;367,5;367,5
PL;2024-W41;367,5;80,73266;16,574667;8,208;0;365,3999938964844;365,3999938964844;365,3999938964844;365,3999938964844
