location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
SI;2023-W41;1247,1;85,18659;20,782;10,182;1;1748,699951171875;1748,699951171875;1748,699951171875;1748,699951171875
SI;2023-W42;1440,4;84,61909;17,667713;7,8677144;1;1247,0999755859375;1247,0999755859375;1247,0999755859375;1247,0999755859375
SI;2023-W43;1481,5;88,45624;18,274857;10,232;1;1440,4000244140625;1440,4000244140625;1440,4000244140625;1440,4000244140625
SI;2023-W44;812,1;88,82435;14,832001;6,667714;1;1481,5;1481,5;1481,5;1481,5
SI;2023-W45;1254,6;88,7425;12,010572;2,6177144;1;812,0999755859375;812,0999755859375;812,0999755859375;812,0999755859375
SI;2023-W46;1592,2;79,30447;13,332001;2,3034286;1;1254,5999755859375;1254,5999755859375;1254,5999755859375;1254,5999755859375
SI;2023-W47;1870,1;81,092384;8,2748575;-2,0037143;1;1592,199951171875;1592,199951171875;1592,199951171875;1592,199951171875
SI;2023-W48;2135,4;86,98025;6,589143;-0,96085703;1;1870,0999755859375;1870,0999755859375;1870,0999755859375;1870,0999755859375
SI;2023-W49;2286,2;91,519104;5,1248574;-1,7108572;1;2135,39990234375;2135,39990234375;2135,39990234375;2135,39990234375
SI;2023-W50;2299,6;90,06286;7,174857;-1,1251428;1;2286,199951171875;2286,199951171875;2286,199951171875;2286,199951171875
SI;2023-W51;2485,4;86,722496;8,810572;-2,368;1;2299,60009765625;2299,60009765625;2299,60009765625;2299,60009765625
SI;2023-W52;1492,9;89,24073;11,007;2,707;1;2485,39990234375;2485,39990234375;2485,39990234375;2485,39990234375
SI;2024-W01;1636,4;90,51597;7,7605715;1,1677142;1;1492,9000244140625;1492,9000244140625;1492,9000244140625;1492,9000244140625
SI;2024-W02;2194,4;75,37256;3,2248573;-5,032285;1;1636,4000244140625;1636,4000244140625;1636,4000244140625;1636,4000244140625
SI;2024-W03;2692,7;87,044556;3,732;-9,368001;1;2194,39990234375;2194,39990234375;2194,39990234375;2194,39990234375
SI;2024-W04;2904,8;83,91078;7,539143;-6,175143;1;2692,699951171875;2692,699951171875;2692,699951171875;2692,699951171875
SI;2024-W05;2932,0;75,787964;10,032;-5,2322855;1;2904,800048828125;2904,800048828125;2904,800048828125;2904,800048828125
SI;2024-W06;2291,3;90,186295;10,724858;3,8962858;1;2932,0;2932,0;2932,0;2932,0
