location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
SI;2023-W41;2,2;85,18659;20,782;10,182;1;9,300000190734863;9,300000190734863;9,300000190734863;9,300000190734863
SI;2023-W42;1,1;84,61909;17,667713;7,8677144;1;2,200000047683716;2,200000047683716;2,200000047683716;2,200000047683716
SI;2023-W43;2,4;88,45624;18,274857;10,232;1;1,100000023841858;1,100000023841858;1,100000023841858;1,100000023841858
SI;2023-W44;4,4;88,82435;14,832001;6,667714;1;2,4000000953674316;2,4000000953674316;2,4000000953674316;2,4000000953674316
SI;2023-W45;2,3;88,7425;12,010572;2,6177144;1;4,400000095367432;4,400000095367432;4,400000095367432;4,400000095367432
SI;2023-W46;3,4;79,30447;13,332001;2,3034286;1;2,299999952316284;2,299999952316284;2,299999952316284;2,299999952316284
SI;2023-W47;3,5;81,092384;8,2748575;-2,0037143;1;3,4000000953674316;3,4000000953674316;3,4000000953674316;3,4000000953674316
SI;2023-W48;0,0;86,98025;6,589143;-0,96085703;1;3,5;3,5;3,5;3,5
SI;2023-W49;6,7;91,519104;5,1248574;-1,7108572;1;0,0;0,0;0,0;0,0
SI;2023-W50;11,7;90,06286;7,174857;-1,1251428;1;6,699999809265137;6,699999809265137;6,699999809265137;6,699999809265137
SI;2023-W51;26,6;86,722496;8,810572;-2,368;1;11,699999809265137;11,699999809265137;11,699999809265137;11,699999809265137
SI;2023-W52;30,6;89,24073;11,007;2,707;1;26,600000381469727;26,600000381469727;26,600000381469727;26,600000381469727
SI;2024-W01;16,9;90,51597;7,7605715;1,1677142;1;30,600000381469727;30,600000381469727;30,600000381469727;30,600000381469727
SI;2024-W02;46,4;75,37256;3,2248573;-5,032285;1;16,899999618530273;16,899999618530273;16,899999618530273;16,899999618530273
SI;2024-W03;99,6;87,044556;3,732;-9,368001;1;46,400001525878906;46,400001525878906;46,400001525878906;46,400001525878906
SI;2024-W04;125,6;83,91078;7,539143;-6,175143;1;99,5999984741211;99,5999984741211;99,5999984741211;99,5999984741211
SI;2024-W05;147,3;75,787964;10,032;-5,2322855;1;125,5999984741211;125,5999984741211;125,5999984741211;125,5999984741211
SI;2024-W06;129,1;90,186295;10,724858;3,8962858;1;147,3000030517578;147,3000030517578;147,3000030517578;147,3000030517578
SI;2024-W07;124,0;79,36701;12,624857;-1,0037143;1;129,10000610351562;129,10000610351562;129,10000610351562;129,10000610351562
SI;2024-W08;70,3;85,36608;11,789144;0,59628576;1;124,0;124,0;124,0;124,0
SI;2024-W09;50,8;87,843124;12,810572;3,9391427;1;70,30000305175781;70,30000305175781;70,30000305175781;70,30000305175781
SI;2024-W10;11,8;87,499825;9,489142;2,9034288;1;50,79999923706055;50,79999923706055;50,79999923706055;50,79999923706055
SI;2024-W11;15,5;80,3219;16,203428;2,0534286;1;11,800000190734863;11,800000190734863;11,800000190734863;11,800000190734863
SI;2024-W12;3,5;78,686134;15,074858;1,889143;1;15,5;15,5;15,5;15,5
SI;2024-W13;3,4;78,294876;16,746286;5,532;1;3,5;3,5;3,5;3,5
SI;2024-W14;1,1;77,24326;20,096285;6,774857;1;3,4000000953674316;3,4000000953674316;3,4000000953674316;3,4000000953674316
SI;2024-W15;2,2;71,242485;22,353428;8,5177145;1;1,100000023841858;1,100000023841858;1,100000023841858;1,100000023841858
SI;2024-W16;0,0;74,00257;12,410571;1,1034286;1;2,200000047683716;2,200000047683716;2,200000047683716;2,200000047683716
SI;2024-W17;1,4;82,39054;13,639143;3,2534287;1;0,0;0,0;0,0;0,0
SI;2024-W18;0,0;77,93469;19,310572;8,353429;1;1,399999976158142;1,399999976158142;1,399999976158142;1,399999976158142
SI;2024-W19;3,7;74,38393;19,76057;9,346286;1;0,0;0,0;0,0;0,0
SI;2024-W20;1,2;82,14143;20,01057;9,960571;1;3,700000047683716;3,700000047683716;3,700000047683716;3,700000047683716
SI;2024-W21;4,6;81,911385;20,846285;10,617714;1;1,2000000476837158;1,2000000476837158;1,2000000476837158;1,2000000476837158
SI;2024-W22;1,2;82,974556;20,824856;11,224856;0;4,599999904632568;4,599999904632568;4,599999904632568;4,599999904632568
SI;2024-W23;1,2;81,413155;25,189142;14,453428;0;1,2000000476837158;1,2000000476837158;1,2000000476837158;1,2000000476837158
SI;2024-W24;2,4;80,42965;21,139143;10,996285;0;1,2000000476837158;1,2000000476837158;1,2000000476837158;1,2000000476837158
SI;2024-W25;0,0;76,47274;27,946285;16,017714;0;2,4000000953674316;2,4000000953674316;2,4000000953674316;2,4000000953674316
SI;2024-W26;0,0;75,93095;27,01057;16,267714;0;0,0;0,0;0,0;0,0
SI;2024-W27;0,0;75,92474;26,124857;14,660571;0;0,0;0,0;0,0;0,0
SI;2024-W28;0,0;74,27437;31,760572;18,696285;0;0,0;0,0;0,0;0,0
SI;2024-W29;0,0;68,025;30,753428;18,610569;0;0,0;0,0;0,0;0,0
SI;2024-W30;0,0;72,549126;29,810572;16,817715;0;0,0;0,0;0,0;0,0
