location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
EE;2023-W41;165,5;79,180916;10,9728565;6,0942855;1;290,79998779296875;;;
EE;2023-W42;148,1;77,90788;5,43;2,0942857;1;286,1000061035156;286,1000061035156;;
EE;2023-W43;186,4;80,34454;2,4228573;-0,9485714;1;297,5;297,5;297,5;
EE;2023-W44;245,5;88,45571;8,208571;3,6800003;1;248,5;248,5;248,5;248,5
EE;2023-W45;417,2;97,0066;6,6514287;3,7585714;1;248,3000030517578;248,3000030517578;248,3000030517578;248,3000030517578
EE;2023-W46;324,3;85,60587;0,3228571;-2,5271428;1;284,3999938964844;284,3999938964844;284,3999938964844;284,3999938964844
EE;2023-W47;401,5;85,78447;-1,0199999;-7,062857;1;;;;
EE;2023-W48;501,2;88,26813;-2,4271429;-5,577143;1;388,1000061035156;388,1000061035156;388,1000061035156;388,1000061035156
EE;2023-W49;463,7;87,63959;-6,6914287;-10,841429;1;401,1000061035156;401,1000061035156;401,1000061035156;401,1000061035156
EE;2023-W50;516,4;91,60234;0,5228571;-2,7342856;1;528,7999877929688;528,7999877929688;528,7999877929688;528,7999877929688
EE;2023-W51;382,8;91,6759;1,3228571;-1,5699999;1;390,20001220703125;390,20001220703125;390,20001220703125;390,20001220703125
EE;2023-W52;266,2;91,28304;-0,62624997;-4,77;1;518,0;518,0;518,0;518,0
EE;2024-W01;238,2;78,73084;-11,055715;-16,612858;1;395,6000061035156;395,6000061035156;395,6000061035156;395,6000061035156
EE;2024-W02;261,4;86,31749;-2,8271427;-7,8414283;1;345,0;345,0;345,0;345,0
EE;2024-W03;216,0;84,07478;-3,8771427;-12,105714;1;288,79998779296875;288,79998779296875;288,79998779296875;288,79998779296875
EE;2024-W04;215,7;91,71452;0,91571426;-1,9271429;1;277,8999938964844;277,8999938964844;277,8999938964844;277,8999938964844
EE;2024-W05;208,8;87,40913;1,4799999;-0,8128571;1;277,20001220703125;277,20001220703125;277,20001220703125;277,20001220703125
EE;2024-W06;213,8;81,30206;-5,977143;-10,798571;1;273,6000061035156;273,6000061035156;273,6000061035156;273,6000061035156
EE;2024-W07;222,3;89,466774;1,637143;-3,3700001;1;237,6999969482422;237,6999969482422;237,6999969482422;237,6999969482422
EE;2024-W08;234,3;85,78707;4,3228574;-0,50571436;1;25,200000762939453;25,200000762939453;25,200000762939453;25,200000762939453
EE;2024-W09;217,4;91,62284;4,794286;-1,162857;1;250,6999969482422;250,6999969482422;250,6999969482422;250,6999969482422
EE;2024-W10;192,1;82,40016;2,0442858;-4,5271425;1;233,39999389648438;233,39999389648438;233,39999389648438;233,39999389648438
EE;2024-W11;192,7;81,751465;5,544286;0,3371428;1;230,10000610351562;230,10000610351562;230,10000610351562;230,10000610351562
EE;2024-W12;197,8;86,874016;4,122857;-0,47714287;1;232,5;232,5;232,5;232,5
EE;2024-W13;180,5;81,88288;11,63;1,9371427;1;271,5;271,5;271,5;271,5
EE;2024-W14;208,0;83,10323;5,144286;-1,0057142;1;172,60000610351562;172,60000610351562;172,60000610351562;172,60000610351562
EE;2024-W15;207,1;82,191956;12,208571;5,001428;1;239,1999969482422;239,1999969482422;239,1999969482422;239,1999969482422
EE;2024-W16;182,9;78,1828;3,4014285;-1,2342857;1;209,3000030517578;209,3000030517578;209,3000030517578;209,3000030517578
EE;2024-W17;161,8;82,30516;9,872857;1,1514285;1;174,8000030517578;174,8000030517578;174,8000030517578;174,8000030517578
EE;2024-W18;133,3;66,036285;13,958571;4,265714;1;152,10000610351562;152,10000610351562;152,10000610351562;152,10000610351562
EE;2024-W19;140,6;62,842793;10,58;3,4657142;1;133,1999969482422;133,1999969482422;133,1999969482422;133,1999969482422
EE;2024-W20;177,2;63,01598;20,137142;8,522857;1;142,8000030517578;142,8000030517578;142,8000030517578;142,8000030517578
EE;2024-W22;132,2;69,980095;25,115713;14,88;0;143,6999969482422;143,6999969482422;143,6999969482422;143,6999969482422
EE;2024-W23;101,1;74,83732;18,644285;10,63;0;120,30000305175781;120,30000305175781;120,30000305175781;120,30000305175781
EE;2024-W24;110,7;74,73027;18,787142;10,365714;0;113,4000015258789;113,4000015258789;113,4000015258789;113,4000015258789
EE;2024-W28;95,0;75,494026;23,215714;14,808571;0;61,20000076293945;61,20000076293945;61,20000076293945;61,20000076293945
EE;2024-W29;89,8;78,73136;23,301428;15,872857;0;49,5;49,5;49,5;49,5
EE;2024-W30;83,0;82,58109;23,45143;16,751429;0;;;;
EE;2024-W31;101,4;81,85289;20,529999;15,28;0;50,29999923706055;50,29999923706055;50,29999923706055;50,29999923706055
EE;2024-W32;113,1;82,16266;20,644285;14,008571;0;50,29999923706055;50,29999923706055;50,29999923706055;50,29999923706055
EE;2024-W35;165,2;78,80333;21,929998;13,03;0;84,69999694824219;84,69999694824219;84,69999694824219;84,69999694824219
EE;2024-W36;153,3;79,34089;24,101427;13,687142;0;74,69999694824219;74,69999694824219;74,69999694824219;74,69999694824219
EE;2024-W37;213,9;80,93239;20,179998;14,7371435;0;117,69999694824219;117,69999694824219;117,69999694824219;117,69999694824219
EE;2024-W38;214,9;83,71159;17,372858;10,28;0;154,1999969482422;154,1999969482422;154,1999969482422;154,1999969482422
EE;2024-W39;293,1;82,504845;15,651428;10,451429;0;173,0;173,0;173,0;173,0
