location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
FR;2023-W41;88,9;68,45549;20,63857;11,102858;1;74,5;;;
FR;2023-W42;86,6;80,53648;16,874287;10,181429;1;72,80000305175781;72,80000305175781;;
FR;2023-W43;68,5;85,74671;15,217143;10,774285;1;68,5999984741211;68,5999984741211;68,5999984741211;
FR;2023-W44;76,1;81,78468;13,495714;8,51;1;53,20000076293945;53,20000076293945;53,20000076293945;53,20000076293945
FR;2023-W45;109,7;84,71136;13,074286;7,3671427;1;69,4000015258789;69,4000015258789;69,4000015258789;69,4000015258789
FR;2023-W46;127,8;87,25402;13,017143;8,938571;1;103,80000305175781;103,80000305175781;103,80000305175781;103,80000305175781
FR;2023-W47;169,1;83,451004;10,095714;4,217143;1;147,8000030517578;147,8000030517578;147,8000030517578;147,8000030517578
FR;2023-W48;189,3;84,056046;6,088572;-0,14;1;186,5;186,5;186,5;186,5
FR;2023-W49;224,8;88,07415;10,467143;5,4742856;1;250,5;250,5;250,5;250,5
FR;2023-W50;225,5;89,699905;8,86;4,345714;1;358,8999938964844;358,8999938964844;358,8999938964844;358,8999938964844
FR;2023-W51;226,7;84,79729;11,238571;7,86;1;380,6000061035156;380,6000061035156;380,6000061035156;380,6000061035156
FR;2023-W52;175,9;81,97293;11,60375;7,75375;1;238,1999969482422;238,1999969482422;238,1999969482422;238,1999969482422
FR;2024-W01;183,4;84,34603;7,96;4,267143;1;185,60000610351562;185,60000610351562;185,60000610351562;185,60000610351562
FR;2024-W02;196,6;77,87565;1,4099998;-2,8257143;1;119,19999694824219;119,19999694824219;119,19999694824219;119,19999694824219
FR;2024-W03;248,3;83,82638;5,845714;-1,6685715;1;106,0;106,0;106,0;106,0
FR;2024-W04;323,8;85,288734;11,624286;4,4885716;1;114,0999984741211;114,0999984741211;114,0999984741211;114,0999984741211
FR;2024-W05;328,5;86,994385;10,824286;5,824286;1;145,5;145,5;145,5;145,5
FR;2024-W06;288,7;85,913246;11,902857;7,6814284;1;148,39999389648438;148,39999389648438;148,39999389648438;148,39999389648438
FR;2024-W07;209,7;84,342354;13,395715;7,002857;1;136,89999389648438;136,89999389648438;136,89999389648438;136,89999389648438
FR;2024-W08;158,8;85,46061;10,338572;4,9028573;1;116,4000015258789;116,4000015258789;116,4000015258789;116,4000015258789
FR;2024-W09;108,0;86,849915;10,110001;3,6100001;1;94,5999984741211;94,5999984741211;94,5999984741211;94,5999984741211
FR;2024-W10;91,3;81,392876;11,667144;3,7885716;1;116,4000015258789;116,4000015258789;116,4000015258789;116,4000015258789
FR;2024-W11;76,4;84,51173;15,124285;8,717143;1;113,69999694824219;113,69999694824219;113,69999694824219;113,69999694824219
FR;2024-W12;61,7;80,069336;15,317143;5,4528575;1;110,9000015258789;110,9000015258789;110,9000015258789;110,9000015258789
FR;2024-W13;53,3;78,73176;12,845714;6,2885714;1;98,80000305175781;98,80000305175781;98,80000305175781;98,80000305175781
FR;2024-W14;48,3;77,09933;18,367144;10,809999;1;73,19999694824219;73,19999694824219;73,19999694824219;73,19999694824219
FR;2024-W15;46,0;75,95391;17,988571;8,531428;1;57,0;57,0;57,0;57,0
FR;2024-W16;52,4;72,94845;11,531428;4,2242856;1;42,70000076293945;42,70000076293945;42,70000076293945;42,70000076293945
FR;2024-W31;39,5;74,893135;27,974287;17,802856;0;23,299999237060547;23,299999237060547;23,299999237060547;23,299999237060547
FR;2024-W32;35,2;65,8557;28,38857;17,117144;0;22,299999237060547;22,299999237060547;22,299999237060547;22,299999237060547
FR;2024-W33;31,3;73,263;24,502857;16,63857;0;29,200000762939453;29,200000762939453;29,200000762939453;29,200000762939453
FR;2024-W34;40,6;70,779724;24,017141;13,445715;0;40,599998474121094;40,599998474121094;40,599998474121094;40,599998474121094
FR;2024-W35;41,6;74,57296;25,945713;15,402858;0;48,29999923706055;48,29999923706055;48,29999923706055;48,29999923706055
FR;2024-W36;51,1;80,68742;21,13143;14,152857;0;58,29999923706055;58,29999923706055;58,29999923706055;58,29999923706055
FR;2024-W37;85,8;76,16131;17,231428;8,581429;0;74,80000305175781;74,80000305175781;74,80000305175781;74,80000305175781
FR;2024-W38;139,4;77,226746;21,931429;13,445715;0;96,30000305175781;96,30000305175781;96,30000305175781;96,30000305175781
FR;2024-W39;139,2;82,62749;16,667143;10,567143;0;109,69999694824219;109,69999694824219;109,69999694824219;109,69999694824219
FR;2024-W40;129,0;80,48336;16,367144;9,238571;0;105,0;105,0;105,0;105,0
FR;2024-W41;128,6;85,185036;16,035;9,626667;0;88,9000015258789;88,9000015258789;88,9000015258789;88,9000015258789
