location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
LU;2023-W41;18700,0;75,875725;17,601358;8,044214;1;15800,0;;;
LU;2023-W42;17800,0;83,45864;13,522786;7,8156433;1;15400,0;15400,0;;
LU;2023-W43;18100,0;90,63276;12,701357;7,7942147;1;25400,0;25400,0;25400,0;
LU;2023-W44;19900,0;87,33978;10,651358;7,2585;1;16500,0;16500,0;16500,0;16500,0
LU;2023-W45;18100,0;88,73327;9,015642;5,2013574;1;22300,0;22300,0;22300,0;22300,0
LU;2023-W46;19400,0;90,82998;9,544214;5,3442144;1;15600,0;15600,0;15600,0;15600,0
LU;2023-W47;15500,0;88,47643;6,315643;1,7084999;1;18600,0;18600,0;18600,0;18600,0
LU;2023-W48;25200,0;86,73419;1,8299285;-3,3700714;1;20700,0;20700,0;20700,0;20700,0
LU;2023-W49;27500,0;90,33965;6,5727854;3,0013568;1;19600,0;19600,0;19600,0;19600,0
LU;2023-W50;21300,0;92,8678;6,937072;2,0299287;1;17200,0;17200,0;17200,0;17200,0
LU;2023-W51;29000,0;93,30214;7,679929;5,037071;1;22900,0;22900,0;22900,0;22900,0
LU;2023-W52;34100,0;88,63476;8,5460005;5,621;1;28200,0;28200,0;28200,0;28200,0
LU;2024-W01;23800,0;87,95109;5,222786;1,6727856;1;18600,0;18600,0;18600,0;18600,0
LU;2024-W02;13800,0;70,91598;-0,012928529;-4,8915;1;13100,0;13100,0;13100,0;13100,0
LU;2024-W03;18600,0;87,1701;1,2870715;-4,1843576;1;12000,0;12000,0;12000,0;12000,0
LU;2024-W04;18800,0;88,89995;8,337071;0,5370715;1;14100,0;14100,0;14100,0;14100,0
LU;2024-W05;15000,0;91,01255;7,9085;1,7799284;1;14700,0;14700,0;14700,0;14700,0
LU;2024-W06;16900,0;91,454155;9,387072;5,8227854;1;15600,0;15600,0;15600,0;15600,0
LU;2024-W07;37800,0;88,82039;10,565643;4,1585;1;20300,0;20300,0;20300,0;20300,0
LU;2024-W08;20200,0;85,76742;8,229929;3,5942142;1;19100,0;19100,0;19100,0;19100,0
LU;2024-W09;15400,0;83,188644;9,922786;2,551357;1;24300,0;24300,0;24300,0;24300,0
LU;2024-W10;20100,0;79,772865;9,708501;1,6656429;1;16700,0;16700,0;16700,0;16700,0
LU;2024-W11;16400,0;85,25236;12,394216;5,065643;1;18100,0;18100,0;18100,0;18100,0
LU;2024-W12;19700,0;82,1251;12,222786;3,2085;1;18900,0;18900,0;18900,0;18900,0
LU;2024-W13;17200,0;80,21094;11,794214;4,637071;1;15100,0;15100,0;15100,0;15100,0
LU;2024-W14;20500,0;80,71571;16,601358;8,951357;1;21900,0;21900,0;21900,0;21900,0
LU;2024-W15;23100,0;77,26533;15,794214;5,0727854;1;7500,0;7500,0;7500,0;7500,0
LU;2024-W16;13000,0;77,0011;8,501357;2,0227857;1;11300,0;11300,0;11300,0;11300,0
LU;2024-W17;14400,0;73,969986;11,622786;2,6370714;1;12600,0;12600,0;12600,0;12600,0
LU;2024-W18;11800,0;79,90902;17,644215;8,422786;1;15600,0;15600,0;15600,0;15600,0
LU;2024-W19;14900,0;75,14689;19,444214;8,351357;1;13800,0;13800,0;13800,0;13800,0
LU;2024-W20;13500,0;81,92025;17,651358;10,958501;1;17100,0;17100,0;17100,0;17100,0
LU;2024-W21;10500,0;82,85901;17,158499;9,208501;1;11200,0;11200,0;11200,0;11200,0
LU;2024-W22;15100,0;82,97941;16,801357;9,829928;0;13000,0;13000,0;13000,0;13000,0
LU;2024-W23;14700,0;74,491585;17,979929;7,6656427;0;10100,0;10100,0;10100,0;10100,0
LU;2024-W24;18000,0;73,82804;16,879929;8,9085;0;10300,0;10300,0;10300,0;10300,0
LU;2024-W25;12600,0;83,63511;21,251358;12,065643;0;8600,0;8600,0;8600,0;8600,0
LU;2024-W26;8300,0;72,36566;23,994215;13,529929;0;6500,0;6500,0;6500,0;6500,0
LU;2024-W27;10700,0;77,84424;18,522785;9,272786;0;8100,0;8100,0;8100,0;8100,0
LU;2024-W28;12100,0;73,24923;23,365643;12,137072;0;11900,0;11900,0;11900,0;11900,0
LU;2024-W29;11400,0;73,6828;24,465643;14,944215;0;15800,0;15800,0;15800,0;15800,0
LU;2024-W30;8900,0;75,63816;22,894215;13,537071;0;10700,0;10700,0;10700,0;10700,0
LU;2024-W31;12900,0;78,78282;24,987072;15,494215;0;6500,0;6500,0;6500,0;6500,0
LU;2024-W32;7400,0;72,07745;25,92993;15,022786;0;13100,0;13100,0;13100,0;13100,0
LU;2024-W33;9300,0;76,12023;24,987072;15,422786;0;9900,0;9900,0;9900,0;9900,0
LU;2024-W34;6400,0;70,4892;22,244215;11,829928;0;13000,0;13000,0;13000,0;13000,0
LU;2024-W35;8800,0;71,87428;27,108501;15,315643;0;8800,0;8800,0;8800,0;8800,0
LU;2024-W36;13900,0;82,70038;22,158499;14,501358;0;6300,0;6300,0;6300,0;6300,0
LU;2024-W37;17100,0;78,22503;15,022786;7,0942144;0;6500,0;6500,0;6500,0;6500,0
LU;2024-W38;11300,0;74,51625;21,158499;11,801358;0;11800,0;11800,0;11800,0;11800,0
LU;2024-W39;15700,0;84,96837;14,158501;8,194215;0;18200,0;18200,0;18200,0;18200,0
LU;2024-W40;17100,0;83,34914;14,072786;6,6656427;0;15800,0;15800,0;15800,0;15800,0
LU;2024-W41;22400,0;86,499084;13,9585;7,4668336;0;18700,0;18700,0;18700,0;18700,0
