location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
LU;2023-W41;3400,0;75,875725;17,601358;8,044214;1;3800,0;;;
LU;2023-W42;3900,0;83,45864;13,522786;7,8156433;1;2400,0;2400,0;;
LU;2023-W43;1600,0;90,63276;12,701357;7,7942147;1;4800,0;4800,0;4800,0;
LU;2023-W44;3000,0;87,33978;10,651358;7,2585;1;2800,0;2800,0;2800,0;2800,0
LU;2023-W45;5200,0;88,73327;9,015642;5,2013574;1;3400,0;3400,0;3400,0;3400,0
LU;2023-W46;7200,0;90,82998;9,544214;5,3442144;1;3200,0;3200,0;3200,0;3200,0
LU;2023-W47;4800,0;88,47643;6,315643;1,7084999;1;3200,0;3200,0;3200,0;3200,0
LU;2023-W48;5500,0;86,73419;1,8299285;-3,3700714;1;6500,0;6500,0;6500,0;6500,0
LU;2023-W49;7900,0;90,33965;6,5727854;3,0013568;1;4200,0;4200,0;4200,0;4200,0
LU;2023-W50;10400,0;92,8678;6,937072;2,0299287;1;14600,0;14600,0;14600,0;14600,0
LU;2023-W51;5100,0;93,30214;7,679929;5,037071;1;17900,0;17900,0;17900,0;17900,0
LU;2023-W52;13400,0;88,63476;8,5460005;5,621;1;16800,0;16800,0;16800,0;16800,0
LU;2024-W01;1200,0;87,95109;5,222786;1,6727856;1;10200,0;10200,0;10200,0;10200,0
LU;2024-W02;12600,0;70,91598;-0,012928529;-4,8915;1;4300,0;4300,0;4300,0;4300,0
LU;2024-W03;8700,0;87,1701;1,2870715;-4,1843576;1;6300,0;6300,0;6300,0;6300,0
LU;2024-W04;11900,0;88,89995;8,337071;0,5370715;1;5700,0;5700,0;5700,0;5700,0
LU;2024-W05;8900,0;91,01255;7,9085;1,7799284;1;7400,0;7400,0;7400,0;7400,0
LU;2024-W06;8100,0;91,454155;9,387072;5,8227854;1;4100,0;4100,0;4100,0;4100,0
LU;2024-W07;11200,0;88,82039;10,565643;4,1585;1;4000,0;4000,0;4000,0;4000,0
LU;2024-W08;6400,0;85,76742;8,229929;3,5942142;1;5900,0;5900,0;5900,0;5900,0
LU;2024-W09;4500,0;83,188644;9,922786;2,551357;1;6500,0;6500,0;6500,0;6500,0
LU;2024-W10;4000,0;79,772865;9,708501;1,6656429;1;8900,0;8900,0;8900,0;8900,0
LU;2024-W11;3300,0;85,25236;12,394216;5,065643;1;6700,0;6700,0;6700,0;6700,0
LU;2024-W12;3200,0;82,1251;12,222786;3,2085;1;7400,0;7400,0;7400,0;7400,0
LU;2024-W13;2900,0;80,21094;11,794214;4,637071;1;6700,0;6700,0;6700,0;6700,0
LU;2024-W14;0,0;80,71571;16,601358;8,951357;1;8200,0;8200,0;8200,0;8200,0
LU;2024-W15;1600,0;77,26533;15,794214;5,0727854;1;3400,0;3400,0;3400,0;3400,0
LU;2024-W16;2900,0;77,0011;8,501357;2,0227857;1;6100,0;6100,0;6100,0;6100,0
LU;2024-W17;2000,0;73,969986;11,622786;2,6370714;1;4000,0;4000,0;4000,0;4000,0
LU;2024-W18;1100,0;79,90902;17,644215;8,422786;1;1300,0;1300,0;1300,0;1300,0
LU;2024-W19;500,0;75,14689;19,444214;8,351357;1;2800,0;2800,0;2800,0;2800,0
LU;2024-W20;0,0;81,92025;17,651358;10,958501;1;1300,0;1300,0;1300,0;1300,0
LU;2024-W21;800,0;82,85901;17,158499;9,208501;1;1500,0;1500,0;1500,0;1500,0
LU;2024-W22;0,0;82,97941;16,801357;9,829928;0;800,0;800,0;800,0;800,0
LU;2024-W23;1000,0;74,491585;17,979929;7,6656427;0;700,0;700,0;700,0;700,0
LU;2024-W24;0,0;73,82804;16,879929;8,9085;0;1800,0;1800,0;1800,0;1800,0
LU;2024-W25;2300,0;83,63511;21,251358;12,065643;0;600,0;600,0;600,0;600,0
LU;2024-W26;3200,0;72,36566;23,994215;13,529929;0;1000,0;1000,0;1000,0;1000,0
LU;2024-W27;4800,0;77,84424;18,522785;9,272786;0;700,0;700,0;700,0;700,0
LU;2024-W28;2100,0;73,24923;23,365643;12,137072;0;0,0;0,0;0,0;0,0
LU;2024-W29;1100,0;73,6828;24,465643;14,944215;0;2700,0;2700,0;2700,0;2700,0
LU;2024-W30;900,0;75,63816;22,894215;13,537071;0;0,0;0,0;0,0;0,0
LU;2024-W31;600,0;78,78282;24,987072;15,494215;0;1500,0;1500,0;1500,0;1500,0
LU;2024-W32;1200,0;72,07745;25,92993;15,022786;0;0,0;0,0;0,0;0,0
LU;2024-W33;3300,0;76,12023;24,987072;15,422786;0;3300,0;3300,0;3300,0;3300,0
LU;2024-W34;1600,0;70,4892;22,244215;11,829928;0;1700,0;1700,0;1700,0;1700,0
LU;2024-W35;1100,0;71,87428;27,108501;15,315643;0;2000,0;2000,0;2000,0;2000,0
LU;2024-W36;0,0;82,70038;22,158499;14,501358;0;2100,0;2100,0;2100,0;2100,0
LU;2024-W37;600,0;78,22503;15,022786;7,0942144;0;500,0;500,0;500,0;500,0
LU;2024-W38;3000,0;74,51625;21,158499;11,801358;0;2500,0;2500,0;2500,0;2500,0
LU;2024-W39;3200,0;84,96837;14,158501;8,194215;0;5800,0;5800,0;5800,0;5800,0
LU;2024-W40;4300,0;83,34914;14,072786;6,6656427;0;3600,0;3600,0;3600,0;3600,0
LU;2024-W41;3600,0;86,499084;13,9585;7,4668336;0;3400,0;3400,0;3400,0;3400,0
