location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
LV;2023-W41;11,3;78,29667;12,456429;7,1349998;1;5,400000095367432;;;
LV;2023-W42;8,6;83,114;6,8921432;2,6207142;1;4,099999904632568;4,099999904632568;;
LV;2023-W43;11,3;82,380066;5,0064282;0,8421429;1;10,600000381469727;10,600000381469727;10,600000381469727;
LV;2023-W44;15,3;86,40421;10,442143;4,863571;1;9,300000190734863;9,300000190734863;9,300000190734863;9,300000190734863
LV;2023-W45;23,5;92,61639;7,970714;4,656429;1;5,400000095367432;5,400000095367432;5,400000095367432;5,400000095367432
LV;2023-W46;26,4;85,2798;1,4992857;-1,6435715;1;34,5;34,5;34,5;34,5
LV;2023-W47;23,6;85,07762;-0,7221428;-4,9435716;1;58,29999923706055;58,29999923706055;58,29999923706055;58,29999923706055
LV;2023-W48;18,4;90,43286;-2,8864286;-8,029285;1;70,19999694824219;70,19999694824219;70,19999694824219;70,19999694824219
LV;2023-W49;21,2;89,91191;-3,9792857;-7,4364285;1;106,69999694824219;106,69999694824219;106,69999694824219;106,69999694824219
LV;2023-W50;43,0;92,7757;1,9564285;-1,8149999;1;225,3000030517578;225,3000030517578;225,3000030517578;225,3000030517578
LV;2023-W51;47,1;91,504585;2,8778572;-0,050714254;1;607,9000244140625;607,9000244140625;607,9000244140625;607,9000244140625
LV;2023-W52;62,2;88,969215;2,60375;-1,69;1;766,5;766,5;766,5;766,5
LV;2024-W01;77,6;68,19779;-10,143571;-17,09357;1;744,7999877929688;744,7999877929688;744,7999877929688;744,7999877929688
LV;2024-W02;153,9;84,08788;0,042142846;-5,0435715;1;417,20001220703125;417,20001220703125;417,20001220703125;417,20001220703125
LV;2024-W03;256,5;86,14768;-2,0292857;-7,8650002;1;502,8999938964844;502,8999938964844;502,8999938964844;502,8999938964844
LV;2024-W04;442,3;89,30706;2,4492857;-1,0078571;1;429,3999938964844;429,3999938964844;429,3999938964844;429,3999938964844
LV;2024-W05;479,7;84,51093;3,9064286;-0,43642855;1;375,0;375,0;375,0;375,0
LV;2024-W06;519,9;83,19142;-1,3435715;-4,886429;1;205,3000030517578;205,3000030517578;205,3000030517578;205,3000030517578
LV;2024-W07;530,7;90,455124;3,3278573;-1,0721428;1;199,89999389648438;199,89999389648438;199,89999389648438;199,89999389648438
LV;2024-W08;467,2;85,99925;5,8707147;0,84928566;1;116,19999694824219;116,19999694824219;116,19999694824219;116,19999694824219
LV;2024-W09;442,0;88,429184;6,6064286;0,4564286;1;83,9000015258789;83,9000015258789;83,9000015258789;83,9000015258789
LV;2024-W10;330,0;76,2784;3,385;-3,3792858;1;78,4000015258789;78,4000015258789;78,4000015258789;78,4000015258789
LV;2024-W11;253,8;76,058365;7,5350003;1,6778572;1;79,0999984741211;79,0999984741211;79,0999984741211;79,0999984741211
LV;2024-W13;144,5;76,950005;14,249286;4,299286;1;39,20000076293945;39,20000076293945;39,20000076293945;39,20000076293945
LV;2024-W14;110,3;80,35859;11,399285;2,8707144;1;28,399999618530273;28,399999618530273;28,399999618530273;28,399999618530273
LV;2024-W15;64,0;78,347466;14,620714;6,8635716;1;26,200000762939453;26,200000762939453;26,200000762939453;26,200000762939453
LV;2024-W16;106,26667;77,38517;6,335;0,12071429;1;15,100000381469727;15,100000381469727;15,100000381469727;15,100000381469727
LV;2024-W17;87,15;78,7757;12,949286;2,792143;1;40,20000076293945;40,20000076293945;40,20000076293945;40,20000076293945
LV;2024-W18;39,8;66,32311;17,177856;8,099286;1;0,0;0,0;0,0;0,0
LV;2024-W19;9,25;71,71208;10,342143;4,570714;1;;;;
LV;2024-W20;9,25;69,08984;21,149286;8,899286;1;0,0;0,0;0,0;0,0
LV;2024-W40;15,6;83,64136;11,627858;4,3849998;0;6,599999904632568;6,599999904632568;6,599999904632568;6,599999904632568
LV;2024-W41;2,9;84,8749;14,568334;6,443333;0;11,300000190734863;11,300000190734863;11,300000190734863;11,300000190734863
