location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
PL;2023-W41;274,9;76,49428;15,968714;6,5187144;1;343,70001220703125;;;
PL;2023-W42;316,9;85,00165;11,975858;5,1187143;1;312,5;312,5;;
PL;2023-W43;332,3;89,680435;13,4044285;8,025857;1;307,79998779296875;307,79998779296875;307,79998779296875;
PL;2023-W44;301,9;80,841606;13,111571;7,275857;1;298,3999938964844;298,3999938964844;298,3999938964844;298,3999938964844
PL;2023-W45;339,8;84,022316;9,561571;4,0472856;1;284,5;284,5;284,5;284,5
PL;2023-W46;355,3;89,825966;5,033;0,31157142;1;360,79998779296875;360,79998779296875;360,79998779296875;360,79998779296875
PL;2023-W47;385,7;83,18237;1,9044285;-2,767;1;454,6000061035156;454,6000061035156;454,6000061035156;454,6000061035156
PL;2023-W48;786,6;86,567276;-0,9384286;-5,581286;1;511,29998779296875;511,29998779296875;511,29998779296875;511,29998779296875
PL;2023-W49;491,5;89,92655;-0,467;-3,817;1;661,5999755859375;661,5999755859375;661,5999755859375;661,5999755859375
PL;2023-W50;504,7;93,59321;3,933;1,5329999;1;839,5;839,5;839,5;839,5
PL;2023-W51;344,5;83,958824;6,218714;1,7329999;1;884,2000122070312;884,2000122070312;884,2000122070312;884,2000122070312
PL;2023-W52;323,5;81,97958;7,5142503;1,8704998;1;855,7999877929688;855,7999877929688;855,7999877929688;855,7999877929688
PL;2024-W01;383,4;83,48066;0,67585725;-3,7812858;1;740,2000122070312;740,2000122070312;740,2000122070312;740,2000122070312
PL;2024-W02;445,8;80,74041;-1,1098572;-5,6312857;1;590,2999877929688;590,2999877929688;590,2999877929688;590,2999877929688
PL;2024-W03;456,6;87,827354;0,3687143;-6,0455713;1;459,5;459,5;459,5;459,5
PL;2024-W04;474,8;86,94993;4,7544284;0,56871426;1;400,0;400,0;400,0;400,0
PL;2024-W05;512,0;82,85032;6,7330003;2,2758572;1;400,0;400,0;400,0;400,0
PL;2024-W06;498,1;88,54279;6,911572;2,2544284;1;391,20001220703125;391,20001220703125;391,20001220703125;391,20001220703125
PL;2024-W07;389,1;80,84825;8,054429;1,175857;1;411,70001220703125;411,70001220703125;411,70001220703125;411,70001220703125
PL;2024-W08;347,7;85,538216;10,247286;3,5401425;1;487,1000061035156;487,1000061035156;487,1000061035156;487,1000061035156
PL;2024-W09;318,2;84,753975;11,997286;4,8972855;1;489,3999938964844;489,3999938964844;489,3999938964844;489,3999938964844
PL;2024-W10;322,9;75,09912;7,633;-0,7098573;1;500,1000061035156;500,1000061035156;500,1000061035156;500,1000061035156
PL;2024-W11;328,7;82,84307;8,690143;2,0187142;1;512,2000122070312;512,2000122070312;512,2000122070312;512,2000122070312
PL;2024-W12;322,6;82,66448;9,504428;1,3044285;1;451,5;451,5;451,5;451,5
PL;2024-W13;322,0;67,658615;18,740143;7,104429;1;435,29998779296875;435,29998779296875;435,29998779296875;435,29998779296875
PL;2024-W14;239,1;74,79176;17,090143;6,990143;1;310,70001220703125;310,70001220703125;310,70001220703125;310,70001220703125
PL;2024-W15;243,0;68,29365;17,990143;9,225858;1;277,5;277,5;277,5;277,5
PL;2024-W16;239,2;76,60577;8,790143;1,9972857;1;254,1999969482422;254,1999969482422;254,1999969482422;254,1999969482422
PL;2024-W17;249,2;68,96497;15,383;4,883;1;229,0;229,0;229,0;229,0
PL;2024-W18;150,5;50,987495;24,483;11,854429;1;142,0;142,0;142,0;142,0
PL;2024-W19;212,5;59,07697;17,254429;5,568714;1;223,8000030517578;223,8000030517578;223,8000030517578;223,8000030517578
PL;2024-W20;191,0;49,152325;21,782999;10,218715;1;181,0;181,0;181,0;181,0
