location;year_week;value;relative_humidity_2m;temperature_2m_max;temperature_2m_min;covid;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks
RO;2023-W41;0,0;60,07145;21,63443;8,848714;1;0,0;;;
RO;2023-W42;0,0;66,557655;22,29157;8,970142;1;0,0;0,0;;
RO;2023-W43;0,5;68,95009;23,505857;11,327285;1;0,699999988079071;0,699999988079071;0,699999988079071;
RO;2023-W44;0,7;75,61762;19,705858;10,070143;1;0,5;0,5;0,5;0,5
RO;2023-W45;0,7;75,35346;15,28443;5,134429;1;0,5;0,5;0,5;0,5
RO;2023-W46;0,7;78,487816;12,455856;3,3201427;1;0,5;0,5;0,5;0,5
RO;2023-W47;1,0;82,36356;8,720142;2,1915715;1;0,5;0,5;0,5;0,5
RO;2023-W48;0,2;79,03456;9,020143;-0,487;1;0,0;0,0;0,0;0,0
RO;2023-W49;1,6;86,99941;4,4558573;-0,887;1;0,0;0,0;0,0;0,0
RO;2023-W50;0,7;88,226974;7,391571;-0,06557138;1;6,099999904632568;6,099999904632568;6,099999904632568;6,099999904632568
RO;2023-W51;3,4;81,68299;9,884428;0,363;1;1,5;1,5;1,5;1,5
RO;2023-W52;1,5;80,95886;12,363;2,4129999;1;1,7000000476837158;1,7000000476837158;1,7000000476837158;1,7000000476837158
RO;2024-W01;8,6;84,46788;10,312999;1,9558572;1;8,0;8,0;8,0;8,0
RO;2024-W02;11,3;65,37587;2,7558572;-5,008428;1;18,700000762939453;18,700000762939453;18,700000762939453;18,700000762939453
RO;2024-W03;20,7;80,50959;4,8772855;-3,7655714;1;18,5;18,5;18,5;18,5
RO;2024-W04;36,9;88,144714;3,6415713;-4,965572;1;8,699999809265137;8,699999809265137;8,699999809265137;8,699999809265137
RO;2024-W05;36,6;79,50039;9,034429;-1,1155714;1;10,0;10,0;10,0;10,0
RO;2024-W06;33,0;63,362984;17,477285;6,6487145;1;6,699999809265137;6,699999809265137;6,699999809265137;6,699999809265137
RO;2024-W07;24,1;82,25451;10,091571;2,3558574;1;7,599999904632568;7,599999904632568;7,599999904632568;7,599999904632568
RO;2024-W08;9,8;74,86067;14,648714;3,4344287;1;4,599999904632568;4,599999904632568;4,599999904632568;4,599999904632568
RO;2024-W09;6,4;79,329285;13,170142;3,663;1;5,400000095367432;5,400000095367432;5,400000095367432;5,400000095367432
RO;2024-W10;2,3;72,627686;11,470143;2,5772858;1;5,400000095367432;5,400000095367432;5,400000095367432;5,400000095367432
RO;2024-W11;1,9;82,6551;11,841571;4,048714;1;5,0;5,0;5,0;5,0
RO;2024-W12;2,6;74,11989;12,584428;1,8558571;1;3,5999999046325684;3,5999999046325684;3,5999999046325684;3,5999999046325684
RO;2024-W13;1,2;68,44005;21,691572;7,677285;1;1,5;1,5;1,5;1,5
RO;2024-W14;0,9;59,627537;21,055859;9,263;1;1,899999976158142;1,899999976158142;1,899999976158142;1,899999976158142
RO;2024-W15;0,2;61,85135;24,655857;10,49157;1;0,699999988079071;0,699999988079071;0,699999988079071;0,699999988079071
RO;2024-W17;0,0;78,4236;18,584429;8,870142;1;1,0;1,0;1,0;1,0
RO;2024-W18;0,0;70,59973;20,213;10,734428;1;0,699999988079071;0,699999988079071;0,699999988079071;0,699999988079071
RO;2024-W19;0,0;68,15223;20,220142;10,663;1;0,20000000298023224;0,20000000298023224;0,20000000298023224;0,20000000298023224
RO;2024-W20;0,7;65,84398;19,54157;9,691571;1;0,5;0,5;0,5;0,5
RO;2024-W21;2,4;58,617786;24,827286;12,962999;1;0,20000000298023224;0,20000000298023224;0,20000000298023224;0,20000000298023224
RO;2024-W22;2,3;64,08585;26,748714;15,384429;0;0,0;0,0;0,0;0,0
RO;2024-W23;2,3;55,651203;31,677286;18,991573;0;;;;
RO;2024-W24;0,2;58,19977;30,627285;18,691572;0;0,0;0,0;0,0;0,0
RO;2024-W25;1,7;50,10968;33,277287;20,691572;0;0,0;0,0;0,0;0,0
RO;2024-W26;0,0;47,903748;32,513;20,155857;0;;;;
RO;2024-W27;0,0;48,936893;31,570143;19,527287;0;0,20000000298023224;0,20000000298023224;0,20000000298023224;0,20000000298023224
RO;2024-W28;0,0;37,608303;37,470146;22,941572;0;0,0;0,0;0,0;0,0
RO;2024-W29;0,0;48,946106;35,098717;23,698715;0;0,0;0,0;0,0;0,0
RO;2024-W30;0,0;62,455772;30,948713;20,027287;0;0,0;0,0;0,0;0,0
RO;2024-W31;0,0;41,59244;32,355858;20,870144;0;0,0;0,0;0,0;0,0
RO;2024-W32;0,2;57,209545;31,441572;19,070143;0;0,0;0,0;0,0;0,0
RO;2024-W33;0,0;44,781593;35,248714;21,93443;0;0,0;0,0;0,0;0,0
RO;2024-W34;0,0;39,282925;34,477287;21,655857;0;;;;
RO;2024-W35;0,0;57,1138;29,763;19,520144;0;0,0;0,0;0,0;0,0
RO;2024-W36;0,0;50,977833;29,441572;17,141571;0;;;;
RO;2024-W37;0,0;68,13256;24,163;15,034429;0;0,0;0,0;0,0;0,0
RO;2024-W38;0,0;59,18089;23,54157;12,634428;0;0,0;0,0;0,0;0,0
RO;2024-W39;0,0;63,63842;25,68443;14,413;0;8,5;8,5;8,5;8,5
RO;2024-W40;0,0;75,06638;22,641571;11,984428;0;0,0;0,0;0,0;0,0
RO;2024-W41;0,2;69,57961;22,888;11,746333;0;0,0;0,0;0,0;0,0
