;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;1180,8854;1835,2605;525,9792;2620,327;3255,0
1;1182,2242;1834,4082;524,86194;2619,2239;2285,2
2;1182,1711;1834,4631;524,41644;2618,9783;1467,6998
3;1182,6125;1834,3174;523,7954;2617,9954;1968,7
4;1183,1106;1834,0494;523,7552;2617,1711;2114,8
5;1182,6373;1834,0688;523,75836;2617,5413;2094,0
6;1181,5647;1834,5935;524,6087;2618,5283;2090,6
7;1181,0924;1834,5587;525,2778;2619,5698;2248,4
8;1180,5625;1834,7937;525,611;2620,3335;2184,9
9;1180,621;1834,7922;525,6305;2620,239;2778,6
10;1180,7421;1834,981;525,5114;2619,7844;2395,5
11;1180,6288;1834,9065;525,92035;2620,4639;2834,0
12;1180,5287;1834,8416;525,9539;2621,0522;3242,5002
13;1180,9967;1834,6173;525,56586;2620,6653;3209,8
14;1181,7015;1834,42;524,9785;2619,4546;2238,3
15;1181,4467;1834,526;525,6019;2619,7063;2420,4
16;1181,1085;1834,5974;525,8021;2620,0664;2343,0
17;1180,3582;1834,9205;526,45447;2621,053;2156,0
18;1180,2577;1834,9329;526,88257;2621,6104;3180,1003
19;1180,924;1834,7954;526,0963;2620,7578;3161,0
20;1181,264;1834,6321;525,26294;2620,3877;3595,7998
21;1181,4941;1834,5168;525,25586;2620,0215;2634,8
22;1181,2682;1834,8685;526,08044;2620,063;1945,2
23;1181,6676;1834,613;526,2216;2619,9966;2338,0
24;1181,6371;1834,5972;525,7425;2620,3525;1790,0
25;1182,2198;1834,3674;525,36127;2619,8958;1798,0
26;1182,2522;1834,5776;525,3128;2619,877;2179,8
