;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;565,0934;555,9405;525,5531;584,15393;310,5
1;565,09344;555,94055;525,55316;584,15393;429,40002
2;565,0935;555,94055;525,5533;584,154;512,9
3;565,09344;555,94055;525,55316;584,15393;632,2
4;565,0935;555,94055;525,5533;584,154;625,5
5;565,09344;555,9405;525,55316;584,1539;581,4
6;565,09357;555,94055;525,5533;584,1541;748,1
7;565,0935;555,9405;525,55316;584,1541;852,4
8;565,09344;555,9405;525,55316;584,15393;874,1
9;565,09344;555,94055;525,55316;584,154;1011,8
10;565,0935;555,9405;525,55316;584,1539;996,8
11;565,0935;555,9405;525,55316;584,15393;1030,0
12;565,09357;555,94055;525,5533;584,154;1212,9
13;565,09344;555,9405;525,5531;584,15393;1033,2
14;565,09357;555,94055;525,5533;584,1541;498,20007
15;565,0935;555,94055;525,55316;584,1541;1178,5
16;565,0935;555,94055;525,5533;584,1541;1488,9
17;565,0935;555,94055;525,55316;584,1541;1593,8
18;565,0935;555,9405;525,55316;584,15393;1972,0
19;565,09357;555,94055;525,55334;584,1541;1771,5
20;565,0935;555,94055;525,55316;584,154;1322,2
21;565,0935;555,94055;525,5533;584,154;1141,7
22;565,09357;555,9405;525,55316;584,1541;989,3
23;565,09344;555,9405;525,5531;584,15393;909,7
24;565,0935;555,9405;525,55316;584,154;724,8
25;565,0935;555,94055;525,55316;584,154;906,4
26;565,0935;555,9405;525,55316;584,154;863,8
27;565,09357;555,94055;525,5533;584,154;757,2
28;565,0935;555,9405;525,55316;584,154;574,8
29;565,09344;555,9405;525,55316;584,1539;586,1
30;565,09357;555,9405;525,5533;584,154;630,5
31;565,0935;555,9405;525,55316;584,15393;395,30002
32;565,0935;555,9405;525,55316;584,154;511,7
33;565,0935;555,9405;525,55316;584,154;566,9
34;565,0935;555,9405;525,5533;584,15393;501,20007
35;565,0935;555,9405;525,55316;584,1538;450,20004
36;565,09357;555,94055;525,5533;584,15393;436,7
37;565,0935;555,9405;525,55316;584,15393;368,40002
38;565,09357;555,9405;525,55316;584,15393;360,1
39;565,09357;555,94055;525,5533;584,154;348,1
40;565,09344;555,9405;525,55316;584,1539;322,5
41;565,0934;555,9404;525,5531;584,15393;317,09998
42;565,09357;555,9405;525,5533;584,15393;308,5
43;565,09344;555,9405;525,55316;584,1539;315,4
44;565,09357;555,9405;525,5533;584,154;320,6
45;565,0935;555,9405;525,55316;584,154;334,9
46;565,09357;555,94055;525,5533;584,1539;366,5
47;565,09357;555,94055;525,5533;584,154;363,70004
48;565,0935;555,94055;525,55316;584,1541;313,79996
49;565,09357;555,9405;525,5533;584,154;389,0
50;565,0935;555,9405;525,55316;584,1541;436,50006
