;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;623,16693;587,7046;628,8188;580,61884;653,4
1;623,16864;587,70575;628,81726;580,6227;558,4
2;623,17865;587,7072;628,8198;580,62463;747,1
3;623,17957;587,7037;628,8209;580,62964;819,0
4;623,18054;587,704;628,8202;580,631;904,49994
5;623,1793;587,70264;628,8185;580,6323;908,3
6;623,1856;587,70355;628,8196;580,6394;973,30005
7;623,1934;587,70404;628,8232;580,6417;1016,4
8;623,19;587,70233;628,82227;580,6366;978,30005
9;623,1897;587,70056;628,8219;580,637;1134,7
10;623,1895;587,6986;628,8219;580,64215;1269,9
11;623,1946;587,70056;628,8228;580,6419;1316,9
12;623,1906;587,6976;628,82275;580,6408;1427,1
13;623,18774;587,69556;628,8217;580,63965;1332,3
14;623,18866;587,69653;628,8191;580,64044;752,2
15;623,1973;587,7001;628,81854;580,64404;1072,8
16;623,201;587,69965;628,8222;580,6448;1126,7
17;623,1933;587,6939;628,8247;580,6394;1205,1
18;623,18555;587,69244;628,8231;580,6368;1419,7
19;623,1872;587,6913;628,82745;580,64014;1601,0
20;623,18445;587,6944;628,8234;580,6315;1601,4
21;623,1889;587,6939;628,82544;580,63275;1451,8
22;623,187;587,693;628,8253;580,6285;1251,7
23;623,18463;587,69305;628,8242;580,6248;1182,9
24;623,1784;587,6934;628,82056;580,62006;1080,0
25;623,17316;587,6913;628,8197;580,6171;1027,5
26;623,1744;587,69244;628,8201;580,61957;1031,3
27;623,1694;587,6907;628,821;580,61554;871,1
28;623,1679;587,69275;628,8191;580,6134;888,5
29;623,16144;587,6912;628,8179;580,6124;902,5
30;623,16254;587,69324;628,81757;580,6113;900,4
31;623,16376;587,6935;628,8191;580,6137;892,5999
32;623,1602;587,69324;628,8195;580,6111;750,3
33;623,15216;587,6924;628,81726;580,6105;713,9
34;623,1573;587,698;628,8165;580,61;794,5
35;623,16504;587,6997;628,8217;580,6101;759,0
36;623,1588;587,6962;628,8231;580,6027;734,1
37;623,1398;587,6942;628,81494;580,6007;710,0
38;623,1441;587,70056;628,8136;580,60004;714,5
39;623,145;587,70306;628,81354;580,6013;658,3
40;623,1407;587,7044;628,8112;580,5926;608,8
41;623,14166;587,7048;628,8119;580,5962;465,89996
42;623,1418;587,7035;628,81494;580,5989;471,79996
43;623,14685;587,70575;628,81714;580,5987;458,8
44;623,14246;587,7048;628,81635;580,5982;451,20004
45;623,1388;587,70685;628,8126;580,5937;452,30002
46;623,1421;587,7058;628,81415;580,59985;432,4
47;623,1428;587,7076;628,8118;580,6044;413,80002
48;623,1474;587,70874;628,81195;580,60815;435,3
49;623,15405;587,7116;628,8116;580,6131;461,59998
50;623,1631;587,713;628,81573;580,61536;510,2
51;623,1589;587,70953;628,81604;580,61383;641,2
52;623,1586;587,709;628,81464;580,6145;731,5
