;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;907,5651;917,5552;996,6594;898,11615;1141,0
1;907,61035;917,5846;996,6558;898,08826;1275,9
2;907,60956;917,59174;996,669;898,0938;1091,9
3;907,6208;917,6016;996,673;898,0896;1522,9
4;907,64307;917,6199;996,6784;898,07874;1554,9
5;907,6697;917,6433;996,6876;898,0674;1638,0001
6;907,72015;917,6862;996,70123;898,0449;1471,0
7;907,7658;917,7315;996,7253;898,02814;1800,0001
8;907,7842;917,75574;996,7467;898,0275;1915,0
9;907,8311;917,7965;996,76324;898,008;2068,0
10;907,8343;917,8097;996,7835;898,0167;2073,9
11;907,8615;917,83374;996,7947;898,0059;2318,9
12;907,9333;917,89325;996,8119;897,9722;2529,0
13;907,9749;917,9404;996,8445;897,9621;2229,0
14;908,0039;917,9747;996,8711;897,9598;962,0
15;908,0166;917,9938;996,89166;897,96313;1646,0
16;907,95953;917,9562;996,8981;897,9981;1636,9999
17;907,95526;917,9439;996,88403;897,9948;1768,9
18;907,92755;917,91876;996,87305;898,00616;2028,9
19;907,9953;917,96454;996,86993;897,96576;2168,0
20;908,01337;917,9893;996,8891;897,9628;2068,0
21;908,0141;917,99677;996,902;897,96814;1768,0
22;908,0074;917,99365;996,90607;897,97473;1800,9
23;907,96533;917,96045;996,90063;897,9952;1537,9
24;907,93427;917,92804;996,88226;898,0049;1427,0
25;907,93024;917,91693;996,8671;898,0008;1433,0
26;907,90894;917,89795;996,85834;898,0084;1370,9
27;907,89813;917,88403;996,8461;898,00726;1020,9
28;907,8998;917,8823;996,84015;898,0036;1131,0
29;907,86646;917,85583;996,8336;898,0197;1168,0
30;907,85297;917,8397;996,82153;898,0237;1140,0
31;907,8027;917,7969;996,80725;898,0455;1282,9
32;907,77;917,7622;996,78546;898,05347;1004,9001
33;907,74054;917,7312;996,76587;898,06256;828,99994
34;907,7388;917,72235;996,7504;898,056;1094,9
35;907,73175;917,7147;996,7437;898,0564;837,0
36;907,63715;917,64276;996,73254;898,1065;763,9
37;907,57886;917,5822;996,6973;898,1261;907,00006
38;907,51935;917,5256;996,66907;898,14874;1027,9
39;907,4616;917,4699;996,6387;898,1703;1016,9
40;907,492;917,4789;996,61523;898,14014;960,9
41;907,5096;917,4931;996,61633;898,12805;1050,9
42;907,49567;917,48584;996,6192;898,138;972,89996
43;907,4912;917,4815;996,6175;898,1409;861,00006
44;907,4458;917,4487;996,6158;898,1677;741,0
45;907,42584;917,42676;996,6017;898,17334;691,0
46;907,444;917,4344;996,59186;898,15845;701,9
47;907,4062;917,40985;996,59406;898,1813;691,89996
48;907,41895;917,4137;996,5849;898,1708;803,9
49;907,4311;917,42267;996,58545;898,16327;847,9
50;907,43066;917,42487;996,58936;898,16516;919,99994
51;907,42676;917,42267;996,5905;898,16846;1095,9
52;907,4134;917,41266;996,58923;898,1757;1517,0
