;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;70,2815;67,05618;67,464874;73,69094;71,1
1;70,28098;67,05724;67,46541;73,69113;83,2
2;70,281876;67,057816;67,46446;73,69101;93,5
3;70,28214;67,06044;67,46518;73,691414;95,2
4;70,28297;67,063705;67,46613;73,69204;93,8
5;70,28443;67,06661;67,46702;73,69267;123,69999
6;70,28594;67,06722;67,46763;73,69301;138,0
7;70,28664;67,06676;67,467896;73,69316;158,0
8;70,28654;67,0664;67,46764;73,693214;139,7
9;70,28539;67,06974;67,468925;73,69397;173,7
10;70,28536;67,071;67,46963;73,69442;200,2
11;70,28609;67,07669;67,47083;73,695526;230,49998
12;70,28764;67,07744;67,472404;73,696075;244,00002
13;70,289444;67,07441;67,47284;73,69609;214,0
14;70,290955;67,07135;67,47211;73,6958;197,1
15;70,29184;67,06545;67,46946;73,69465;179,0
16;70,29069;67,07125;67,469696;73,69536;203,9
17;70,29077;67,07315;67,47001;73,69557;172,4
18;70,28985;67,07397;67,47205;73,69607;204,7
19;70,2898;67,07011;67,4722;73,69576;171,6
20;70,28994;67,06757;67,471176;73,69538;181,0
21;70,290115;67,06557;67,46972;73,694824;159,7
22;70,29013;67,06904;67,46905;73,695;144,6
23;70,28928;67,06761;67,47051;73,69495;148,1
24;70,28946;67,06729;67,47045;73,6951;140,2
25;70,288895;67,06482;67,47085;73,69483;109,2
26;70,28922;67,0638;67,47025;73,69464;123,1
27;70,28993;67,061844;67,46888;73,69406;154,7
28;70,2895;67,06019;67,469154;73,6938;144,6
29;70,2898;67,06128;67,46914;73,69393;122,00001
30;70,29056;67,05396;67,4671;73,692535;113,2
31;70,2889;67,05233;67,46606;73,69199;130,3
32;70,287346;67,05622;67,46635;73,69231;117,2
33;70,28734;67,05434;67,46549;73,69175;90,9
34;70,28607;67,057556;67,4671;73,69235;119,8
35;70,28604;67,05055;67,46641;73,69128;87,1
36;70,28593;67,05305;67,46481;73,6913;79,1
37;70,284294;67,04812;67,465485;73,69044;94,3
38;70,28388;67,04432;67,463394;73,68963;74,9
39;70,28303;67,04983;67,46265;73,68991;93,1
40;70,28228;67,046295;67,463066;73,6892;109,5
41;70,281815;67,04641;67,46224;73,689125;73,1
42;70,28017;67,04771;67,46345;73,68934;111,0
43;70,28052;67,0485;67,463005;73,68937;169,7
44;70,28085;67,05073;67,46339;73,68965;140,5
45;70,28136;67,05052;67,46424;73,689804;209,0
46;70,28176;67,0463;67,463615;73,6892;148,2
47;70,28177;67,049065;67,46336;73,68954;103,6
48;70,28218;67,04881;67,4635;73,68944;117,7
49;70,283226;67,04941;67,46247;73,689354;181,8
50;70,28274;67,05003;67,46333;73,68944;95,6
51;70,2829;67,04899;67,462715;73,6892;111,8
52;70,282425;67,049355;67,46205;73,68909;118,8
