;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;224,76274;198,8229;222,95428;213,07408;154,2
1;224,76343;198,82278;222,95677;213,07536;173,0
2;224,76549;198,82246;222,96132;213,07713;132,9
3;224,76256;198,82231;222,95177;213,07315;165,5
4;224,7613;198,82245;222,94846;213,0719;148,1
5;224,76282;198,82404;222,95207;213,0725;186,4
6;224,76166;198,823;222,94838;213,07146;245,49998
7;224,7621;198,82529;222,94653;213,06947;417,2
8;224,76152;198,82495;222,94301;213,0681;324,3
9;224,76254;198,82745;222,94077;213,06557;401,5
10;224,76067;198,8296;222,9327;213,061;501,2
11;224,75829;198,83003;222,93015;213,06018;463,69998
12;224,75916;198,82945;222,93192;213,06125;516,4
13;224,76015;198,83037;222,93152;213,06027;382,8
14;224,75607;198,82968;222,91951;213,05566;266,2
15;224,75519;198,8296;222,91609;213,05418;238,2
16;224,75426;198,8324;222,91367;213,0519;261,4
17;224,75282;198,83174;222,91322;213,05235;216,0
18;224,75409;198,82906;222,91919;213,0561;215,7
19;224,75363;198,82896;222,91513;213,05426;208,8
20;224,75276;198,83229;222,90993;213,05038;213,8
21;224,7525;198,83247;222,90984;213,05038;222,29999
22;224,75426;198,8343;222,91454;213,05145;234,30002
23;224,75305;198,8313;222,91354;213,05257;217,4
24;224,75172;198,83226;222,90761;213,04962;192,1
25;224,75195;198,83414;222,90714;213,04845;192,7
26;224,75195;198,83453;222,90805;213,04874;197,8
27;224,75154;198,83414;222,90816;213,04921;180,5
28;224,75204;198,83298;222,90916;213,04996;208,0
29;224,75003;198,8336;222,90268;213,04701;207,1
30;224,75043;198,83388;222,9054;213,04808;182,9
31;224,75117;198,83354;222,90817;213,04947;161,8
32;224,75168;198,83458;222,91089;213,05032;133,3
33;224,75394;198,83409;222,91805;213,05333;140,6
34;224,75175;198,83461;222,9127;213,0509;177,2
35;224,75175;198,83423;222,9144;213,05202;132,2
36;224,75456;198,8335;222,92223;213,05559;101,1
37;224,75662;198,83432;222,92703;213,05702;110,69999
38;224,75688;198,83461;222,92746;213,05702;95,0
39;224,75754;198,83223;222,93134;213,05965;89,8
40;224,75652;198,83063;222,93149;213,06096;83,0
41;224,76122;198,83235;222,94408;213,06526;101,4
42;224,76332;198,83095;222,94957;213,06796;113,1
43;224,76212;198,8303;222,9465;213,0669;165,2
44;224,76118;198,82771;222,94688;213,06863;153,3
