;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;64,31468;41,659275;52,603867;88,140236;193,2
1;64,31401;41,658592;52,604027;88,13929;188,9
2;64,313736;41,658596;52,603577;88,13934;170,8
3;64,31348;41,658802;52,602997;88,13936;198,3
4;64,31304;41,658806;52,602543;88,13917;145,1
5;64,312775;41,65894;52,602036;88,138985;194,8
6;64,312874;41,65977;52,600986;88,13973;220,6
7;64,312294;41,658916;52,601456;88,138664;295,3
8;64,31199;41,658703;52,60149;88,13805;309,0
9;64,3121;41,659454;52,60064;88,138794;300,4
10;64,311455;41,658295;52,601646;88,13717;345,1
11;64,31071;41,65657;52,603233;88,13479;339,9
12;64,310455;41,65656;52,603218;88,13418;395,7
13;64,310295;41,656254;52,603508;88,13335;325,3
14;64,31019;41,656178;52,60368;88,13262;306,4
15;64,3103;41,657036;52,603024;88,132996;352,8
16;64,310265;41,65705;52,603188;88,13242;312,4
17;64,30991;41,65529;52,60532;88,13015;295,3
18;64,31034;41,65588;52,605083;88,130295;288,4
19;64,310745;41,656624;52,60487;88,13082;318,4
20;64,311264;41,65684;52,60507;88,13118;293,6
21;64,31145;41,656887;52,605526;88,13115;289,3
22;64,31157;41,656467;52,60633;88,13044;302,1
23;64,31166;41,65582;52,60738;88,12948;271,2
24;64,31194;41,655376;52,608353;88,129036;231,8
25;64,312416;41,65688;52,607113;88,13047;178,5
26;64,31237;41,65611;52,60824;88,12953;218,0
27;64,31282;41,656445;52,608192;88,12965;212,0
28;64,31316;41,65724;52,607826;88,13047;219,7
29;64,31372;41,65765;52,607883;88,13085;206,9
30;64,314064;41,657497;52,6084;88,13114;212,0
31;64,31426;41,657658;52,608517;88,13135;214,6
32;64,31446;41,657375;52,609146;88,13137;210,3
33;64,314896;41,65809;52,608604;88,132126;169,1
34;64,31542;41,658142;52,608986;88,132835;148,5
35;64,31611;41,6594;52,60789;88,134705;117,6
36;64,31611;41,659615;52,607716;88,135;136,5
37;64,317085;41,661064;52,606655;88,137245;141,6
38;64,31728;41,660786;52,607178;88,13769;102,1
39;64,317024;41,659245;52,608894;88,13662;85,0
40;64,31718;41,65874;52,60962;88,13662;88,40001
41;64,317764;41,659416;52,609188;88,13832;94,4
42;64,31839;41,66074;52,608086;88,1404;98,7
43;64,3187;41,66049;52,60866;88,14098;113,3
44;64,3194;41,661068;52,60848;88,14276;157,9
