;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;733,88696;318,89108;742,81165;547,9387;581,9
1;733,993;319,16046;742,9698;547,951;668,7
2;734,07574;319,36725;743,0858;547,9412;502,09998
3;734,1198;319,31967;743,12604;547,93634;397,7
4;734,1769;319,35468;743,2018;547,9517;457,49997
5;734,2142;319,3783;743,2507;547,9585;472,2
6;734,2544;319,46826;743,31134;547,9668;434,40002
7;734,3125;319,6628;743,40106;547,96704;558,1
8;734,363;319,77313;743,4691;547,9684;572,0
9;734,4175;319,83755;743,53925;547,97784;614,4
10;734,4368;319,7862;743,54956;547,97626;680,7
11;734,4673;319,83368;743,5895;547,9764;544,0
12;734,4656;319,76944;743,57983;547,98315;809,7
13;734,46704;319,8006;743,58093;547,9795;915,4
14;734,4239;319,7095;743,51495;547,97784;958,4
15;734,40045;319,61496;743,46625;547,97015;916,10004
16;734,3652;319,52588;743,4083;547,9646;941,8
17;734,3408;319,48685;743,3691;547,96027;727,7001
18;734,3184;319,4962;743,3398;547,959;603,7
19;734,26685;319,35898;743,25446;547,94574;564,0
20;734,21906;319,14664;743,16846;547,9454;573,4
21;734,18524;319,08044;743,12164;547,9449;561,6
22;734,116;318,956;743,02014;547,93494;580,7
23;734,056;318,8225;742,93005;547,9185;562,3
24;734,0174;318,71033;742,8757;547,9306;583,5
25;733,9498;318,57135;742,7811;547,92126;586,9
26;733,9037;318,60712;742,73065;547,9232;540,6
27;733,80084;318,43237;742,5794;547,895;422,3
28;733,7471;318,26917;742,4901;547,889;494,4
29;733,70966;318,18652;742,4395;547,8889;466,6
30;733,67505;318,09995;742,3907;547,88293;467,0
31;733,6573;318,1126;742,37756;547,89355;485,2
32;733,596;317,9238;742,2848;547,87665;431,3
33;733,55096;317,83163;742,2277;547,8855;488,5
34;733,5612;317,93185;742,2577;547,8907;461,6
35;733,59735;318,01572;742,31903;547,90216;444,9
36;733,6384;318,14758;742,39465;547,91254;419,0
37;733,66583;318,2204;742,4394;547,9209;424,2
38;733,6571;318,27826;742,4417;547,9295;407,9
39;733,6078;318,14438;742,3629;547,9227;407,1
40;733,576;318,12;742,31854;547,9099;380,4
41;733,54736;318,10812;742,2808;547,90594;366,40002
42;733,55035;318,15146;742,2875;547,8982;325,7
43;733,5532;318,13123;742,2859;547,89075;295,7
44;733,5629;318,09915;742,3008;547,8996;268,1
45;733,5956;318,1471;742,3521;547,911;248,0
46;733,6205;318,26562;742,39966;547,9138;233,2
47;733,6319;318,2794;742,4173;547,9143;201,9
48;733,663;318,29547;742,4613;547,9225;233,2
49;733,7328;318,45032;742,5695;547,93945;244,2
50;733,8286;318,70847;742,71783;547,9381;263,4
51;733,9189;318,89346;742,8522;547,95087;298,9
52;734,0109;319,0759;742,9852;547,95087;425,5
