;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;134,10149;182,66447;141,83119;143,34435;214,5
1;134,10115;182,66399;141,83014;143,34583;239,1
2;134,10146;182,66368;141,83014;143,34605;221,3
3;134,10063;182,66312;141,82869;143,34723;192,7
4;134,1004;182,66273;141,82796;143,34787;187,6
5;134,10103;182,66254;141,82832;143,34805;160,2
6;134,1019;182,66258;141,82933;143,34778;165,5
7;134,10277;182,66333;141,8311;143,3463;228,8
8;134,10315;182,66423;141,83247;143,34488;260,0
9;134,10442;182,66528;141,83472;143,3432;342,9
10;134,1049;182,66637;141,83629;143,34178;376,8
11;134,1059;182,66756;141,83847;143,34003;437,0
12;134,10677;182,66884;141,84062;143,33829;428,40002
13;134,10692;182,66966;141,84172;143,33728;428,5
14;134,10612;182,67003;141,84148;143,33714;312,1
15;134,10548;182,66971;141,8411;143,33693;315,5
16;134,10649;182,66995;141,84283;143,33516;339,0
17;134,10803;182,671;141,84586;143,3327;395,6
18;134,10966;182,6726;141,84932;143,3296;474,8
19;134,1098;182,6742;141,85101;143,3278;457,5
20;134,10945;182,67502;141,85144;143,32704;401,7
21;134,10739;182,67467;141,84903;143,32843;299,1
22;134,10597;182,67365;141,84673;143,32983;241,3
23;134,10616;182,67288;141,84619;143,33029;177,49998
24;134,10704;182,6725;141,84679;143,3305;164,7
25;134,10782;182,6725;141,84772;143,33035;147,3
26;134,10866;182,6728;141,84918;143,32933;133,6
27;134,1085;182,67284;141,84947;143,32913;130,4
28;134,1085;182,67303;141,85011;143,32794;122,8
29;134,10759;182,67305;141,84947;143,32767;121,7
30;134,10669;182,67291;141,8484;143,32799;125,6
31;134,10654;182,6725;141,84772;143,32857;88,9
32;134,10425;182,6713;141,8441;143,33157;78,0
33;134,102;182,66917;141,83977;143,33476;64,9
34;134,10017;182,66718;141,83601;143,3372;83,3
35;134,0984;182,66512;141,83208;143,34;86,5
36;134,099;182,66403;141,83109;143,34114;104,9
37;134,09938;182,66367;141,83022;143,34253;173,8
38;134,09912;182,66324;141,8286;143,3446;262,4
