;prediction_1_weeks;prediction_2_weeks;prediction_3_weeks;prediction_4_weeks;value
0;259,97015;199,14722;290,70648;290,6105;589,3
1;259,97018;199,14722;290,7066;290,61014;732,6
2;259,97028;199,14734;290,70648;290,6102;704,9
3;259,97028;199,14737;290,70636;290,61023;742,3
4;259,97003;199,14732;290,7063;290,6106;902,00006
5;259,97006;199,14743;290,70633;290,61;666,0
6;259,97018;199,14743;290,7063;290,61008;714,0
7;259,97028;199,14748;290,7064;290,61063;653,5
8;259,97025;199,14749;290,7063;290,61047;643,6
9;259,9702;199,1475;290,7061;290,6106;740,3
10;259,97028;199,14738;290,706;290,61093;774,0
11;259,97052;199,14749;290,70618;290,61093;896,7
12;259,97043;199,14749;290,70602;290,61066;1191,1
13;259,97018;199,1475;290,70596;290,61072;1079,0
14;259,9704;199,14746;290,70596;290,611;2272,2
15;259,97064;199,14752;290,70636;290,61078;2205,8
16;259,9711;199,14764;290,70654;290,61035;1250,7
17;259,9711;199,14774;290,7067;290,61005;1087,5
18;259,971;199,14769;290,707;290,61023;711,2
19;259,9706;199,14754;290,70657;290,61084;894,1
20;259,97064;199,14743;290,70645;290,6114;964,2
21;259,97116;199,14748;290,70654;290,61118;975,8
22;259,97156;199,14758;290,7068;290,6112;798,2
23;259,97144;199,14758;290,70663;290,6115;696,1
24;259,97156;199,1475;290,70648;290,61185;702,0
25;259,97177;199,14761;290,70667;290,6118;640,0
26;259,97183;199,1476;290,70654;290,61154;799,8
27;259,97192;199,1476;290,70654;290,6117;885,0
28;259,97183;199,14766;290,7068;290,61176;890,0
29;259,97183;199,14755;290,7069;290,61172;891,9
30;259,9717;199,14746;290,70706;290,61182;794,8
31;259,9717;199,14746;290,7069;290,6118;462,6
32;259,97162;199,14746;290,70682;290,61194;639,4
33;259,97147;199,14737;290,70682;290,61176;561,4
34;259,97144;199,14732;290,7068;290,61172;508,9
35;259,97153;199,14728;290,7065;290,61194;472,1
36;259,97162;199,14738;290,70676;290,61172;472,7
37;259,97125;199,14722;290,70676;290,6114;409,8
38;259,97095;199,14716;290,70682;290,61148;394,7
39;259,971;199,14708;290,707;290,61115;388,0
40;259,9709;199,14713;290,70712;290,61087;379,5
41;259,97086;199,1471;290,70706;290,61053;380,8
42;259,97067;199,14705;290,70706;290,6102;394,1
43;259,97064;199,1472;290,70724;290,60965;412,0
44;259,9703;199,14708;290,70718;290,60986;599,8
45;259,9702;199,14702;290,70697;290,6097;421,3
46;259,97018;199,1471;290,7069;290,60986;467,4
47;259,97;199,1471;290,70706;290,60962;545,3
48;259,96988;199,14713;290,7071;290,60913;464,19998
49;259,96982;199,14714;290,70682;290,60922;494,3
50;259,96967;199,1471;290,70657;290,61;339,5
51;259,96973;199,14708;290,70657;290,60977;337,0
52;259,96948;199,14719;290,7064;290,60947;577,4
